date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2,ad_account
2026-08-13,1,504.83,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,12984,0.0,488011059467522,FBA79116,B0BYHHSLPC,58,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,1,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-14,1,364.67,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,10189,1690.68,488011059467522,FBA79116,B0BYHHSLPC,48,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,1,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-15,1,334.83,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,8184,1690.68,488011059467522,FBA79116,B0BYHHSLPC,48,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,1,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-16,1,354.39,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,11290,1778.81,488011059467522,FBA79116,B0BYHHSLPC,46,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,1,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-17,2,382.25,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,13330,3557.62,488011059467522,FBA79116,B0BYHHSLPC,58,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,2,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-18,0,422.25,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,11480,0.0,488011059467522,FBA79116,B0BYHHSLPC,54,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,0,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-19,1,368.98,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,11549,1778.81,488011059467522,FBA79116,B0BYHHSLPC,54,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,1,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-20,2,507.98,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,11738,3642.37,488011059467522,FBA79116,B0BYHHSLPC,65,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,2,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-21,2,290.04,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,9550,3557.62,488011059467522,FBA79116,B0BYHHSLPC,43,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,2,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-01,0,16.35,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,69,0.0,387060877405390,FBA79260,B07GVGMW59,1,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-02,0,22.84,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,199,0.0,387060877405390,FBA79260,B07GVGMW59,2,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
