,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail - Autio Array - Amazon Now;Cambium Retail Private Limited - Master - PC - MH;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/12/25 - 31/12/25],Report Updated=[04/08/26]
FBA79109,AM-W18,B0CM9HYVDM,Audio Array Mike for Kids with Speaker | AM-W18 Karaoke mic with Speaker | Karoke Speaker with Bluetooth and Wireless Microphone for Adults | Bluetooth v5.3 | Voice Changer | SD Card & AUX | 8+ Hrs,Audio Array,IN,225708.28,224,0,0,222,29
FBA75674,AM-C2,B0B4G19R58,Audio Array Mic | Podcast Mic XLR Condenser Microphone Kit with Boom Arm | Pop Filter | Shock Mount & 2M Cable | Cardioid Recording Microphone for Streaming | Podcasting & Home Studio | AM-C2,Audio Array,IN,222144.84,69,0,0,69,13
FBA78973,AA-19,B0CF5R3V95,"Audio Array Mic Stand For Table | Steel & Aluminum High & Low Profile Boom Mic Arm Stand with Built-In Cable Management | 360° Rotation | 2Kg Load Capacity | Streaming, Podcasting & Studio Recording",Audio Array,IN,179697.43,57,0,0,55,5
FBA79104,AI-11,B0CM6NVLT9,"Audio Array AI-11 USB Bluetooth Soundcard, 1Ch Mixer, Audio Interface | 2 Condenser In, 2 Out |2 Live Out+1 Accompany In | OTG for mobile and PC/MAC | Effects | Streaming, Podcasting, Gaming, Singing",Audio Array,IN,177834.04,141,0,0,140,48
FBA79449,AM-W36,B0DFMNGFTD,"Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4"" Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,141288.93,29,0,0,29,10
FBA79838,AH-40 SL,B0FQBX8J17,"Audio Array AH-40-SL Wired Over-Ear Headphones | 40mm Drivers, 15-22KHz, 32Ω, 105dB SPL | Studio Monitoring, Gaming, Live Music Headset with 3.5mm + 6.3mm Plug Compatibility",Audio Array,IN,129044.7,128,0,0,130,22
FBA75677,AM-C5,B0B4KC7VBM,"Audio Array USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker) | AM-C5",Audio Array,IN,123211.84,63,0,0,61,5
FBA79839,AH-45 BK,B0FQBXS6Y2,"Audio Array Studio Monitoring Headphones | AH-45-BK Overhead Headphones, 40mm Deep Bass Closed-Back, 20–20kHz, 32Ω, 100dB SPL, 3m OFC Cable, Dual Adapter - Black",Audio Array,IN,116656.97,95,0,0,93,17
FBA79446,AM-W33,B0DFMMTWLY,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,109169.44,76,0,0,79,16
FBA76862,AM-C28,B0BPLWW72Y,Audio Array USB Plug & Play Conference Microphone | Omni Directional Pickup Upto 3M | Mic Mute Button | No Drivers Condenser USB Type-C | Ideal for Meetings & Video Calling (Not a Speaker) | AM-C28,Audio Array,IN,103704.38,79,0,0,76,14
FBA79694,AA-26,B0DT6T6N6B,"Audio Array Metal Mic Stand | Extendable height up to 22cm | Mic Stand For Table | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base | AA-26",Audio Array,IN,99799.68,238,0,0,235,31
FBA76414,AA-05,B0BLJVJ2GN,"Audio Array Boom Arm | Suspension Scissor Mic Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations | AA-05",Audio Array,IN,99550,181,0,0,184,15
FBA79379,AM-C45,B0D3LZWTHV,"Audio Array AM-C45 XLR/USB Professional RGB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute Volume & Noise-Cancellation | 2M USB Cable & Metal Base | Streaming, Podcasting, Singing",Audio Array,IN,94888.1,32,0,0,32,5
FBA75690,AM-C10,B0B4K87PR4,Audio Array USB Plug & Play Conference Microphone with Speaker | Omni Directional Pickup Upto 4M | Speaker and Mic Mute Buttons | Volume Control & Mute Button | Ideal for Meeting & Video Call | AM-C10,Audio Array,IN,93705.21,28,0,0,28,2
FBA79103,AI-10,B0CM6NTWBP,"Audio Array Sound Card Audio Interface | AI-10 Audio Mixer with Bluetooth, 3 Condenser Mic Inputs, +48V Phantom Power, Voice Modes, Denoise & Built-In FX for Gaming, Karaoke & Live Streaming",Audio Array,IN,93363.42,35,0,0,30,14
FBA79106,AM-C44,B0CM9KJZWQ,"Audio Array AM-C44 XLR/USB Professional Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming, Podcasting",Audio Array,IN,92565.34,23,0,0,23,1
FBA79105,AI-12,B0CM6WH4ZT,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",Audio Array,IN,91186.61,81,0,0,80,31
FBA79445,AM-W32,B0DFMLS8JG,"Audio Array AM-W32 UHF Dual Wireless Metal Microphones | Built-in Rechargeable Battery | 6–8 Hours Backup | 60M Range | Karaoke, DJ, Events, PA System | Echo & Volume Controls",Audio Array,IN,87221.15,29,0,0,28,6
FBA77171,AC-6XL,B0CH4VCD6R,"Audio Array XLR Cable | 6.35mm Jack Male to XLR 3PIN Female Cord Wire | XLR Cable For Mic/Guitar | Black, 1pc Pack (6 Meter/19.6 Feet) | AC-6XL",Audio Array,IN,86537.29,186,0,0,188,19
FBA79904,PB-10 (AM-C2+AI-04+AH-60-BL),B0FTVQQVDC,Audio Array Mic | Professional Studio Recording Bundle with Podcast Mic | 2x2 USB Audio Interface | Condenser Microphone | Studio Headphones | Boom Arm | 24-Bit/192kHz Recording Kit PB-10,Audio Array,IN,84737.29,10,0,0,10,1
FBA75684,AA-04,B0B4G7VWXD,"Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc",Audio Array,IN,74822.06,54,0,0,55,13
FBA79355,AA-19BL,B0D3M86SH1,Audio Array AA-19BL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | Black,Audio Array,IN,71961.94,17,0,0,18,5
FBA79654,AM-C11 Pro,B0DN6MNS1X,"Audio Array AM-C11 Pro XLR/USB Professional Dynamic Mic Kit | Premium Metal 96kHz/24bit Studio Quality | 2M XLR & USB Cables,Volume Control,Mute & Realtime Monitoring | Streaming,Gaming & podcasting",Audio Array,IN,68631.3,15,0,0,15,4
FBA79783,AM-C47,B0FF9R3GKK,"Audio Array AM-C47 RGB USB Condenser Mic Kit | AI Noise Cancellation, 192kHz/24Bit Studio Quality, Touch Control, Headphone Monitoring | Podcasting, YouTube, Gaming & Streaming | Mac/PC & Mobile",Audio Array,IN,66079.75,27,0,0,26,7
FBA75675,AM-C3,B0B4G8ZB64,"Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding",Audio Array,IN,58402.48,77,0,0,79,11
FBA78960,AM-C39,B0CBCB82MT,"Audio Array XLR to 3.5mm Condenser Microphone Kit | Tripod, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black) |AM-C39",Audio Array,IN,54713.66,38,0,0,38,7
FBA75692,AM-C11,B0B4G1HPL5,"Audio Array AM-C11 XLR/USB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute and Volume Control | Premium Metal Build | 2M XLR & USB Cable | Streaming, Gaming, Podcasting, Singing",Audio Array,IN,53970.32,13,0,0,13,5
FBA79840,AH-60-RD,B0FQBWV1ST,"Audio Array AH-60-RD Semi-Open Back DJ Headphones | 50mm Drivers Delivers Dynamic Balanced Output | 15Hz–25kHz, 32Ω, 100dB SPL, 1200mW | 3m OFC Single-Sided Cable with Screw-On 3.5mm + 6.3mm Plug",Audio Array,IN,50881.29,31,0,0,31,5
FBA79815,AM-W19,B0FPR7VFCH,"Audio Array AM-W19 Wireless Lavalier Microphone|192kHz/24bit |AI Noise Cancellation for iPhone/Android, 32h Charging Case, Plug & Play for Vlogging, Streaming, Meetings, Video Recording",Audio Array,IN,50822.01,30,0,0,32,14
FBA79655,AM-C44 Pro,B0DN6PFWNK,Audio Array AM-C44 Pro XLR/USB Professional Dynamic Microphone Kit | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming & Podcasting,Audio Array,IN,49397.48,11,0,0,11,5
FBA78976,AA-22,B0CF5SHL15,"Audio Array AA-22 Desktop Mount Speaker Stands | 15KG Capacity | Height, Tilt & Rotation Adjustable | Smart Cable Management | for Sound Editing, Gaming, Music Production | Red (Set of 2)",Audio Array,IN,43886.48,14,0,0,14,
FBA78925,AM-C11X,B0CBC7QMNV,"Audio Array AM-C11X XLR Dynamic Microphone | Studio-Quality Audio Output | Cardioid Polar Pattern | Premium Metal Build | 2 Meter XLR Cable | for Streaming, Gaming, Podcasting, Singing",Audio Array,IN,40200.83,13,0,0,13,4
FBA79841,AH-60-BL,B0FQBTRM28,"Audio Array AH-60-BL, 60Ω, Professional Monitoring Headphones | 53mm Drivers | 10Hz–30KHz | 105dB SPL | Closed-Back, DJ & Studio | 3m Cable with 3.5mm & 6.3mm Plugs (Blue)",Audio Array,IN,36186.4,22,0,0,22,2
FBA79356,AA-19WL,B0D3Q2T5XX,Audio Array AA-19WL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | White,Audio Array,IN,33717.79,8,0,0,8,3
FBA79821,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",B0FJ2JJZL3,"Audio Array Professional Studio Bundle with 24-Bit/192kHz Audio Interface, 4"" Studio Monitors, Condenser Mic & Stands | for Music Production, Podcasting, Dubbing, Recording & Audio Mixing - UB-01",Audio Array,IN,33344.91,2,0,0,2,
FBA76597,AA-06,B0BQ7H7418,"Audio Array Microphone Boom Arm Stand, 70cm Adjustable Suspension Scissor Stand with Shock Mount, Pop Filter, Desk Clamp, 3/8"" to 5/8"" Adapter & 4 Cable Ties | AA-06",Audio Array,IN,33025.42,30,0,0,29,
FBA79107,AM-W17,B0CM9P5CCK,"Audio Array Dual Wireless Lapel Mic|in-Built ANC, Plug N Play,Long Battery Life, Ultra-Low Latency,Upto 30M Range|Compatible with iPhone & Android|Vlogging, Streaming, Teaching,YouTube, Black|AM-W17",Audio Array,IN,31126.2,21,0,0,21,10
FBA75678,AA-01,B0B4G8PH2P,"Audio Array Suspension Boom Scissor Microphone Stand | Double Layer Mesh Pop Filter | 70cm Sturdy Boom Arm with 1.8kg Capacity | 5/8"" to 3/8"" Screw Adapter | Mic Holder, Foam Cover, Cable Ties | AA-01",Audio Array,IN,29762.64,16,0,0,18,1
FBA76863,AI-03,B0BPM2T7BQ,"Audio Array AI-03 Professional Sound Card with Bluetooth | Podcast Production Setup with 4 mic input & 4 outputs | +48V phantom power, PC/Mac connectivity | 6-8hr Battery | Streaming, Singing & Gaming",Audio Array,IN,29738.16,9,0,0,8,5
FBA79447,AM-W34,B0DFMLXD9S,"Audio Array AM-W34 UHF Dual Wireless Premium Metal Microphones | 800mAh 6-8 Hours Receiver Battery Backup | Range up to 50M | Karaoke Singing, Wedding, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,27046.64,9,0,0,11,3
FBA79108,AM-W16,B0CM9L1QZG,"Audio Array Solo Wireless Lapel Over Ear Mic|in-Built ANC,Plug N Play,LongBattery Life,Ultra-Low Latency,Upto 30M Range|Compatible with iPhone&Android|Vlogging,Streaming,Teaching,YouTube,Black|AM-W16",Audio Array,IN,24007.62,21,0,0,21,10
FBA79846,AM-C11X Pro,B0FN7C25VS,"Audio Array AM-C11X Pro XLR Podcast Mic Kit with Dynamic Microphone, 2m XLR Cable & Adjustable Boom Arm | Studio-Quality Sound, 20Hz–20kHz, All-Metal Build for Podcasting, Streaming & Recording",Audio Array,IN,23891.06,7,0,0,6,1
FBA79844,PB-08 (AM-C1 + AI-04),B0FN7DYB2M,"Audio Array Podcast Bundle with USB Condenser Mic Kit, Audio Interface |192kHz/24bit Studio Quality, Plug & Play, Phantom Power, Real-Time Monitoring for Recording, Streaming & Podcasting - PB-08",Audio Array,IN,23725.44,4,0,0,4,5
FBA79016,AM-C3a,B0CH4R1V6S,"Audio Array AM-C3a Unidirectional Dynamic Handheld Karaoke Microphone | 20Hz - 20kHz Response | Karaoke Singing, Public Meetings, Studio Recording, Live Sound, Party (no Cable Included)",Audio Array,IN,22970.22,39,0,0,38,15
FBA79833,PB-04 (AI-04 Red + AM-C44 x 2),B0FJ8PZ9H7,"Audio Array Pro Podcasting Bundle | Audio Interface with 48V Phantom Power & Dual USB/XLR Touch-Control Mics | 192kHz/24bit, Mute, Monitor, Volume Control | Recording, Streaming & Podcasting - PB-04",Audio Array,IN,22879.67,2,0,0,2,2
FBA79708,SB-01,B0FFB6YJM1,"Audio Array Sound Bar for Smart TV | Bluetooth Speaker Wireless 25W, Gaming RGB Lights, AUX, USB, FM & TWS I Fast Charge Battery, Multiport Connectivity, for Mobile, PC, Laptops, Tablets | SB-01",Audio Array,IN,22016.97,20,0,0,19,3
FBA79448,AM-W35,B0DFMKY4TT,"Audio Array AM-W35 UHF Dual Wireless Premium Karaoke Microphones | 800mah 5-6 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,21688.16,8,0,0,9,2
FBA79820,AC-3XL,B0FQJWWDVK,"Audio Array AC-3XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (3 Meter/10 Feet)",Audio Array,IN,21308.44,56,0,0,57,9
FBA75679,AA-02,B0B4JRQP22,"Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting",Audio Array,IN,17196.62,8,0,0,8,
FBA79064,AA-25,B0CJR76Y7G,"Audio Array AA-25 Handheld Microphone Interview Adapter for Wireless Lapel Microphones | Supports, Rode Go, DJI, Hollyland mics etc | Foam Cover with Built-in Cold Shoe Mount",Audio Array,IN,17138.19,27,0,0,26,9
FBA75686,AM-W10,B0B4G89VQJ,"Audio Array AM-W10 Professional Dual Wireless Lapel Mics | Upto 10hr Battery & 100m Range | 2X Lapel mics, Type C Adapter for Easy Plug&Play | Volume & Mute Function | Vlogging, Streaming, YouTube",Audio Array,IN,16277.12,5,0,0,5,3
FBA78974,AA-20,B0CF5RRTDJ,"Audio Array AA-20 Microphone Arm Stand | 81cm Reach | Premium light weight & slick design | Flexible height & position adjustments | 1kg Weight Capacity | 5/8"" to 3/8"" Screw Adapter | Cable Ties",Audio Array,IN,14569.51,8,0,0,8,1
FBA75683,AA-03,B0B4G94VP3,"Audio Array AA-03 Double Layer Professional Pop Filter | Flexible 360° Free Angle Adjustable, Durable Windshield | Metal Gooseneck Stabilizing Arm Holder with 32cm Arm Length | Suitable for Recording.",Audio Array,IN,13955.04,33,0,0,34,3
FBA76723,AM-C20,B0BLKF46QG,"Audio Array AM-C20 USB Microphone | Unique Tilt Stand & one Touch Mute | Plug n Play, No Latency Cardioid Pickup | for PC, Smartphones, iOS | Gaming, Streaming, Podcasts, Twitch, YouTube, Discord",Audio Array,IN,13718.64,12,0,0,12,3
FBA79722,AM-W21,B0F2HYY7JF,"Audio Array AM-W21 Dual Wireless Lapel Mic | TFT Card Recording, Noise Cancellation & Echo | Android, iOS, DSLR Camera, Laptops | 360° Pickup, Plug n Play, 60M Working Range, 48-Hour Battery Life",Audio Array,IN,10844.08,4,0,0,4,2
FBA79010,AM-C42,B0CH4T2BJD,"Audio Array AM-C42 Plug & Play AI Noise Cancelling USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Boom Arm & Pop Filter | Karaoke, Gaming, Streaming, Podcast | Mac/PC/Mobile",Audio Array,IN,10165.26,5,0,0,5,3
FBA75676,AM-C4,B0B4DS678Q,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",Audio Array,IN,10096.63,6,0,0,6,3
FBA79906,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),B0FTVVLNS9,"Audio Array Professional Dynamic Bundle with Headphones & Audio Interface - USB/XLR Dynamic Microphone, 24-bit/192kHz Interface, Boom Arm & Semi-Open Headphones | Plug & Play Podcast Kit - PB-12",Audio Array,IN,10083.9,1,0,0,1,
FBA79009,AM-C41,B0CH4PMR8K,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile",Audio Array,IN,8384.76,6,0,0,6,1
FBA79826,PB-02 (AI-04 Red + AM-C11 + AA-05),B0FJ2LQT7K,"Audio Array Complete Podcast Bundle | USB/XLR Dynamic Mic with Audio Interface 24bit/192kHz & Boom Arm Stand | Professional Streaming & Recording Kit for PC, Mac & Mobile Devices - PB-02",Audio Array,IN,8304.24,1,0,0,1,
FBA79823,PB-01 (AM-C11 + AI-04),B0FJ2HZCVN,"Audio Array Ultimate Podcast Bundle | Dynamic Microphone with USB/XLR Connectivity & 24-Bit/192kHz Audio Interface | Ideal for Podcasting, Streaming, Voice Recording & Content Creation - PB-01",Audio Array,IN,7753.39,1,0,0,1,
FBA79653,AM-C45 Pro,B0DN6LJZBR,"Audio Array AM-C45 XLR/USB Pro RGB Dynamic Microphone Kit | 192kHz/24bit Studio Quality Output | Volume Control, Mute and Noise Cancellation | Realtime Monitoring for Streaming, Gaming & podcasting",Audio Array,IN,6947.46,2,0,0,2,2
FBA75680,AM-C6,B0B4G1PXWV,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",Audio Array,IN,6776.27,4,0,0,6,4
FBA78961,AM-C40,B0CBCB9S14,"Audio Array AM-C40 Large Diaphragm USB Condenser Microphone Kit | Boom Arm & Pop-Filter | 96kHz/24bit No Latency Headphone Monitoring with Mute & Volume Control Knob | Singing, Podcasting & Streaming",Audio Array,IN,6353.4,3,0,0,3,1
FBA79444,AM-W20,B0DFMLQBMC,"Audio Array AM-W20 Magnetic Wireless Lapel Microphone Set | One Touch Smart Noise Reduction | 48KHz/24Bit Hi-fi Recording | 50M Range | 800mAh 48Hrs Long Battery Backup | Vlogging, Podcast, Streaming",Audio Array,IN,3557.62,2,0,0,3,
FBA79825,GB-02 (AM-C43 + AI-11),B0FJ2DT13L,"Audio Array All in 1 Pro Bundle | Condenser Mic with USB Bluetooth Soundcard Mixer | Complete Setup for Streaming, Podcasting, Gaming, Singing & Home Studio Recording| GB-02",Audio Array,IN,3250.84,1,0,0,1,1
FBA75688,AM-W12,B0B4G763WS,"Audio Array AM-W12 UHF Dual Wireless Premium Metal Microphones | 4+ Hours Receiver Battery Backup | Range up to 60m| Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,3219.49,1,0,0,1,
FBA75689,AM-W13,B0B4G59Y8W,"Audio Array AM-W13 UHF Wireless Premium Metal Microphone | 4+ Hours Receiver Battery Backup | Range up to 60m | Karaoke Singing, Wedding, DJ | Compatible with PA System, Amplifier, Mixer, Party Box",Audio Array,IN,3218.64,2,0,0,1,
FBA76730,AM-C27,B0BLKB6FRR,"Audio Array AM-C27 XLR to TRS Cardioid Dynamic Handheld Microphone Sound for Live Events | Premium Built with 4.5M Cable | Singing, Public Meetings, Studio Recording, Live Sound, Party",Audio Array,IN,2371.18,2,0,0,2,1
FBA78204,AM-C31,B0C4YT43Z3,"Audio Array AM-C31 USB Plug & Play Condenser Microphone Kit | Pop-Filter & Metallic Base | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | for PC/Mobile, Gaming, Podcasting & Streaming",Audio Array,IN,1863.56,1,0,0,1,1
FBA79832,GB-05 (AM-C43 + AI-06),B0FJ8S53GW,"Audio Array Streaming Bundle Kit | USB Condenser Mic & RGB Sound Card with Phantom Power, Voice Effects, Real-Time Monitoring | for Podcasting, Gaming, YouTube & Live Streaming - GB-05",Audio Array,IN,0,0,,,,
FBA79827,PB-03 (AI-04 Red + AM-C11 x 2),B0FJ8S5XJ8,"Audio Array Complete Podcast Bundle | Dual USB/XLR Dynamic Microphones with Audio Interface 24bit / 192kHz|Metal Body|Pro Streaming & Recording Kit for PC, Mac & Mobile - PB-03",Audio Array,IN,0,0,0,0,1,2
FBA75687,AM-W11,B0B4G5ZLTB,"Audio Array AM-W11 Wireless Mic | Upto 4hr Battery & 60m Range | Volume & Mute Buttons with Indicators | Streaming, Vlogging, YouTube | 1x Lapel mic, Type C Adapter for Plug & Play | 2 Year Warranty",Audio Array,IN,0,0,,,,1
