SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79595, EM-02,B0FM3LBN87,B0FM3LBN87,"NexLev Air Compression Eye Massager|Heat Function|Vibration|In-Built Music| 5 Modes| 180° Foldable|Improve Sleep|Relieves Headache & Migraine|Reduce Eye Strain, Dark Circle, Eye Bags|Type-C| EM-02",202,8,0.04%,0.10%,262,16,0.04%,0.15%,97.41%,100.00%,6,0,2.97%,0.00%,"₹ 10,164.41",₹ 0.00,6,0
FBA79473,TI-02,B0DJFH6RTL,B0DJFH6RTL,"NexLev Portable Tyre Inflator for Car, Bike, Cycle|150 PSI Pressure| 120 Watt Air Pump|12V Car Plug| Digital Display| Auto Shut-Off| Emergency LED Light| 3m Cord| 3 Air Nozzles| Compact| AER TI-02",208,4,0.04%,0.05%,261,6,0.04%,0.06%,95.95%,100.00%,5,1,2.40%,25.00%,"₹ 6,207.63","₹ 1,499.00",5,1
FBA79682,HU-02,B0DVC8NYY2,B0DVC8NYY2,"NexLev Cool Mist Humidifier | 2.2L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 30Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-02",617,10,0.11%,0.12%,853,14,0.12%,0.13%,80.20%,33.33%,5,0,0.81%,0.00%,"₹ 8,372.88",₹ 0.00,5,0
FBA79772,SC-02 Set of Spares,B0F67BSF2R,B0F67BSF2R,"NexLev Replacement Accessory Kit for Steam Cleaner SC-02 | Multipurpose Cleaning Attachments for Home, Kitchen, Bathroom & Car",172,5,0.03%,0.06%,201,8,0.03%,0.08%,98.96%,100.00%,5,0,2.91%,0.00%,"₹ 1,690.68",₹ 0.00,5,0
FBA79480,VC-03,B0DDC3GVZW,B0DDC3GVZW,nexlev Cordless Electric Car Vacuum Cleaner VacuSafe| Seat-Belt Cutter| Window Breaker Hammer| LED Torch|4000 mAh| High Power Suction | Copper Motor| Type-C Emergency Car Escape Tool| Portable| VC-03,370,12,0.07%,0.15%,478,13,0.07%,0.12%,89.82%,80.00%,4,0,1.08%,0.00%,"₹ 6,631.36",₹ 0.00,4,0
FBA79566,VC-05,B0DKJSCLBD,B0DKJSCLBD,"nexlev Cordless Wet & Dry Vacuum Cleaner|for Home Car & Office Use|3 Attachments | 4000 mAh Battery|Quick Cleaning of Desk, Coffee Tea or Water Spill | Compact & Portable | VC-05","1,869",23,0.33%,0.29%,"2,391",24,0.33%,0.23%,80.29%,85.00%,4,0,0.21%,0.00%,"₹ 7,386.44",₹ 0.00,4,0
FBA79484,CF-01,B0DNJF1BLS,B0DNJF1BLS,NexLev Drip Coffee Maker |Filter Coffee for Home & Office | 4-6 Cups | Warming Plate|Borosilicate Carafe | Reusable & Washable Filter | Anti Drip | 750 ml | Cone Filter | Water Level Indicator |CF-01,365,14,0.07%,0.17%,470,17,0.07%,0.16%,87.22%,71.43%,4,1,1.10%,7.14%,"₹ 3,811.02","₹ 1,499.00",4,1
FBA79492,V-02,B0DT6Y7KJM,B0DT6Y7KJM,"NexLev IONIC Volumizer + Straightening Brush| 1200 W| Ceramic Tourmaline Coating| Hot Air Brush| Large Barrel| Ionic Technology| Dual bristles for drying, volumizing & straightening | 360° vents| V-02","1,802",15,0.32%,0.19%,"2,039",20,0.28%,0.19%,93.77%,100.00%,4,0,0.22%,0.00%,"₹ 7,062.71",₹ 0.00,4,0
FBA79699,SPM-01,B0DTYDTKN8,B0DTYDTKN8,NexLev Cordless Spin Mop|50 Min Runtime|2 Extra Mop Pads | Type C | For Home Kitchen & Office Use | Water Spray Function|Self Propelling|Mopping for All Floor Types|LED for Corners and Underbed|SPM-01,"2,550",48,0.45%,0.60%,"3,335",58,0.46%,0.55%,97.87%,90.91%,4,0,0.16%,0.00%,"₹ 13,471.19",₹ 0.00,4,0
FBA79687,MGC-03,B0DV9CY3XR,B0DV9CY3XR,NexLev Massage Gun | Body Shoulder Neck Feet Calf & Back Massager | Cold Therapy for Muscle Recovery | 60° Heat Therapy for Relaxation | 6 Attachments | 6 Mode | Portable & Compact Design | MGC-03,75,6,0.01%,0.07%,92,9,0.01%,0.09%,100.00%,100.00%,4,2,5.33%,33.33%,"₹ 5,005.93","₹ 3,938.00",4,2
