amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba,order-item-id,is-prime
404-9921809-7661115,404-9921809-7661115,2026-08-31T17:07:16+00:00,2026-08-31T21:09:55+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink,",FBA78981,B0CDPP45BM,Shipped,1,INR,0.0,,,,,,,,AHMEDABAD,GUJARAT,380015,IN,,false,,,,false,67151238495402,false
404-2373311-4431563,404-2373311-4431563,2026-08-31T16:52:37+00:00,2026-09-01T03:29:01+00:00,Shipped,Amazon,Amazon.in,,Expedited,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office | Steam Cleaner for Home With 9 Accessories | 450 ML | Window Pane Sink Grime,FBA79652,B0F43P6D23,Shipped,1,INR,3498.0,,,,,,,,GURUGRAM,HARYANA,122505,IN,,false,,,,false,67148674285722,false
408-9538754-3993118,408-9538754-3993118,2026-08-31T16:50:40+00:00,2026-08-31T18:23:58+00:00,Shipped,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | Cordless UV Mattress Vacuum Cleaner for Sofa, Carpet & Car Seat, HEPA Filter, Double Beat Technology, Type-C Charging,",FBA79439,B0DCK7ZH5P,Shipped,1,INR,3399.0,,19.0,,,,,19.0,Secunderabad,TELANGANA,500017,IN,,false,,,,false,67148674893842,false
408-4302411-0365132,408-4302411-0365132,2026-08-31T16:43:14+00:00,2026-09-01T10:57:07+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink,",FBA78981,B0CDPP45BM,Shipped,1,INR,3998.0,,,,,,,,THANE,MAHARASHTRA,400601,IN,,false,,,,false,67150128820522,false
404-8093962-3235562,404-8093962-3235562,2026-08-31T16:42:19+00:00,2026-09-01T04:38:59+00:00,Shipped,Amazon,Amazon.in,,Expedited,nexlev Stick Vacuum Cleaner For House | Vacuum Cleaners 17500PA Suction | 2 in 1 Handheld & Stick Design | Washable HEPA Filter | Bagless Dry Vacuum C,FBA79452,B0DCGHVN81,Shipped,1,INR,2099.0,,,,,,41.98,,JABALPUR,MADHYA PRADESH,482004,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,false,,,,false,67149875840002,false
408-3632939-1719501,408-3632939-1719501,2026-08-31T16:41:11+00:00,2026-08-31T21:38:20+00:00,Cancelled,Amazon,Amazon.in,,Expedited,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink,",FBA78981,B0CDPP45BM,Cancelled,0,,,,,,,,,,THANE,MAHARASHTRA,400601,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,false,,,,false,67149913092522,false
405-8142408-6898705,405-8142408-6898705,2026-08-31T16:32:38+00:00,2026-08-31T16:35:48+00:00,Cancelled,Amazon,Amazon.in,,Expedited,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 6",FBA79373,B0D2P5TGWK,Cancelled,0,,,,,,,,,,FATEHPUR FATEHPUR DISTRICT,UTTAR PRADESH,212601,IN,,false,,,,false,67149557787882,false
408-5429264-5513909,408-5429264-5513909,2026-08-31T16:12:31+00:00,2026-08-31T16:50:17+00:00,Cancelled,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Cancelled,0,,,,,,,,,,Noida,UTTAR PRADESH,201301,IN,,false,,,,false,67148415370482,false
404-1640123-7423522,404-1640123-7423522,2026-08-31T16:06:52+00:00,2026-09-02T19:10:29+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Hot Air Brush For Hair | V-03 3 in 1 Volumizer Hair Blow Dry Brush with 1.5 Inch Barrel, Ceramic Tourmaline Coating, 1200W, Dual Bristle for Ta",FBA79493,B0DQCWRG3H,Shipped,1,INR,0.0,,,,,,,,Wayanad,KERALA,670731,IN,,false,,,,false,67149122491042,false
402-9643398-5612333,402-9643398-5612333,2026-08-31T16:03:54+00:00,2026-09-01T04:46:04+00:00,Shipped,Amazon,Amazon.in,,Expedited,Nexlev Steam Iron Handheld For Clothes | Hand Iron Steamer For Clothes 1500W Garment Steamer | 300ML Tank | Vertical & Horizontal Steam Press for Clot,FBA78980,B0CDPMX152,Shipped,1,INR,2199.0,,40.0,,,,,40.0,NEW DELHI,DELHI,110070,IN,,false,,,,false,67149130613682,false
