ASIN,SKU,Brand,Model,category_l0,category_l1,category_l2,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns,Channel,Month,WindowStart,WindowEnd
B0B4G94VP3,FBA75683,Audio Array,AA-03,Microphone Accessories,Accessories,,48,20108.42,46,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4JRQP22,FBA75679,Audio Array,AA-02,Microphone Accessories,Accessories,,48,101099.31,48,0.0,10,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4K87PR4,FBA75690,Audio Array,AM-C10,Microphone Conference,Conference Microphone,,38,126068.55,38,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4KC7VBM,FBA75677,Audio Array,AM-C5,Microphone Conference,Conference Microphone,,81,171020.34,81,0.0,8,1p Sales,2026-07,2026-07-01,2026-07-31
B0BLJVJ2GN,FBA76414,Audio Array,AA-05,Microphone Accessories,Accessories,,169,91706.77,173,0.0,27,1p Sales,2026-07,2026-07-01,2026-07-31
B0BLKCDRNB,FBA76727,Audio Array,AM-C24,Microphone Condenser,USB Microphone Kit - Tripod,,1,1219.49,1,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0BLKCSJ7Z,FBA76725,Audio Array,AM-C22,Microphone Condenser,USB Microphone Kit - Tripod,,2,2032.2,2,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0BLNCP74M,FBA76728,Audio Array,AM-C25,Microphone Condenser,USB Microphone Kit - Boomarm,,3,5590.68,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0BPLWW72Y,FBA76862,Audio Array,AM-C28,Microphone Conference,Conference Microphone,,164,229615.78,167,0.0,28,1p Sales,2026-07,2026-07-01,2026-07-31
B0BPLZ5CGV,FBA76864,Audio Array,AI-04 Red,Audio Interface,Audio Interface,,472,1934828.48,461,0.0,107,1p Sales,2026-07,2026-07-01,2026-07-31
B0BPM2T7BQ,FBA76863,Audio Array,AI-03,Audio Interface,Audio Interface,,19,64051.64,19,0.0,8,1p Sales,2026-07,2026-07-01,2026-07-31
B0BPMBMN3S,FBA77010,Audio Array,AI-04 Black,Audio Interface,Audio Interface,,1,4400.0,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0BQ7H7418,FBA76597,Audio Array,AA-06,Microphone Accessories,Accessories,,44,47576.28,45,0.0,3,1p Sales,2026-07,2026-07-01,2026-07-31
B0C4YSV3XL,FBA78206,Audio Array,AM-W15,Microphone Wireless Lapel,Wireless Mic with Charging Case,,1,4483.05,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0C4YTNJG7,FBA78203,Audio Array,AM-C30,Microphone Condenser,RGB USB Microphone Kit - Tripod,,1,1694.07,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0CBC7QMNV,FBA78925,Audio Array,AM-C11X,Microphone Dynamic,XLR Dynamic Mic,,5,15370.34,4,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0CBCB82MT,FBA78960,Audio Array,AM-C39,Microphone Condenser,XLR Microphone Kit - Tripod,,32,43252.41,31,0.0,13,1p Sales,2026-07,2026-07-01,2026-07-31
B0CF5R3V95,FBA78973,Audio Array,AA-19,Microphone Accessories,Accessories,,98,315582.93,100,0.0,19,1p Sales,2026-07,2026-07-01,2026-07-31
B0CF5RRTDJ,FBA78974,Audio Array,AA-20,Microphone Accessories,Accessories,,9,15246.61,9,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0CF5SHL15,FBA78976,Audio Array,AA-22,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,26,80007.64,26,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0CF5TCQKL,FBA78975,Audio Array,AA-21,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,152,476252.69,153,0.0,21,1p Sales,2026-07,2026-07-01,2026-07-31
B0CH4PMR8K,FBA79009,Audio Array,AM-C41,Microphone Condenser,USB Microphone Kit - Tripod,,17,22866.9,18,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0CH4R1V6S,FBA79016,Audio Array,AM-C3a,Microphone Dynamic,Vocal Microphone,,10,6686.46,10,0.0,6,1p Sales,2026-07,2026-07-01,2026-07-31
B0CH4RNWJX,FBA79011,Audio Array,AM-C43,Microphone Condenser,XLR Microphone Kit - Boomarm,,85,179144.32,85,0.0,12,1p Sales,2026-07,2026-07-01,2026-07-31
B0CH4RT4P8,FBA79008,Audio Array,AI-06,Audio Interface,Audio Interface,,6,14022.53,6,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0CH4T2BJD,FBA79010,Audio Array,AM-C42,Microphone Condenser,USB Microphone Kit - Boomarm,,8,15977.13,8,0.0,5,1p Sales,2026-07,2026-07-01,2026-07-31
B0CH4VCD6R,FBA77171,Audio Array,AC-6XL,Microphone Accessories,Accessories,,227,105495.3,222,0.0,19,1p Sales,2026-07,2026-07-01,2026-07-31
B0CJR76Y7G,FBA79064,Audio Array,AA-25,Microphone Accessories,Accessories,,52,37194.81,51,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0CKHVHVQ1,FBA79005,Audio Array,AM-W45,Microphone Conference,Wireless Conference Microphone,,261,1176280.46,250,0.0,29,1p Sales,2026-07,2026-07-01,2026-07-31
B0CM6NTWBP,FBA79103,Audio Array,AI-10,Audio Interface,Audio Interface,,58,150051.79,57,0.0,27,1p Sales,2026-07,2026-07-01,2026-07-31
B0CM6NVLT9,FBA79104,Audio Array,AI-11,Audio Interface,Audio Interface,,108,145529.19,106,0.0,26,1p Sales,2026-07,2026-07-01,2026-07-31
B0CM6WH4ZT,FBA79105,Audio Array,AI-12,Audio Interface,Audio Interface,,24,28454.25,24,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0CM9HYVDM,FBA79109,Audio Array,AM-W18,Speaker Karaoke,Microphone with Speaker,,44,44148.22,44,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0CM9KJZWQ,FBA79106,Audio Array,AM-C44,Microphone Dynamic,Dynamic Microphone,,13,51768.6,13,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0CM9L1QZG,FBA79108,Audio Array,AM-W16,Microphone Wireless Lapel,Wireless Lapel Microphone,,4,4361.02,4,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0CM9P5CCK,FBA79107,Audio Array,AM-W17,Microphone Wireless Lapel,Wireless Lapel Microphone,,17,24434.79,17,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0D3LZWTHV,FBA79379,Audio Array,AM-C45,Microphone Dynamic,Dynamic Microphone,,15,43905.92,15,0.0,9,1p Sales,2026-07,2026-07-01,2026-07-31
B0D3M1B4Z8,FBA79380,Audio Array,AM-C46,Microphone Condenser,Condenser Mic with Boom Arm,,80,235864.31,78,0.0,23,1p Sales,2026-07,2026-07-01,2026-07-31
B0D3M86SH1,FBA79355,Audio Array,AA-19BL,Microphone Accessories,Accessories,,20,79644.04,20,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0D3Q2T5XX,FBA79356,Audio Array,AA-19WL,Microphone Accessories,Accessories,,7,26494.05,6,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0DFMKY4TT,FBA79448,Audio Array,AM-W35,Microphone Wireless Handheld,Wireless Microphone,,5,14911.02,4,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0DFMLS8JG,FBA79445,Audio Array,AM-W32,Microphone Wireless Handheld,Wireless Microphone,,8,26308.46,10,0.0,3,1p Sales,2026-07,2026-07-01,2026-07-31
B0DFMLXD9S,FBA79447,Audio Array,AM-W34,Microphone Wireless Handheld,Wireless Microphone,,14,46837.26,14,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0DFMMTWLY,FBA79446,Audio Array,AM-W33,Microphone Wireless Handheld,Wireless Microphone,,16,28262.71,15,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0DFMNGFTD,FBA79449,Audio Array,AM-W36,Microphone Wireless Handheld,Wireless Microphone,,12,64057.68,12,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0DN6LJZBR,FBA79653,Audio Array,AM-C45 Pro,Microphone Dynamic,Microphone Dynamic,,6,20333.88,4,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0DN6MNS1X,FBA79654,Audio Array,AM-C11 Pro,Microphone Dynamic,Microphone Dynamic,,6,26320.85,6,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0DN6PFWNK,FBA79655,Audio Array,AM-C44 Pro,Microphone Dynamic,Microphone Dynamic,,6,26496.62,4,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0DT6T6N6B,FBA79694,Audio Array,AA-26,Microphone Accessories,Accessories,,321,158215.53,320,0.0,33,1p Sales,2026-07,2026-07-01,2026-07-31
B0DXFPM4N2,FBA79482,Audio Array,AM-S1,Monitor Speakers,Studio Monitor Speaker,,167,1242974.6,166,0.0,46,1p Sales,2026-07,2026-07-01,2026-07-31
B0FF9R3GKK,FBA79783,Audio Array,AM-C47,Microphone Condenser,USB Microphone Kit - Boomarm,,3,6946.61,3,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FFB6YJM1,FBA79708,Audio Array,SB-01,Sound Bar,Sound Bar,,131,136388.13,126,0.0,33,1p Sales,2026-07,2026-07-01,2026-07-31
B0FG88HVQ8,FBA79813,Audio Array,AH-50,DJ Headphone,DJ Headphone,,409,688333.27,404,0.0,60,1p Sales,2026-07,2026-07-01,2026-07-31
B0FJ2DT13L,FBA79825,Audio Array,GB-02 (AM-C43 + AI-11),Bundles,GB-02,,8,25840.66,8,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0FJ2J6MTF,FBA79822,Audio Array,KB-01 (AM-W32 + AI-12),Bundles,KB-01,,1,4151.69,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FJ2JJZL3,FBA79821,Audio Array,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",Bundles,UB-01,,3,50421.18,3,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FJ2K95XT,FBA79824,Audio Array,GB-01 (AM-C43 +AI-10),Bundles,GB-01,,1,4490.68,1,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0FJ2LQT7K,FBA79826,Audio Array,PB-02 (AI-04 Red + AM-C11 + AA-05),Bundles,PB-02,,0,0.0,0,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0FJ8PZ9H7,FBA79833,Audio Array,PB-04 (AI-04 Red + AM-C44 x 2),Bundles,PB-04,,0,0.0,0,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FJ8S53GW,FBA79832,Audio Array,GB-05 (AM-C43 + AI-06),Bundles,GB-05,,2,8981.35,2,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FJ8S5XJ8,FBA79827,Audio Array,PB-03 (AI-04 Red + AM-C11 x 2),Bundles,PB-03,,1,11694.07,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FJ8TSQK1,FBA79830,Audio Array,GB-03 (AI-12 + AM-C43),Bundles,GB-03,,61,162659.93,59,0.0,10,1p Sales,2026-07,2026-07-01,2026-07-31
B0FLYHJ6DK,FBK79009,Audio Array,AM-C41,Microphone Condenser,USB Microphone Kit - Tripod,,1,1312.71,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FLYJFC22,FBK79010,Audio Array,AM-C42,Microphone Condenser,USB Microphone Kit - Boomarm,,0,0.0,0,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FN7B3KWS,FBA79845,Audio Array,UB-02 (AM-S1 + AA-21),Bundles,UB-02,,9,93806.63,9,0.0,3,1p Sales,2026-07,2026-07-01,2026-07-31
B0FN7C25VS,FBA79846,Audio Array,AM-C11X Pro,Microphone Dynamic,Microphone Dynamic,,0,0.0,0,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FN7DYB2M,FBA79844,Audio Array,PB-08 (AM-C1 + AI-04),Bundles,PB-08,,1,5507.63,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FPR7VFCH,FBA79815,Audio Array,AM-W19,Microphone Wireless Lapel,Wireless Lapel Microphone,,1,1694.06,1,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0FPR962YS,FBA79816,Audio Array,AM-W22,Microphone Wireless Lapel,Wireless Lapel Microphone,,9,24890.66,9,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0FQBTRM28,FBA79841,Audio Array,AH-60-BL,Headphone,Headphone,,29,49059.32,28,0.0,5,1p Sales,2026-07,2026-07-01,2026-07-31
B0FQBWV1ST,FBA79840,Audio Array,AH-60-RD,Headphone,Headphone,,17,28843.24,17,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0FQBX8J17,FBA79838,Audio Array,AH-40 SL,DJ Headphone,DJ Headphone,,90,93288.58,92,0.0,13,1p Sales,2026-07,2026-07-01,2026-07-31
B0FQBXS6Y2,FBA79839,Audio Array,AH-45 BK,DJ Headphone,DJ Headphone,,277,357643.28,277,0.0,33,1p Sales,2026-07,2026-07-01,2026-07-31
B0FQJWWDVK,FBA79820,Audio Array,AC-3XL,Microphone Accessories,Accessories,,28,10652.32,28,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0FTVQQVDC,FBA79904,Audio Array,PB-10 (AM-C2+AI-04+AH-60-BL),Bundles,PB-10,,29,244043.22,29,0.0,9,1p Sales,2026-07,2026-07-01,2026-07-31
B0FTVSH458,FBA79905,Audio Array,PB-11 (AM-C44+AA-05+AH-45-BK),Bundles,PB-11,,1,5616.95,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0FTVV1QJY,FBA79908,Audio Array,PB-14 (AM-C43+AH-40-SL+AI-12),Bundles,PB-14,,13,51683.91,13,0.0,3,1p Sales,2026-07,2026-07-01,2026-07-31
B0FTVVLNS9,FBA79906,Audio Array,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),Bundles,PB-12,,3,29488.99,3,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0G2C2RCXN,FBA79967,Audio Array,AM-W19,Microphone Wireless Lapel,Wireless Lapel Microphone,,1,1694.07,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0G39ZHDYP,FBA79959,Audio Array,AM-W47 Wired,Voice Amplifier,Wired Voice Amplifier,,159,159704.04,158,0.0,27,1p Sales,2026-07,2026-07-01,2026-07-31
B0G3B152FR,FBA79960,Audio Array,AM-W47 Wireless,Voice Amplifier,Wireless Voice Amplifier,,133,213700.6,128,0.0,21,1p Sales,2026-07,2026-07-01,2026-07-31
B0G3B677Z5,FBA79969,Audio Array,UB-03 (AM-S1 + AA-22),Bundles,UB-03,,2,20421.19,2,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0G3Q517Y2,FBA79957,Audio Array,AM-W23,Microphone Wireless Lapel,Wireless Lapel Microphone,,2,4267.28,2,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0G3Q59X8C,FBA79958,Audio Array,AM-W24,Microphone Wireless Lapel,Wireless Lapel Microphone,,12,16872.85,12,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0G4DNF8RZ,FBA79842,Audio Array,AM-C48,Microphone Dynamic,Microphone Dynamic,,29,80195.7,28,0.0,6,1p Sales,2026-07,2026-07-01,2026-07-31
B0G53H49BS,FBA79961,Audio Array,AI-13,Audio Mixer,4 channels Mixer,,267,633985.03,267,0.0,80,1p Sales,2026-07,2026-07-01,2026-07-31
B0G53KWRVW,FBA79966,Audio Array,AM-Mix10,Audio Mixer,10 channels mixer,,9,76263.57,9,0.0,3,1p Sales,2026-07,2026-07-01,2026-07-31
B0G53KWRWH,FBA79964,Audio Array,AM-Pro12,Audio Mixer,12 channels Mixer,,2,38896.61,2,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0G53M9258,FBA79968,Audio Array,AI-14,Audio Mixer,8 channels Mixer,,83,423584.0,82,0.0,29,1p Sales,2026-07,2026-07-01,2026-07-31
B0G53PRM34,FBA79965,Audio Array,AM-Mix6,Audio Mixer,6 channels mixer,,3,21014.4,3,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0GCP1J2HC,FBA79972,Audio Array,M8,Audio Mixer,8 channels Mixer,,37,262367.06,35,0.0,13,1p Sales,2026-07,2026-07-01,2026-07-31
B0GKPXQ8G3,FBA80016,Audio Array,AM-W22,Microphone Wireless Lapel,Wireless Lapel Microphone,,11,31125.38,11,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0GN2LHJY4,FBA80007,Audio Array,MT-12,Audio Mixer,12 channels Mixer,,17,128455.95,18,0.0,11,1p Sales,2026-07,2026-07-01,2026-07-31
B0GN8MFDGZ,FBA79981,Audio Array,AK-61 Neo,Electric Keyboard,61 Key Electronic Keyboard With LED DIsplay,,11,46517.78,14,0.0,9,1p Sales,2026-07,2026-07-01,2026-07-31
B0GN8MMKY1,FBA79980,Audio Array,AK-37-W,Electric Keyboard,37 Key Electronic Keyboard White,,10,31131.34,10,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B0GN8MPYPG,FBA79982,Audio Array,AK-61 Pro,Electric Keyboard,61 Key Electronic Keyboard With LCD DIsplay,,7,32621.19,8,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0GN8RQJRG,FBA79979,Audio Array,AK-37-B,Electric Keyboard,37 Key Electronic Keyboard Black,,9,27958.44,9,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0GN97RFPR,FBA79848,Audio Array,AM-S2,Monitor Speakers,Studio Monitor Speaker,,200,1248678.25,195,0.0,39,1p Sales,2026-07,2026-07-01,2026-07-31
B0GW8R2RYM,FBA80009,Audio Array,AM-C51,Microphone Dynamic,Vocal Microphone,,2,2710.16,3,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0GW8VBCBL,FBA79995,Audio Array,AM-C50,Microphone Dynamic,Vocal Microphone,,1,761.86,2,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0GW8Z556N,FBA79996,Audio Array,AM-C49,Microphone Dynamic,Vocal Microphone,,8,6010.16,9,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0GW8ZQRFK,FBA80010,Audio Array,AM-C52,Microphone Dynamic,Vocal Microphone,,0,0.0,0,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0GW92316G,FBA80004,Audio Array,AM-W36 Pro,Microphone Wireless Handheld,Dual UHF Wireless Microphone With Receiver Box,,6,40672.87,6,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0GW96SHSK,FBA80002,Audio Array,AM-W33 Pro,Microphone Wireless Handheld,Single UHF Wireless Microphone With Receiver,,1,2880.5,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0GXP97CZG,FBA80084,Audio Array,BE-4,Audio Mixer,04 channels Mixer,,38,121398.3,38,0.0,7,1p Sales,2026-07,2026-07-01,2026-07-31
B0GXPBHDRF,FBA80085,Audio Array,M6,Audio Mixer,06 channels Mixer,,19,112695.84,20,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
