brand,model,sku,asin,category_l0,category_l1,return_units,returns_3p,returns_1p,return_value,sellable_units,unsellable_units,sellable_pct,units_sold_30d,return_pct,top_reason,last_return_at,source_files
Audio Array,AM-C42,FBA79010,B0CH4T2BJD,Microphone Condenser,USB Microphone Kit - Boomarm,1,1,0,1500.0,1,0,100.0,34,2.9,UNDELIVERABLE_REFUSED,2026-06-21T04:26:00+00:00,Audio Array
Audio Array,AC-6XL,FBA77171,B0CH4VCD6R,Microphone Accessories,Accessories,15,4,11,2543.0,4,0,100.0,696,2.2,UNDELIVERABLE_REFUSED,2026-08-09T04:58:20+00:00,Audio Array; 1P
Audio Array,AM-W45,FBA79005,B0CKHVHVQ1,Microphone Conference,Wireless Conference Microphone,37,7,30,101324.0,6,1,85.7,996,3.7,QUALITY_UNACCEPTABLE,2026-08-16T11:43:25+00:00,Audio Array; 1P
Audio Array,AI-10,FBA79103,B0CM6NTWBP,Audio Interface,Audio Interface,20,3,17,29993.0,3,0,100.0,191,10.5,UNDELIVERABLE_REFUSED,2026-08-25T11:59:41+00:00,Audio Array; 1P
Audio Array,AI-11,FBA79104,B0CM6NVLT9,Audio Interface,Audio Interface,34,4,30,28819.0,4,0,100.0,354,9.6,UNDELIVERABLE_REFUSED,2026-09-08T04:29:40+00:00,Audio Array; 1P
Audio Array,AI-12,FBA79105,B0CM6WH4ZT,Audio Interface,Audio Interface,59,22,37,40008.0,19,3,86.4,191,30.9,DEFECTIVE,2026-09-02T08:26:21+00:00,Audio Array; 1P
Audio Array,AM-W18,FBA79109,B0CM9HYVDM,Speaker Karaoke,Microphone with Speaker,8,2,6,4903.0,0,2,0.0,148,5.4,NOT_COMPATIBLE,2026-07-23T06:32:59+00:00,Audio Array; 1P
Audio Array,AM-C44,FBA79106,B0CM9KJZWQ,Microphone Dynamic,Dynamic Microphone,2,2,0,5477.0,1,1,50.0,46,4.3,QUALITY_UNACCEPTABLE,2026-08-30T07:55:31+00:00,Audio Array; viomi
Audio Array,AM-W16,FBA79108,B0CM9L1QZG,Microphone Wireless Lapel,Wireless Lapel Microphone,10,3,7,7563.0,2,1,66.7,61,16.4,UNDELIVERABLE_REFUSED,2026-08-10T11:37:34+00:00,Audio Array; 1P
Audio Array,AM-W17,FBA79107,B0CM9P5CCK,Microphone Wireless Lapel,Wireless Lapel Microphone,11,1,10,11476.0,1,0,100.0,163,6.7,UNDELIVERABLE_REFUSED,2026-08-13T03:53:29+00:00,Audio Array; 1P
White Mulberry,WM-GD07-CB,FBA79167,B0CPFS24ML,Desk,Gaming Desk,132,132,0,431508.0,83,49,62.9,417,31.7,UNDELIVERABLE_REFUSED,2026-09-07T09:48:33+00:00,WhiteMulberry
White Mulberry,WM-SE08-CF,FBA79179,B0CPT3Q25C,Desk-Adjustable,Motorized,6,6,0,42108.0,2,4,33.3,22,27.3,UNDELIVERABLE_REFUSED,2026-07-15T06:26:59+00:00,WhiteMulberry
Tonor,TD310+,FBA79696,B0CQX3VB1R,Dynamic Microphone,Hand held Mic + Boom Arm,12,6,6,11124.0,3,3,50.0,74,16.2,UNDELIVERABLE_REFUSED,2026-09-02T05:41:42+00:00,viomi; 1P
Tonor,TD310,FBA79697,B0CQX4K9P5,Dynamic Microphone,Hand held Mic + Stand,21,4,17,16590.0,2,2,50.0,204,10.3,UNDELIVERABLE_REFUSED,2026-09-06T21:37:45+00:00,viomi; 1P
Nexlev,GS-04,FBA79229,B0CQX9ZZMH,Home & Kitchen,Fabric Care,2,2,0,3024.0,0,2,0.0,5,40.0,UNDELIVERABLE_REFUSED,2026-08-19T06:41:49+00:00,Nexlev
Tonor,TM310,FBA79577,B0CSCT63BL,Conference Microphone,Wired,2,2,0,1930.0,0,2,0.0,28,7.1,DEFECTIVE,2026-07-11T11:16:57+00:00,viomi
Nexlev,DF-01-BK,FBA79174,B0CW1JJP9S,HPC,Oral Care,1,1,0,1073.0,0,1,0.0,0,,EXTRA_ITEM,2026-07-01T10:02:10+00:00,Nexlev
Nexlev,MR-01,FBA79263,B0CYSLCRQS,Home & Kitchen,Cleaning & Vacumming,156,156,0,181272.0,94,62,60.3,897,17.4,DEFECTIVE,2026-09-05T16:30:57+00:00,Nexlev; viomi
Nexlev,T-02,FBA79267,B0D2LD6BYJ,HPC,Trimmers & Body Groomers,11,11,0,6666.0,9,2,81.8,62,17.7,DEFECTIVE,2026-08-31T08:19:55+00:00,Nexlev; viomi
Nexlev,HS-01,FBA79272,B0D2LFMY48,HPC,Hair Care,1,1,0,378.0,0,1,0.0,33,3.0,UNDELIVERABLE_REFUSED,2026-06-19T09:00:03+00:00,Nexlev
Nexlev,CR-01,FBA79265,B0D2LHNS9B,HPC,Skin Care,8,8,0,4264.0,6,2,75.0,32,25.0,UNDELIVERABLE_REFUSED,2026-07-26T08:29:20+00:00,Nexlev
Nexlev,SM-01,FBA79276,B0D2LJSQXZ,Home & Kitchen,Cleaning & Vacumming,23,23,0,54211.0,18,5,78.3,88,26.1,UNDELIVERABLE_REFUSED,2026-08-29T06:44:08+00:00,Nexlev
Nexlev,HS-02,FBA79273,B0D2LKB4BJ,HPC,Hair Care,2,2,0,778.0,2,0,100.0,21,9.5,DEFECTIVE,2026-08-31T06:40:04+00:00,Nexlev
Nexlev,ET-01-BK,FBA79373,B0D2P5TGWK,HPC,Oral Care,8,8,0,2360.0,8,0,100.0,83,9.6,UNDELIVERABLE_REFUSED,2026-09-08T03:44:50+00:00,Nexlev
Nexlev,ET-02-GN,FBA79374,B0D2P7WLJB,HPC,Oral Care,4,4,0,1180.0,4,0,100.0,86,4.7,UNDELIVERABLE_REFUSED,2026-08-09T15:26:16+00:00,Nexlev; viomi
Nexlev,GS-05,FBA79268,B0D383WQPB,Home & Kitchen,Fabric Care,11,11,0,10857.0,9,2,81.8,205,5.4,UNDELIVERABLE_REFUSED,2026-09-01T05:32:24+00:00,Nexlev
Audio Array,AM-C46,FBA79380,B0D3M1B4Z8,Microphone Condenser,Condenser Mic with Boom Arm,14,1,13,28298.0,1,0,100.0,270,5.2,UNDELIVERABLE_REFUSED,2026-08-18T12:29:56+00:00,viomi; 1P
Audio Array,AA-19BL,FBA79355,B0D3M86SH1,Microphone Accessories,Accessories,6,4,2,17839.0,3,1,75.0,43,14.0,DAMAGED_BY_FC,2026-08-25T05:03:17+00:00,Audio Array; viomi; 1P
Nexlev,HM-01,FBA79332,B0D63FKYZ5,HPC,Hair Care,1,1,0,490.0,1,0,100.0,176,0.6,UNDELIVERABLE_UNKNOWN,2026-08-18T04:54:04+00:00,Nexlev
Nexlev,SC-03,FBA79277,B0D672NXC8,Home & Kitchen,Cleaning & Vacumming,20,20,0,81040.0,7,13,35.0,54,37.0,UNDELIVERABLE_REFUSED,2026-09-03T03:46:41+00:00,Nexlev
Nexlev,EA-01,FBP79350,B0D67727VG,HPC,Hair Care,31,31,0,22010.0,22,9,71.0,297,10.4,UNDELIVERABLE_REFUSED,2026-09-08T06:16:52+00:00,Nexlev; viomi
Nexlev,HD-02,FBA79348,B0D81DLSFT,HPC,Hair Care,1,1,0,448.0,1,0,100.0,83,1.2,UNDELIVERABLE_UNKNOWN,2026-09-04T15:06:40+00:00,Nexlev
Nexlev,V-01,FBA79271,B0D83Q7L8W,HPC,Hair Care,1,1,0,728.0,1,0,100.0,49,2.0,UNDELIVERABLE_REFUSED,2026-09-08T08:44:37+00:00,Nexlev
Nexlev,ETC-05-PI,FBK79347,B0D842173P,HPC,Oral Care,1,1,0,413.0,1,0,100.0,6,16.7,UNDELIVERABLE_REFUSED,2026-08-12T08:05:37+00:00,Nexlev
Nexlev,LR-01,FBA79279,B0D8445KJN,Home & Kitchen,Fabric Care,2,2,0,888.0,2,0,100.0,207,1.0,QUALITY_UNACCEPTABLE,2026-09-06T04:39:22+00:00,Nexlev
Nexlev,LR-02,FBA79280,B0D845B2DG,Home & Kitchen,Fabric Care,9,9,0,8091.0,9,0,100.0,100,9.0,UNDELIVERABLE_REFUSED,2026-09-06T06:25:16+00:00,Nexlev; viomi
Nexlev,SW-01,FBA79349,B0D9KDQCCM,Home & Kitchen,Fabric Care,56,56,0,22904.0,28,28,50.0,104,53.8,QUALITY_UNACCEPTABLE,2026-09-07T07:27:35+00:00,CRPL; Nexlev; viomi
Nexlev,HSB-03,FBA79405,B0D9KFP4MG,HPC,Hair Care,19,19,0,16492.0,16,3,84.2,181,10.5,UNDELIVERABLE_REFUSED,2026-09-07T04:27:41+00:00,Nexlev; viomi
Nexlev,LE-03,FBA79443,B0D9KFQG8Q,HPC,Skin Care,4,4,0,4356.0,4,0,100.0,10,40.0,UNDELIVERABLE_REFUSED,2026-08-30T09:15:59+00:00,Nexlev
Nexlev,FS-01,FBA79404,B0D9KFZYG8,HPC,Skin Care,5,5,0,4480.0,3,2,60.0,229,2.2,UNDELIVERABLE_REFUSED,2026-07-27T05:34:43+00:00,Nexlev; viomi
White Mulberry,WM-GS1M-BK,FBA79476,B0DB5VG39T,Monitor Arm,Monitor Arm,9,9,0,12069.0,6,3,66.7,704,1.3,UNDELIVERABLE_REFUSED,2026-08-24T06:15:41+00:00,viomi
White Mulberry,WM-GS2M-BK,FBA79477,B0DB5VVPSB,Monitor Arm,Monitor Arm,7,7,0,15652.0,5,2,71.4,132,5.3,MISSING_PARTS,2026-08-25T03:56:19+00:00,viomi
White Mulberry,WM-HA1M-BK,FBA79478,B0DB5W4TCP,Monitor Arm,Monitor Arm,1,1,0,866.0,0,1,0.0,58,1.7,NEVER_ARRIVED,2026-09-06T06:25:08+00:00,viomi
White Mulberry,WM-HA2M-BK,FBA79479,B0DB5YTQZV,Monitor Arm,Monitor Arm,7,7,0,9660.0,1,6,14.3,221,3.2,UNDELIVERABLE_REFUSED,2026-09-06T07:50:46+00:00,viomi
Nexlev,LE-02,FBA79440,B0DCGHKRXX,HPC,Hair Care,5,5,0,4050.0,4,1,80.0,55,9.1,UNDELIVERABLE_REFUSED,2026-08-25T08:55:18+00:00,Nexlev
Nexlev,VC-01,FBA79452,B0DCGHVN81,Home & Kitchen,Cleaning & Vacumming,133,133,0,144704.0,60,73,45.1,761,17.5,UNDELIVERABLE_REFUSED,2026-09-08T09:38:05+00:00,Nexlev; viomi
Nexlev,HSB-04,FBA79406,B0DCK3N2JJ,HPC,Hair Care,43,43,0,41323.0,33,10,76.7,149,28.9,DEFECTIVE,2026-09-06T22:59:55+00:00,Nexlev; viomi
Nexlev,LE-04,FBA79469,B0DCK4DR1B,HPC,Skin Care,5,5,0,2970.0,5,0,100.0,22,22.7,UNDELIVERABLE_REFUSED,2026-08-06T04:29:48+00:00,Nexlev
