asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0DN6PFWNK,FBA79655,Audio Array,AM-C44 Pro,5235.0,5199.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0DFMKY4TT,FBA79448,Audio Array,AM-W35,3599.0,3589.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,3.0,,2026-08-03T07:52:36.708085+00:00
B0FPR7VFCH,FBA79815,Audio Array,AM-W19,2483.0,2483.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,1.0,,2026-08-03T07:52:36.708085+00:00
B0B4G8ZB64,FBA75675,Audio Array,AM-C3,999.0,999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0DFMLQBMC,FBA79444,Audio Array,AM-W20,1948.0,1948.0,1949.0,Other 3P (A3UU1YIVA5VF6D),A3UU1YIVA5VF6D,2.0,,2026-08-03T07:52:36.708085+00:00
B0D3LZWTHV,FBA79379,Audio Array,AM-C45,3474.0,3449.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0CBCB82MT,FBA78960,Audio Array,AM-C39,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CM9P5CCK,FBA79107,Audio Array,AM-W17,1714.0,1699.0,1850.0,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0FN7DYB2M,FBA79844,Audio Array,PB-08 (AM-C1 + AI-04),,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0F2HYY7JF,FBA79722,Audio Array,AM-W21,2949.0,2949.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,3.0,,2026-08-03T07:52:36.708085+00:00
