asin,brand,model,sku,account,referral_rs,referral_pct,variable_closing_rs,per_item_rs,fba_fees_rs,total_fees_rs,total_fees_pct,referral_rs_gross,total_fees_rs_gross,gst_rate,price_used_rs,price_source,buybox_price_rs,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0DFCDKMWR,Nexlev,CM-01-BL,FBA79464,NEXLEV,119.18,7.5,0.0,52.0,59.0,230.18,14.49,140.63,271.61,0.18,1589.0,listing,1499.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DFM4JZV9,Nexlev,TI-01,FBA79466,NEXLEV,316.81,13.0,0.0,52.0,77.0,445.81,18.29,373.84,526.06,0.18,2437.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DK9LYT4P,Nexlev,TM-01,FBA79467,NEXLEV,100.61,9.5,0.0,52.0,59.0,211.61,19.98,118.72,249.7,0.18,1059.0,listing,1059.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DCK7J87D,Nexlev,SPM-01,FBA79468,NEXLEV,190.76,4.5,0.0,52.0,148.0,390.76,9.22,225.1,461.1,0.18,4239.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0GKNGWLJ2,Nexlev,SPM-01,FBK80015,NEXLEV,489.6,12.0,0.0,52.0,148.0,689.6,16.9,577.73,813.73,0.18,4080.0,listing,3899.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DCK4DR1B,Nexlev,LE-04,FBA79469,NEXLEV,0.0,0.0,0.0,27.0,59.0,86.0,8.61,0.0,101.48,0.18,999.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DFCDZWND,Nexlev,CM-02-PR,FBA79472,NEXLEV,102.53,7.5,0.0,52.0,59.0,213.53,15.62,120.99,251.97,0.18,1367.0,listing,1367.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DJFH6RTL,Nexlev,TI-02,FBA79473,NEXLEV,227.24,13.0,0.0,52.0,77.0,356.24,20.38,268.14,420.36,0.18,1748.0,listing,1699.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DJFH4K8B,Nexlev,TIC-03,FBA79474,NEXLEV,261.69,13.0,0.0,52.0,77.0,390.69,19.41,308.79,461.01,0.18,2013.0,listing,1949.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DJFJZMC6,Nexlev,TIC-04,FBA79475,NEXLEV,304.63,12.5,0.0,52.0,77.0,433.63,17.79,359.46,511.68,0.18,2437.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
