asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0BBL47VR5,FBA77116,Tonor,TC40S,3499.0,3499.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B09Z5Q194D,FBA77103,Tonor,ORCA001,3799.0,3799.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B083LPYPS9,FBA77112,Tonor,K20,77782.0,,77782.0,Other 3P (A2BWJVKSWP7TR2),A2BWJVKSWP7TR2,1.0,,2026-08-03T08:04:48.948986+00:00
B0BGL16PJR,FBK78924,Tonor,K9,,,,,,,,2026-08-03T08:04:48.948986+00:00
B0BGL16PJR,FBA78924,Tonor,K9,,,,,,,,2026-08-03T08:04:48.948986+00:00
B0BG8CJXHH,FBA79575,Tonor,TC30+,2267.19,2267.19,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,1.0,,2026-08-03T08:04:48.948986+00:00
B0BRCR2QQ7,FBA79576,Tonor,TC30S+,2799.0,2799.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B0CSCT63BL,FBA79577,Tonor,TM310,2399.0,2399.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B0CQX4GVSB,FBA79579,Tonor,D2,,,,,,,,2026-08-03T08:04:48.948986+00:00
B0CCVBQRFX,FBA79582,Tonor,TD510+,9399.0,9399.0,16683.0,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,1.0,,2026-08-03T08:04:48.948986+00:00
B0CFKHCQ8W,FBA79585,Tonor,T20LP,2099.0,2099.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B0CH9JR3HL,FBA79586,Tonor,TRL-20,,,,,,,,2026-08-03T08:04:48.948986+00:00
B0DTYHXMRQ,FBA79260,Tonor,G11,,,,,,,HTTP 400,2026-08-03T08:04:48.948986+00:00
B0BVHZ5MKZ,FBK77102,Tonor,G11,2549.0,2549.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,1.0,,2026-08-03T08:04:48.948986+00:00
