brand,sku,asin,model,category_l1,category_l2,product_name,latest_fob,nlc,dp,mrp,bau_deal_sp,bau_sp_mop,gross_margin,gross_margin_pct,net_margin,net_margin_pct,total_stock,soh,am_soh,am_intransit
White Mulberry,FBA79165,B0CPFPT6DZ,WM-USE06-WH,USB Drawer Desk,,USB Drawer Desk,88.4,12481.6329,10827.66,33999,24999.0,26498.94,10357.94,41.43,1928.69,7.72,0,0,0,0
White Mulberry,FBA79434,B0DC3SJMZ6,WM-USE06-WB,USB Drawer Desk,,USB Drawer Desk,88.4,14120.352,12216.4,33999,25999.0,27558.94,9816.65,37.76,-211.7,-0.81,0,0,0,0
White Mulberry,FBA79435,B0DC3NPKGF,WM-USE06-WW,USB Drawer Desk,,USB Drawer Desk,88.4,14120.352,12216.4,33999,19999.0,21198.94,4731.91,23.66,-3616.44,-18.08,0,0,0,0
White Mulberry,FBA79476,B0DB5VG39T,WM-GS1M-BK,Single Gas Spring,,Single Gas Spring,8.08,1032.763248714441,875.22,5399,2499.0,2648.94,1242.57,49.72,212.25,8.49,1106,0,184,22
White Mulberry,FBA79477,B0DB5VVPSB,WM-GS2M-BK,Dual Gas Spring,,Dual Gas Spring,15.02,1926.399292535647,1632.54,7599,4599.0,4874.94,2264.92,49.25,495.1,10.77,788,205,47,3
White Mulberry,FBA79478,B0DB5W4TCP,WM-HA1M-BK,Single Height Adjustable,,Single Height Adjustable,5.2685,773.4852652499998,655.5,3799,1599.0,1694.94,699.59,43.75,-134.66,-8.42,652,573,80,15
White Mulberry,FBA79479,B0DB5YTQZV,WM-HA2M-BK,Dual Height Adjustable,,Dual Height Adjustable,7.093,917.9999153999998,777.97,5699,1899.0,2012.94,831.36,43.78,-42.78,-2.25,721,4,61,6
White Mulberry,FBA79612,B0DP2WC5VW,WM1ML,Wall Mount,,Wall Mount,9.221300000000001,1171.489165335,992.79,3799,2899.0,3072.94,1463.99,50.5,302.57,10.44,2014,10,65,10
White Mulberry,FBA79613,B0DP2VVRND,MS1ML,Single Ht Adj Monitor Stand,,Single Ht Adj Monitor Stand,6.116750000000001,800.0864380323529,678.04,2499,1959.0,2076.54,982.13,50.13,132.42,6.76,1032,5,107,84
White Mulberry,FBA79614,B0DP313R77,MS2ML,Dual Ht Adj Monitor Stand,,Dual Ht Adj Monitor Stand,8.69675,1121.113853931176,950.1,3499,2859.0,3030.54,1472.78,51.51,294.4,10.3,0,0,4,4
White Mulberry,FBA79615,B0DP2Z5DQ9,VLMS1ML, Vertical Lift Steel Monitor Stand,, Vertical Lift Steel Monitor Stand,9.7061,1239.149977180941,1050.13,3999,2799.0,2966.94,1321.91,47.23,119.07,4.25,280,247,22,20
White Mulberry,FBA79616,B0DP3194QN,HD1ML,Heavy Duty,,Heavy Duty,13.534,1715.832950044236,1454.1,5599,3999.0,4238.94,1934.89,48.38,366.92,9.18,4,4,1,0
White Mulberry,FBA79617,B0DP32F346,HDWF1ML,Wooden Desk Mount,,Wooden Desk Mount,10.7969,1368.756828225,1159.96,4499,3199.0,3390.94,1551.05,48.49,222.85,6.97,672,22,164,18
White Mulberry,FBK79784,B0FN4FHH5Y,POS2M,POS Stand,,POS Stand,16.61,2115.993407519647,1793.21,4499,5499.0,5828.94,2866.95,52.14,241.07,4.38,22,8,10,0
White Mulberry,FBK79785,B0FN4HDBN5,POS2MK,POS Stand,,POS Stand,22.31,2852.637816977206,2417.49,6299,6899.0,7312.94,3429.12,49.7,180.27,2.61,18,18,0,0
White Mulberry,FBK79786,B0FN4FPJ83,POSS-01,POS Stand,,POS Stand,4.88,613.4871437917941,519.9,4499,1999.0,2118.94,1174.16,58.74,150.47,7.53,139,85,68,0
White Mulberry,FBK79787,B0FN4GQ9HT,TVCF1ML,TV Wall Mount,,TV Wall Mount,1.44,183.904232492647,155.85,4499,729.0,772.74,461.95,63.37,182.85,25.08,570,470,139,24
White Mulberry,FBK79788,B0FN4D3C89,TVCT1ML,TV Wall Mount,,TV Wall Mount,0.93,118.0837929938824,100.07,4499,429.0,454.74,263.49,61.42,64.66,15.07,1010,0,48,0
White Mulberry,FBK79789,B0FN4DSQ6P,TVMF1ML,TV Wall Mount,,TV Wall Mount,1.47,187.4573969405294,158.86,4499,579.0,613.74,331.82,57.31,52.44,9.06,1035,23,279,18
White Mulberry,FBK79790,B0FN4GJ9S1,TVLF1ML,TV Wall Mount,,TV Wall Mount,1.76,221.3913917647058,187.62,4499,773.0,819.38,467.46,60.47,137.69,17.81,583,583,0,0
White Mulberry,FBK79791,B0FN4HDM6Z,TVFM1ML,TV Wall Mount,,TV Wall Mount,5.96,757.0485045878823,641.57,4499,2255.0,2390.3,1269.45,56.29,214.19,9.5,701,592,138,0
White Mulberry,FBK79792,B0FN4JG97R,HDMSP1ML,Heavy Duty Pole,,Heavy Duty Pole,16.22,2048.928059917059,1736.38,6499,5499.0,5828.94,2923.79,53.17,406.27,7.39,0,0,1,0
White Mulberry,FBK79793,B0FN81FD8M,HDGS1ML,Heavy Duty Gas Spring,,Heavy Duty Gas Spring,25.82,3250.218056759999,2754.42,4499,8470.0,8978.2,4423.54,52.23,608.9,7.19,10,10,2,0
