week,Model,inventory_ampm,inventory_1p,inventory_amazon,inventory_total_amazon,pipeline_orders,inv_units_model
13,AR11772,0.0,0.0,9.0,9.0,0.0,9.0
13,AR11773,0.0,0.0,8.0,8.0,0.0,8.0
13,AR11774,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11783,0.0,0.0,10.0,10.0,0.0,10.0
13,AR1676,0.0,0.0,1.0,1.0,0.0,1.0
13,AR1926,0.0,0.0,13.0,13.0,0.0,13.0
13,AR1979,0.0,0.0,17.0,17.0,0.0,17.0
13,AR2434,0.0,0.0,2.0,2.0,0.0,2.0
13,AR2502,0.0,0.0,6.0,6.0,0.0,6.0
13,AR60076,0.0,0.0,1.0,1.0,0.0,1.0
13,AR60079,0.0,0.0,1.0,1.0,0.0,1.0
13,AR60080,0.0,0.0,4.0,4.0,0.0,4.0
13,AR70010,0.0,0.0,4.0,4.0,0.0,4.0
13,AR80065SET,0.0,0.0,1.0,1.0,0.0,1.0
13,AR80083SET,0.0,0.0,4.0,4.0,0.0,4.0
13,AR80087SET,0.0,0.0,6.0,6.0,0.0,6.0
13,AS-01,1.0,0.0,0.0,1.0,0.0,1.0
13,AX1343,0.0,0.0,298.0,298.0,0.0,298.0
13,AX1739,0.0,0.0,4.0,4.0,0.0,4.0
13,AX1742,0.0,0.0,3.0,3.0,0.0,3.0
13,AX1764,0.0,0.0,1.0,1.0,0.0,1.0
13,AX1767,0.0,0.0,1.0,1.0,0.0,1.0
13,AX1769,0.0,0.0,15.0,15.0,0.0,15.0
13,AX1956,0.0,0.0,8.0,8.0,0.0,8.0
13,AX1962,0.0,0.0,3.0,3.0,0.0,3.0
13,AX1964,0.0,0.0,1.0,1.0,0.0,1.0
13,AX1970,0.0,0.0,10.0,10.0,0.0,10.0
13,AX1971,0.0,0.0,12.0,12.0,0.0,12.0
13,AX1972,0.0,0.0,13.0,13.0,0.0,13.0
13,AX1973,0.0,0.0,13.0,13.0,0.0,13.0
13,AX2101,0.0,0.0,1.0,1.0,0.0,1.0
13,AX2413,0.0,0.0,10.0,10.0,0.0,10.0
13,AX2454,0.0,0.0,3.0,3.0,0.0,3.0
13,AX2460,0.0,0.0,0.0,0.0,0.0,0.0
13,AX2461,0.0,0.0,28.0,28.0,0.0,28.0
13,AX2463,0.0,0.0,35.0,35.0,0.0,35.0
13,AX2766,0.0,0.0,7.0,7.0,0.0,7.0
13,AX2767,0.0,0.0,7.0,7.0,0.0,7.0
13,AX2820,0.0,0.0,2.0,2.0,0.0,2.0
13,AX2821,0.0,0.0,3.0,3.0,0.0,3.0
13,AX2822,0.0,0.0,6.0,6.0,0.0,6.0
13,AX2823,0.0,0.0,5.0,5.0,0.0,5.0
13,AX4173,0.0,0.0,3.0,3.0,0.0,3.0
13,AX4180,0.0,0.0,2.0,2.0,0.0,2.0
13,AX4181,0.0,0.0,14.0,14.0,0.0,14.0
13,AX4182,0.0,0.0,32.0,32.0,0.0,32.0
13,AX4183,0.0,0.0,22.0,22.0,0.0,22.0
13,AX4184,0.0,0.0,72.0,72.0,0.0,72.0
