week,brand,model,sku,asin,channel,type,category_l0,category_l1,category_l2,inventory_units,inventory_value,nlc
Week 10,Nexlev,ETC-04-WH,FBA79346,B0D25LNDSY,AMPM,Warehouse,HPC,Oral Care,Electric Toothbrush,1183.0,487396.0,412.0
Week 10,Nexlev,ETC-04-WH,FBA79346,B0D25LNDSY,Amazon,Marketplace,HPC,Oral Care,Electric Toothbrush,80.0,32960.0,412.0
Week 10,Nexlev,ETC-04-WH,FBA79346,B0D25LNDSY,Blinkit,Marketplace,HPC,Oral Care,Electric Toothbrush,29.0,11948.0,412.0
Week 10,Nexlev,ETC-04-WH,FBA79346,B0D25LNDSY,YNT,Dispatch Partner,HPC,Oral Care,Electric Toothbrush,11.0,4532.0,412.0
Week 10,Nexlev,ETC-05-PI,FBK79347,B0D842173P,1p,1P,HPC,Oral Care,Electric Toothbrush,1.0,413.0,413.0
Week 10,Nexlev,ETC-05-PI,FBK79347,B0D842173P,AMPM,Warehouse,HPC,Oral Care,Electric Toothbrush,97.0,40061.0,413.0
Week 10,Nexlev,ETC-05-PI,FBK79347,B0D842173P,Amazon,Marketplace,HPC,Oral Care,Electric Toothbrush,37.0,15281.0,413.0
Week 10,Nexlev,ETC-05-PI,FBK79347,B0D842173P,YNT,Dispatch Partner,HPC,Oral Care,Electric Toothbrush,15.0,6195.0,413.0
Week 10,Nexlev,ETC-07-WH,FBA79673,B0FJG5PFGQ,Amazon,Marketplace,HPC,Oral Care,Electric Toothbrush,139.0,51569.0,371.0
Week 10,Nexlev,ETC-08-BL,FBA79707,B0FJ1ZB4G9,Amazon,Marketplace,HPC,Oral Care,Electric Toothbrush,123.0,45879.0,373.0
Week 10,Nexlev,ETC-08-BL,FBA79707,B0FJ1ZB4G9,YNT,Dispatch Partner,HPC,Oral Care,Electric Toothbrush,38.0,14174.0,373.0
Week 10,Nexlev,ETR-06,FBA79381,B0D9KCNVNM,AMPM,Warehouse,HPC,Oral Care,Electric Toothbrush - Oscillating,50.0,33600.0,672.0
Week 10,Nexlev,ETR-06,FBA79381,B0D9KCNVNM,Amazon,Marketplace,HPC,Oral Care,Electric Toothbrush - Oscillating,35.0,23520.0,672.0
Week 10,Nexlev,ETR-06,FBA79381,B0D9KCNVNM,B2B - AMPM,Warehouse,HPC,Oral Care,Electric Toothbrush - Oscillating,20.0,13440.0,672.0
Week 10,Nexlev,ETR-06,FBA79381,B0D9KCNVNM,Blinkit,Marketplace,HPC,Oral Care,Electric Toothbrush - Oscillating,4.0,2688.0,672.0
Week 10,Nexlev,FM-01,FBA79592,B0DMSMKRD9,AMPM,Warehouse,HPC,Electric Massagers,Foot Massager,1.0,1837.0,1837.0
Week 10,Nexlev,FM-02,FBA79593,B0DMSSLXST,AMPM,Warehouse,HPC,Electric Massagers,Foot Massager - Mini,1.0,890.0,890.0
Week 10,Nexlev,FS-01,FBA79404,B0D9KFZYG8,1p,1P,HPC,Skin Care,Face Steamer,0.0,0.0,896.0
Week 10,Nexlev,FS-01,FBA79404,B0D9KFZYG8,AMPM,Warehouse,HPC,Skin Care,Face Steamer,769.0,689024.0,896.0
Week 10,Nexlev,FS-01,FBA79404,B0D9KFZYG8,Amazon,Marketplace,HPC,Skin Care,Face Steamer,193.0,172928.0,896.0
Week 10,Nexlev,FS-01,FBA79404,B0D9KFZYG8,B2B - AMPM,Warehouse,HPC,Skin Care,Face Steamer,0.0,0.0,896.0
Week 10,Nexlev,FS-01,FBA79404,B0D9KFZYG8,Blinkit,Marketplace,HPC,Skin Care,Face Steamer,27.0,24192.0,896.0
Week 10,Nexlev,FS-01,FBA79404,B0D9KFZYG8,Pipeline,In-Transit Inventory,HPC,Skin Care,Face Steamer,1000.0,896000.0,896.0
Week 10,Nexlev,GS-01,FBK78979,B0CDPQXPC1,AMPM,Warehouse,Home & Kitchen,Fabric Care,Garment steamer,4.0,5040.0,1260.0
Week 10,Nexlev,GS-01,FBK78979,B0CDPQXPC1,Amazon,Marketplace,Home & Kitchen,Fabric Care,Garment steamer,0.0,0.0,1260.0
Week 10,Nexlev,GS-02,FBA78980,B0CDPMX152,AMPM,Warehouse,Home & Kitchen,Fabric Care,Garment steamer,356.0,448560.0,1260.0
Week 10,Nexlev,GS-02,FBA78980,B0CDPMX152,Amazon,Marketplace,Home & Kitchen,Fabric Care,Garment steamer,389.0,490140.0,1260.0
Week 10,Nexlev,GS-02,FBA78980,B0CDPMX152,B2B - AMPM,Warehouse,Home & Kitchen,Fabric Care,Garment steamer,281.0,354060.0,1260.0
Week 10,Nexlev,GS-02,FBA78980,B0CDPMX152,Blinkit,Marketplace,Home & Kitchen,Fabric Care,Garment steamer,77.0,97020.0,1260.0
Week 10,Nexlev,GS-02,FBA78980,B0CDPMX152,YNT,Dispatch Partner,Home & Kitchen,Fabric Care,Garment steamer,81.0,102060.0,1260.0
Week 10,Nexlev,GS-04,FBA79229,B0CQX9ZZMH,AMPM,Warehouse,Home & Kitchen,Fabric Care,Garment steamer,39.0,58968.0,1512.0
Week 10,Nexlev,GS-04,FBA79229,B0CQX9ZZMH,Amazon,Marketplace,Home & Kitchen,Fabric Care,Garment steamer,8.0,12096.0,1512.0
Week 10,Nexlev,GS-04,FBA79229,B0CQX9ZZMH,YNT,Dispatch Partner,Home & Kitchen,Fabric Care,Garment steamer,7.0,10584.0,1512.0
Week 10,Nexlev,GS-05,FBA79268,B0D383WQPB,AMPM,Warehouse,Home & Kitchen,Fabric Care,Garment steamer,624.0,615888.0,987.0
Week 10,Nexlev,GS-05,FBA79268,B0D383WQPB,Amazon,Marketplace,Home & Kitchen,Fabric Care,Garment steamer,249.0,245763.0,987.0
Week 10,Nexlev,GS-05,FBA79268,B0D383WQPB,B2B - AMPM,Warehouse,Home & Kitchen,Fabric Care,Garment steamer,159.0,156933.0,987.0
Week 10,Nexlev,GS-05,FBA79268,B0D383WQPB,Blinkit,Marketplace,Home & Kitchen,Fabric Care,Garment steamer,53.0,52311.0,987.0
Week 10,Nexlev,GS-05,FBA79268,B0D383WQPB,YNT,Dispatch Partner,Home & Kitchen,Fabric Care,Garment steamer,87.0,85869.0,987.0
Week 10,Nexlev,HB-01,FBA79676,B0DV91JGF1,AMPM,Warehouse,HPC,Electric Massagers,Heated Wrap Belt,0.0,0.0,1175.0
Week 10,Nexlev,HB-01,FBA79676,B0DV91JGF1,Amazon,Marketplace,HPC,Electric Massagers,Heated Wrap Belt,45.0,52875.0,1175.0
Week 10,Nexlev,HD-01,FBA79278,B0D86ZC9YT,1p,1P,HPC,Hair Care,Hair Dryer,1.0,769.0,769.0
Week 10,Nexlev,HD-01,FBA79278,B0D86ZC9YT,AMPM,Warehouse,HPC,Hair Care,Hair Dryer,977.0,751313.0,769.0
Week 10,Nexlev,HD-01,FBA79278,B0D86ZC9YT,Amazon,Marketplace,HPC,Hair Care,Hair Dryer,29.0,22301.0,769.0
Week 10,Nexlev,HD-01,FBA79278,B0D86ZC9YT,B2B - AMPM,Warehouse,HPC,Hair Care,Hair Dryer,191.0,146879.0,769.0
Week 10,Nexlev,HD-01,FBA79278,B0D86ZC9YT,YNT,Dispatch Partner,HPC,Hair Care,Hair Dryer,153.0,117657.0,769.0
Week 10,Nexlev,HD-02,FBA79348,B0D81DLSFT,1p,1P,HPC,Hair Care,Hair Dryer,0.0,0.0,448.0
Week 10,Nexlev,HD-02,FBA79348,B0D81DLSFT,AMPM,Warehouse,HPC,Hair Care,Hair Dryer,606.0,271488.0,448.0
Week 10,Nexlev,HD-02,FBA79348,B0D81DLSFT,Amazon,Marketplace,HPC,Hair Care,Hair Dryer,198.0,88704.0,448.0
Week 10,Nexlev,HD-02,FBA79348,B0D81DLSFT,B2B - AMPM,Warehouse,HPC,Hair Care,Hair Dryer,130.0,58240.0,448.0
Week 10,Nexlev,HD-02,FBA79348,B0D81DLSFT,Blinkit,Marketplace,HPC,Hair Care,Hair Dryer,4.0,1792.0,448.0
Week 10,Nexlev,HD-02,FBA79348,B0D81DLSFT,YNT,Dispatch Partner,HPC,Hair Care,Hair Dryer,6.0,2688.0,448.0
Week 10,Nexlev,HM-01,FBA79332,B0D63FKYZ5,1p,1P,HPC,Hair Care,Head Massager,3.0,1470.0,490.0
Week 10,Nexlev,HM-01,FBA79332,B0D63FKYZ5,AMPM,Warehouse,HPC,Hair Care,Head Massager,322.0,157780.0,490.0
