asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0DK9QNKK8,FBA79485,Nexlev,TM-04,1059.0,1059.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DFCG2VGS,FBA79488,Nexlev,KE-01,1749.0,1749.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DFD123P5,FBA79489,Nexlev,KE-02,1975.0,1975.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,1.0,,2026-08-03T10:44:11.848967+00:00
B0DT6Y7KJM,FBA79492,Nexlev,V-02,2119.0,2119.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DQCWRG3H,FBA79493,Nexlev,V-03,1999.0,1999.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DKJZDY72,FBA79565,Nexlev,VC-04,1499.0,1499.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DKJSCLBD,FBA79566,Nexlev,VC-05,2384.0,2384.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DNJS23HS,FBA79567,Nexlev,SC-04,5999.0,5999.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DKJRML4K,FBA79569,Nexlev,LE-06,,,,,,,HTTP 400,2026-08-03T10:44:11.848967+00:00
B0DKJXRXKM,FBA79570,Nexlev,BR-01,1717.0,1717.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DKK12XWR,FBA79571,Nexlev,IPL-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DKJVWM8Q,FBA79572,Nexlev,LE-07,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DKK15YNJ,FBA79573,Nexlev,EA-02,2499.0,2499.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DHRQPGGM,FBA79588,Nexlev,EA-01 Pro,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DNJP9T35,FBA79589,Nexlev,SS-02,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0GLHC8CB3,FBK80024,Nexlev,SS-02,1699.0,1699.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DM6BB3VT,FBA79590,Nexlev,CFM-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DM66B2DW,FBA79591,Nexlev,KM-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0F29SZCVF,FBK79591,Nexlev,KM-01,1536.0,1536.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DMSMKRD9,FBA79592,Nexlev,FM-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DMSSLXST,FBA79593,Nexlev,FM-02,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DM6MG4ZH,FBA79594,Nexlev,EM-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DMSHZXG2,FBA79595,Nexlev,EM-02,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0DMT19RWC,FBA79596,Nexlev,MG-01,1854.0,1854.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DNJHKZ2G,FBA79597,Nexlev,BM-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DNJJKBKG,FBK79598,Nexlev,BM-02,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DRD8J8R5,FBA79599,Nexlev,VC-06,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0F43P6D23,FBA79652,Nexlev,SC-05,3499.0,3499.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0FJG5PFGQ,FBA79673,Nexlev,ETC-07-WH,794.0,794.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DV8XH455,FBA79674,Nexlev,BM-03,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DV9MYK6S,FBA79675,Nexlev,PM-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DV91JGF1,FBA79676,Nexlev,HB-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DVCBR11D,FBA79677,Nexlev,NP-06,1059.0,1059.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DVCDD5VC,FBA79678,Nexlev,NP-07,1059.0,1059.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DVC7VJP1,FBA79679,Nexlev,ST-01,6399.0,6399.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DVC968P1,FBA79681,Nexlev,HU-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DVC8NYY2,FBA79682,Nexlev,HU-02,1899.0,1899.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DVC9PRSD,FBA79683,Nexlev,AP-01,17679.0,17679.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,1.0,,2026-08-03T10:44:11.848967+00:00
B0DVC9Q219,FBA79684,Nexlev,AP-02,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DV8V3Y88,FBAM79685,Nexlev,LE-08,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0DV94R4QD,FBA79686,Nexlev,MGS-02,953.0,953.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DV9CY3XR,FBA79687,Nexlev,MGC-03,2013.0,2013.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DV8TR64D,FBA79688,Nexlev,MM-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DVSZ2VVJ,FBA79689,Nexlev,CFM-02,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DV931G48,FBA79690,Nexlev,PM-02,1767.0,1767.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DVC58QPZ,FBA79692,Nexlev,AP-03,4499.0,4499.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DVC91Q7J,FBA79693,Nexlev,TM-05,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DTK4FY1G,FBA79698,Nexlev,SS-01,2543.0,2543.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DTYDTKN8,FBA79699,Nexlev,SPM-01,4239.0,4239.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0FJ1ZB4G9,FBA79707,Nexlev,ETC-08-BL,794.0,794.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0FJ8SFNRH,FBA79809,Nexlev,KE-03,635.0,635.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0FS7T8151,FBA79810,Nexlev,MF-01,508.0,508.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0FSF1N457,FBA79811,Nexlev,MC-01,599.0,599.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0FS6TB7CP,FBA79812,Nexlev,PB-01,2499.0,2499.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0FT8R24QM,FBA79819,Nexlev,LR-03,415.0,415.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T10:44:11.848967+00:00
B0FPGDVVCX,FBA79849,Nexlev,CFM-03,5799.0,5799.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DQ8W1RBV,FBK79271,Nexlev,V-01 RG,1483.0,1483.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0D845B2DG,FBA79280,Nexlev,LR-02,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0F2N1HTBT,FBA79714,Nexlev,SC-04 Set of 2 Mops,299.0,299.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0FMF1D9NV,FBA79843,Nexlev,SC-04 Spare Set,,899.0,,,,1.0,,2026-08-03T10:44:11.848967+00:00
B0F2MZ8CG9,FBA79716,Nexlev,SM-01 Set of 2 Mops,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0F2MZ9BJS,FBA79717,Nexlev,SPM-01 Set of 2 Mops,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0F2N37819,FBA79606,Nexlev,LR-01 Set of 2 blades,299.0,299.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0F2N11VTN,FBA79607,Nexlev,LR-02 Set of 2 blades,499.0,499.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DGTGKPJR,FBA79436,Nexlev,MR-01 HEPA Filter,299.0,299.0,299.0,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0F2N4N83Y,FBA79721,Nexlev,MR-02 HEPA Filter,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0F2N31GNX,FBA79657,Nexlev,SS-02 Set of Spares,875.0,875.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
