asin,brand,avg_rating,rating_count
B0DT6Y7KJM,Nexlev,4.0,323
B0DQ8W1RBV,Nexlev,4.0,323
B0CYSMBCB8,Nexlev,3.5,322
B0CDPMX152,Nexlev,4.1,306
B0D2P7WLJB,Nexlev,3.7,286
B0D2P5TGWK,Nexlev,3.7,285
B09Z5Q194D,Tonor,4.4,249
B0CPT25SD8,White Mulberry,4.5,245
B0BF4S7V8C,White Mulberry,4.5,245
B0DQ1PKNSP,White Mulberry,4.5,245
B0DQ1NV8D2,White Mulberry,4.5,244
B0BF4T7SWK,White Mulberry,4.5,243
B0BGL16PJR,Tonor,4.0,219
B0DQ4YWSMC,White Mulberry,4.2,212
B0DQ51R95T,White Mulberry,4.2,212
B0DQ4ZK2WQ,White Mulberry,4.2,210
B0BMQQQ7YD,White Mulberry,4.2,210
B0CPT34B2L,White Mulberry,4.3,209
B0CPT2NY5M,White Mulberry,4.2,208
B0CPT3Q25C,White Mulberry,4.2,208
B0D9KDQCCM,Nexlev,2.5,206
B0CQX4K9P5,Tonor,4.3,202
B0DFD123P5,Nexlev,3.7,194
B0DFCG2VGS,Nexlev,3.7,191
B0CQX3VB1R,Tonor,4.1,176
B0DFCDKMWR,Nexlev,4.0,163
B0DFCDZWND,Nexlev,4.0,163
B0DK9NRBWJ,Nexlev,3.6,162
B0DCK3N2JJ,Nexlev,3.4,159
B0FHVWHQHR,White Mulberry,4.1,158
B0D845B2DG,Nexlev,4.4,155
B0FN4DSQ6P,White Mulberry,4.2,155
B0FN4D3C89,White Mulberry,4.1,154
B0D2LGR3GG,Nexlev,3.8,154
B0DKJXRXKM,Nexlev,3.6,135
B0D9KFQG8Q,Nexlev,3.6,134
B0D2LD6BYJ,Nexlev,3.9,132
B0CDPQXPC1,Nexlev,3.9,124
B0BF4TKQKN,White Mulberry,4.5,122
B0BF4VRJJ1,White Mulberry,4.5,121
B0CDQ98FDM,Nexlev,3.8,119
B0DVCBR11D,Nexlev,3.9,119
B0CDQ55W2M,Nexlev,3.9,119
B0D2LKB4BJ,Nexlev,4.0,118
B0DVCDD5VC,Nexlev,3.8,118
B0D9KFP4MG,Nexlev,4.0,118
B0D2LFMY48,Nexlev,4.0,118
B0CDQ6G4TC,Nexlev,3.8,117
B0D2LJSQXZ,Nexlev,3.7,115
B0D67727VG,Nexlev,3.6,113
B0DVC7VJP1,Nexlev,4.3,112
B0GN94YDY2,Nexlev,4.3,112
B0GN8WW6BC,Nexlev,4.2,110
B0CQX9ZZMH,Nexlev,3.1,110
B0D9KFZYG8,Nexlev,4.2,109
B0GN86G345,Nexlev,4.0,107
B0DVC58QPZ,Nexlev,4.0,107
B0GN8N96R5,Nexlev,3.9,104
B0DVC9PRSD,Nexlev,3.9,103
B0DVC8NYY2,Nexlev,3.8,103
B0D2LHNS9B,Nexlev,4.1,102
B0D637B562,Nexlev,4.1,101
B0DB5VG39T,White Mulberry,4.3,100
B0D8445KJN,Nexlev,4.3,99
B0DVC968P1,Nexlev,3.9,99
B0DP2WC5VW,White Mulberry,4.3,95
B0D63DTKQB,Nexlev,3.9,95
B0FJ1ZB4G9,Nexlev,4.2,90
B0DM6BB3VT,Nexlev,3.7,88
B0FPGDVVCX,Nexlev,3.7,88
B0CW1JJP9S,Nexlev,3.8,86
B0D383WQPB,Nexlev,3.6,86
B0B689CVJW,White Mulberry,3.6,83
B0B68B17RT,White Mulberry,3.6,83
B0B68BJCL5,White Mulberry,3.6,83
B0B68FKVC1,White Mulberry,3.6,83
B0DB5W4TCP,White Mulberry,4.4,82
B0DJFJZMC6,Nexlev,3.8,81
B0D2P6KF4N,Nexlev,3.7,76
B0D9KCKY9F,Nexlev,3.6,72
B0FS7T8151,Nexlev,4.3,69
B0DP2VVRND,White Mulberry,4.3,69
B0FSF1N457,Nexlev,4.3,69
B0FS6TB7CP,Nexlev,4.3,69
B0DTK4FY1G,Nexlev,3.2,68
B0DCGHKRXX,Nexlev,4.0,65
B0DKJSCLBD,Nexlev,3.5,61
B0DNJP9T35,Nexlev,3.5,59
B0GGHZWMVW,Nexlev,4.3,59
B0B65XBXKY,White Mulberry,3.5,56
B0D672NXC8,Nexlev,3.5,54
B0CSG3FC4G,Nexlev,4.0,54
B0DTYDTKN8,Nexlev,3.0,50
B0D25LNDSY,Nexlev,4.1,49
B0B68HQVXW,White Mulberry,3.8,48
B0BFBMCTXQ,White Mulberry,3.8,48
B0BFBLLZJG,White Mulberry,3.8,48
B0DJFH4K8B,Nexlev,3.6,47
B0DB5YTQZV,White Mulberry,4.4,46
B0CPFPT6DZ,White Mulberry,4.4,46
B0DKK15YNJ,Nexlev,3.8,45
B0DC3NPKGF,White Mulberry,4.4,45
B0CPFN27Z2,White Mulberry,4.4,45
B0CFH6C6YM,Nexlev,3.4,45
B0DC3SJMZ6,White Mulberry,4.4,45
B0D9KCNVNM,Nexlev,3.8,42
B0DCK4DR1B,Nexlev,3.8,42
B0FT8R24QM,Nexlev,3.0,40
B0D81DLSFT,Nexlev,4.0,39
B0DCK7J87D,Nexlev,3.0,39
B0FN4GQ9HT,White Mulberry,4.4,38
B0GN85NZQN,Nexlev,3.5,37
B0DP32F346,White Mulberry,4.2,36
B0DB5VVPSB,White Mulberry,4.3,36
B0DKJZDY72,Nexlev,3.7,33
B0DP2Z5DQ9,White Mulberry,4.2,31
B0DJFH6RTL,Nexlev,3.9,30
B0B688NL1N,White Mulberry,3.7,27
B0D63FKYZ5,Nexlev,4.1,26
B0DK9LYT4P,Nexlev,3.8,25
B0CPT2YJX2,White Mulberry,4.3,25
B0CDQ5Y3YB,Nexlev,3.9,24
B0FJG5PFGQ,Nexlev,4.3,23
B0DNJF1BLS,Nexlev,3.7,22
B0DM66B2DW,Nexlev,3.3,22
B0D842173P,Nexlev,3.3,22
B0CS69T7HF,Nexlev,3.3,21
B0CSG2JZ19,Nexlev,3.6,20
B0DMSMKRD9,Nexlev,3.8,20
B0DMSSLXST,Nexlev,3.8,20
B0DP3194QN,White Mulberry,3.4,19
B0FN4HDM6Z,White Mulberry,3.9,19
B0BMV1WPHL,White Mulberry,4.5,19
B0BF4Y92MW,White Mulberry,3.0,18
B0D86ZC9YT,Nexlev,4.0,17
B0B68GMXR9,White Mulberry,3.7,17
B0F29SZCVF,Nexlev,3.4,17
B0CQX4GVSB,Tonor,4.5,16
B0BJZNQYVB,White Mulberry,4.2,16
B0DRD8J8R5,Nexlev,3.5,15
B0CDQ5NBH8,Nexlev,3.7,15
B0GLHC8CB3,Nexlev,3.8,13
B0DFMRG2K4,Nexlev,3.7,12
B0DNJHKZ2G,Nexlev,2.7,11
B0DP313R77,White Mulberry,4.1,11
B0BFFD156C,White Mulberry,4.2,11
B0CQ2R3LPH,Nexlev,3.6,10
B0B68DCXS5,White Mulberry,2.7,9
B0DK9QNKK8,Nexlev,3.3,9
B0DMSHZXG2,Nexlev,2.2,9
B0B68DWHMR,White Mulberry,4.5,8
B0BNDYQ5ZR,White Mulberry,4.2,8
B0DHRQPGGM,Nexlev,3.4,8
B0DMT19RWC,Nexlev,4.0,8
B0FN4FPJ83,White Mulberry,4.0,8
B0BLVB8VTH,White Mulberry,3.4,7
B0DM6MG4ZH,Nexlev,2.5,7
B0B6ZP6XK7,White Mulberry,4.2,7
B0DNJJKBKG,Nexlev,2.4,6
B0DV9MYK6S,Nexlev,2.9,6
B0DQPLMQQ7,White Mulberry,2.9,6
B0DQPK7MFH,White Mulberry,3.8,6
B0BNDY71BZ,White Mulberry,2.9,6
B0BFF9KB2T,White Mulberry,4.7,6
B0BF4VWQXG,White Mulberry,3.5,5
B0DKK12XWR,Nexlev,2.3,5
B0BF51HCY4,White Mulberry,2.1,5
B0FJ8SFNRH,Nexlev,4.1,4
B0BF4XF7SD,White Mulberry,4.6,4
B0BF4WQNJR,White Mulberry,2.6,4
B0FN81FD8M,White Mulberry,5.0,4
B0GKNGWLJ2,Nexlev,3.9,4
B0BFDW7HY5,White Mulberry,3.1,3
B0DV9CY3XR,Nexlev,2.5,3
B0DFM4JZV9,Nexlev,5.0,3
B0FN4JG97R,White Mulberry,4.6,3
B0DKJVWM8Q,Nexlev,5.0,2
B0F67BW7SF,Nexlev,5.0,2
B0DV8XH455,Nexlev,1.0,2
B0DVSZ2VVJ,Nexlev,1.0,2
B0F2N37819,Nexlev,1.5,2
B0CBJZGW7X,White Mulberry,4.5,2
B0DVC91Q7J,Nexlev,4.0,1
B0DV94R4QD,Nexlev,5.0,1
B0F2N11VTN,Nexlev,4.0,1
B0F67BSF2R,Nexlev,2.0,1
B0F2N4N83Y,Nexlev,1.0,1
B0GYS6CJD9,Nexlev,2.0,1
B0F678RRCX,Nexlev,5.0,1
B0DGTGKPJR,Nexlev,4.0,1
B0F2MZ9BJS,Nexlev,1.0,1
B0F2MZ8CG9,Nexlev,5.0,1
B0CPFP9ZL4,White Mulberry,1.0,1
B0BFW5K3F1,White Mulberry,5.0,1
B0BF4WD8Z8,White Mulberry,3.0,1
B0CBJX85Q2,White Mulberry,5.0,1
B0D86Y2V7V,Nexlev,,
B0F5X2C11Z,Nexlev,,
B0DV91JGF1,Nexlev,,
B0DVC9Q219,Nexlev,,
B0DV8TR64D,Nexlev,,
B0DV931G48,Nexlev,,
B0F2N31GNX,Nexlev,,
B0F74DJYG6,Nexlev,,
B0F67775SH,Nexlev,,
B0F679QJH4,Nexlev,,
B0F6795PDP,Nexlev,,
B0FYNKYJFN,Nexlev,,
B0FYNLPK1B,Nexlev,,
B0FYNR2XCB,Nexlev,,
B0FYNT1TW7,Nexlev,,
B0G1YKMFWT,Nexlev,,
B0GQCB4PJC,Nexlev,,
B0GQGK4GJ7,Nexlev,,
B0GQGXR9D7,Nexlev,,
B0GQGZVGLL,Nexlev,,
B0GQC12GDP,Nexlev,,
B0H3VQ8ZM2,Nexlev,,
B0H3V14M5J,Nexlev,,
B0H3TV13JP,Nexlev,,
B0H3TMZ87Q,Nexlev,,
B0H3TFTXWT,Nexlev,,
B0H3QBK46G,Nexlev,,
B0H33HN9LH,Nexlev,,
B0H335HZ1P,Nexlev,,
B0H5WV3HNL,Nexlev,,
B0H5WRN8W8,Nexlev,,
B0DQPFL835,White Mulberry,,
B0DSG2BD4H,White Mulberry,,
B0DSG5PX7M,White Mulberry,,
B0DSG4F8D9,White Mulberry,,
B0DSG694P2,White Mulberry,,
B0FN4FHH5Y,White Mulberry,,
B0FN4HDBN5,White Mulberry,,
B0FN4GJ9S1,White Mulberry,,
B0CBJX8WGY,White Mulberry,,
B0CGF7HXXL,White Mulberry,,
B0CGF52WWF,White Mulberry,,
B0CGF82HTJ,White Mulberry,,
B0CGF7MQMF,White Mulberry,,
