asin,sku,brand,model,price_audioarray,price_nexlev,price_viomi,price_whitemulberry,amazon_1p_price,buybox_price,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0CM9HYVDM,FBA79109,Audio Array,AM-W18,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4G19R58,FBA75674,Audio Array,AM-C2,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CH4RNWJX,FBA79011,Audio Array,AM-C43,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CF5TCQKL,FBA78975,Audio Array,AA-21,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFMMTWLY,FBA79446,Audio Array,AM-W33,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CM6NVLT9,FBA79104,Audio Array,AI-11,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0BPLWW72Y,FBA76862,Audio Array,AM-C28,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GCP1J2HC,FBA79972,Audio Array,M8,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GN8RQJRG,FBA79979,Audio Array,AK-37-B,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GN8MMKY1,FBA79980,Audio Array,AK-37-W,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GN8MFDGZ,FBA79981,Audio Array,AK-61 Neo,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GN8MPYPG,FBA79982,Audio Array,AK-61 Pro,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GN321RXQ,FBA79983,Audio Array,AM-W48 / AM-S6,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FTVQQVDC,FBA79904,Audio Array,PB-10 (AM-C2+AI-04+AH-60-BL),,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CF5R3V95,FBA78973,Audio Array,AA-19,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FQBX8J17,FBA79838,Audio Array,AH-40 SL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CM9KJZWQ,FBA79106,Audio Array,AM-C44,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0BPM2T7BQ,FBA76863,Audio Array,AI-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4K87PR4,FBA75690,Audio Array,AM-C10,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4KC7VBM,FBA75677,Audio Array,AM-C5,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4G1HPL5,FBA75692,Audio Array,AM-C11,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FQBXS6Y2,FBA79839,Audio Array,AH-45 BK,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DT6T6N6B,FBA79694,Audio Array,AA-26,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CBCB9S14,FBA78961,Audio Array,AM-C40,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFMLS8JG,FBA79445,Audio Array,AM-W32,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D3M86SH1,FBA79355,Audio Array,AA-19BL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0BLJVJ2GN,FBA76414,Audio Array,AA-05,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4G5ZLTB,FBA75687,Audio Array,AM-W11,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFMLXD9S,FBA79447,Audio Array,AM-W34,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DN6MNS1X,FBA79654,Audio Array,AM-C11 Pro,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FF9R3GKK,FBA79783,Audio Array,AM-C47,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CBC7QMNV,FBA78925,Audio Array,AM-C11X,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FFB6YJM1,FBA79708,Audio Array,SB-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4FZS38V,FBA75681,Audio Array,AM-C7,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CM6WH4ZT,FBA79105,Audio Array,AI-12,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D3Q2T5XX,FBA79356,Audio Array,AA-19WL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CH4VCD6R,FBA77171,Audio Array,AC-6XL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4G7VWXD,FBA75684,Audio Array,AA-04,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CF5SHL15,FBA78976,Audio Array,AA-22,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4G59Y8W,FBA75689,Audio Array,AM-W13,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FJ2JJZL3,FBA79821,Audio Array,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4JRQP22,FBA75679,Audio Array,AA-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DN6PFWNK,FBA79655,Audio Array,AM-C44 Pro,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFMKY4TT,FBA79448,Audio Array,AM-W35,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FPR7VFCH,FBA79815,Audio Array,AM-W19,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4G8ZB64,FBA75675,Audio Array,AM-C3,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DFMLQBMC,FBA79444,Audio Array,AM-W20,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D3LZWTHV,FBA79379,Audio Array,AM-C45,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
