week,brand,model,sessions,units,gmv,buybox_pct,conversion_pct
5,nexlev,TM-03,80,1.0,888.9830508474577,0.5,0.0125
5,nexlev,TM-04,11,0.0,0.0,0.0,0.0
5,nexlev,TM-05,18,0.0,0.0,0.9677,0.0
5,nexlev,V-01,692,3.0,3556.7796610169494,0.48495,0.0043
5,nexlev,V-01 RG,1693,12.0007,12755.932203389832,0.3253,0.0071
5,nexlev,V-02,288,1.0,2065.2542372881358,0.9881,0.0035
5,nexlev,V-03,5666,74.0,126412.7118644068,0.49944999999999995,0.0131
5,nexlev,VC-01,6911,38.0032,53622.03389830509,0.3242,0.0055
5,nexlev,VC-02,0,0.0,0.0,0.0,0.0
5,nexlev,VC-03,92,1.0,1694.0677966101696,0.4915,0.0109
5,nexlev,VC-04,180,2.0,4235.593220338983,0.5,0.0111
5,nexlev,VC-05,1954,2.0,3896.6101694915255,0.49915000000000004,0.001
5,nexlev,VC-06,0,0.0,0.0,0.0,0.0
5,tonor,G11,218,4.0,8640.677966101695,0.4122,0.0183
5,tonor,K1,1309,5.0,7622.881355932203,0.1017,0.0038
5,tonor,ORCA001,73,0.0,0.0,0.0,0.0
5,tonor,S20,182,0.0,0.0,0.0159,0.0
5,tonor,T20,155,4.0,8132.203389830509,0.1005,0.0258
5,tonor,T20LP,236,7.0,11181.35593220339,0.986,0.0297
5,tonor,T30,81,1.0,2456.7796610169494,0.6863,0.0123
5,tonor,TC-2030,0,0.0,0.0,0.0,0.0
5,tonor,TC-777,451,0.0,0.0,0.1092,0.0
5,tonor,TC-777 PRO,449,0.0,0.0,0.1025,0.0
5,tonor,TC30,392,0.0,0.0,0.053,0.0
5,tonor,TC30S,42,0.0,0.0,0.0159,0.0
5,tonor,TC30S+,27,0.0,0.0,0.1563,0.0
5,tonor,TC310,1198,2.0,4235.593220338983,0.0259,0.0017
5,tonor,TC310+,597,0.0,0.0,0.025,0.0
5,tonor,TC40,26,0.0,0.0,1.0,0.0
5,tonor,TC40S,17,0.0,0.0,1.0,0.0
5,tonor,TD310,0,0.0,0.0,0.0,0.0
5,tonor,TD310+,349,1.0,1609.322033898305,0.1481,0.0029
5,tonor,TD510,355,0.0,0.0,0.0944,0.0
5,tonor,TM20,173,4.0,10166.101694915254,0.975,0.0231
5,tonor,TM310,173,0.0,0.0,0.9333,0.0
5,tonor,TRL-20,5,2.0,4405.084745762712,1.0,0.4
5,white mulberry,HD1ML,39,0.0,0.0,0.0,0.0
5,white mulberry,HDGS1ML,24,1.0,6771.186440677967,1.0,0.0417
5,white mulberry,HDMSP1ML,162,2.0,4660.169491525424,1.0,0.0123
5,white mulberry,HDWF1ML,604,7.0,19250.0,0.3272,0.0116
