asin,sku,am_soh,am_intransit
B08SBSN88X,FBK74286,1,0
B071VPNJLS,FBK62964,1,0
B0DP3194QN,FBA79616,1,0
B0BYHHSLPC,FBA79116,1,0
B0C4YTNJG7,FBA78203,1,0
B087MPHGHT,FBA79055,1,0
B087MMY6T8,FBA79054,1,0
B0CW1JJP9S,FBA79174,1,0
B0CDQ6G4TC,FBA78996,1,0
B08V1JS3NY,FBA77115,1,0
B09Z5Q194D,FBA77103,1,0
B0BPSFLT1B,FBA77009,1,0
B08CF614NK,FBA76745,1,0
B00AAEQIH0,FBA73741,1,0
B0987JXLGG,FBA76661,1,0
B0BPHWH5KV,FBA77218,1,0
B09KLHYW1T,FBA75552,1,0
B0BPMN89NG,FBA77011,1,0
B0C891Q6YH,FBA79700,1,0
B0DVC968P1,FBA79681,1,0
B0G53CB72D,FBA79963,1,0
B0D3LK9RMZ,FBK79458,0,0
B0CPFS24ML,FBK79167,0,0
B0GN321RXQ,FBA79983,0,0
B0GXPGBQB1,FBA80075,0,0
B0GY857139,FBA80076,0,0
B0B4G89VQJ,FBA75686,0,0
B0B4G5ZLTB,FBA75687,0,0
B0FN4JG97R,FBK79792,0,0
B0BLKF46QG,FBA76723,0,0
B09L7ZS5GM,FBK78418,0,0
B0BHZH13QW,FBK78984,0,0
B0DCK7J87D,FBA79699,0,0
B09MZNC8GS,FBA79713,0,0
B07JNK3HHH,FBA73755,0,0
B09CLKBXS4,FBA74874,0,0
B09HL5WPP6,FBA75374,0,0
B09HL4T36F,FBA75375,0,0
B09HL3GD7G,FBA75376,0,0
B09HL4GZF9,FBA75377,0,0
B0B4FZS38V,FBA75681,0,0
B0FTVV1QJY,FBA79908,0,0
B0D2LGR3GG,FBA79266,0,0
B0C624Y9YC,FBA78932,0,0
B0C62DNLSB,FBA78933,0,0
B0CDQ98FDM,FBA78994,0,0
B0F1469QLH,FBA79817,0,0
B0GY86ZT1X,FBA80077,0,0
B0G53LZNY3,FBA79962,0,0
B0C325NVBQ,FBA78930,0,0
B0FYNT1TW7,FBA79915,0,0
B0DNJP9T35,FBA79589,0,0
B0CC3TDH61,FBA79067,0,0
B07TSN2H9D,FBA77114,0,0
B0F2MZ8CG9,FBA79716,0,0
B01EN0G8AI,FBA62411,0,0
B072F5J32C,FBA62963,0,0
B07NC254QQ,FBA73725,0,0
B07TS7J7S3,FBA73738,0,0
B0FH475LZZ,FBA79851,0,0
B0FH43M37N,FBA79852,0,0
B07MZXKZVG,FBK72144,0,0
B092W2QN1V,FBA75378,0,0
B08SJZK21C,FBA75551,0,0
B09L7ZXKKF,FBA77134,0,0
B09LCDJMS5,FBA77135,0,0
B0BJSB3M9W,FBA77216,0,0
B0BHCNWTMZ,FBA77224,0,0
B0BHC6V1KT,FBA77225,0,0
B0C4YSV3XL,FBA78206,0,0
B0BTTWTLZD,FBA78278,0,0
B0CLH7G5WH,FBA79070,0,0
B00KIXUYK0,FBA61956,0,0
B0GTZND3ZN,FBA80011,0,0
B0GTZJF142,FBA80012,0,0
B0G53KWRWH,FBA79964,0,0
B0GV15BVQC,FBA79976,0,0
B0GV154XPQ,FBA79977,0,0
B0D637B562,FBA79352,0,0
B01MCVTGVL,FBA73749,0,0
B074CC1M7T,FBA75693,0,0
