asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0FN4FHH5Y,FBK79784,White Mulberry,POS2M,5499.0,5499.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,1.0,,2026-08-03T08:20:09.616079+00:00
B0FN4HDBN5,FBK79785,White Mulberry,POS2MK,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0FN4FPJ83,FBK79786,White Mulberry,POSS-01,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0FN4HDM6Z,FBK79791,White Mulberry,TVFM1ML,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0FN4GQ9HT,FBK79787,White Mulberry,TVCF1ML,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0FN4D3C89,FBK79788,White Mulberry,TVCT1ML,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0FN4DSQ6P,FBK79789,White Mulberry,TVMF1ML,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0FHVWHQHR,FBA79790,White Mulberry,TVLF1ML,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0FN4GJ9S1,FBK79790,White Mulberry,TVLF1ML,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0B65XBXKY,FBAA75444,White Mulberry,WM6023-8709-SIOC,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0B68B17RT,FBAA75445,White Mulberry,WM6822-167-SIOC,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0B689CVJW,FBAA75446,White Mulberry,WM6320-150-SIOC,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0B688NL1N,FBAA75447,White Mulberry,WM6021-3081-BB,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0B68BJCL5,FBAA75448,White Mulberry,WM6779-4892,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0B68DWHMR,FBAA75449,White Mulberry,WM6779-4414-SIOC,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0B68FKVC1,FBAA75450,White Mulberry,WM6822-150-SIOC,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0B6ZP6XK7,FBAA75454,White Mulberry,WM6070-3436,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0B68DCXS5,FBAA75452,White Mulberry,WM6054-2364,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0B68GMXR9,FBAA75453,White Mulberry,WM6705-3945,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0B68HQVXW,FBAA75451,White Mulberry,WM6023-7664-SIOC,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BFBMCTXQ,FBA76407,White Mulberry,WM6486-1746-WHT,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BFBLLZJG,FBA76408,White Mulberry,6780-4679-WHT-SIOC,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BFDW7HY5,FBA76409,White Mulberry,WM6060-430,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BFF9KB2T,FBA76410,White Mulberry,WM6705-3871-BLK-BB,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BFFD156C,FBA76411,White Mulberry,WM6780-3139-WHT-SIOC,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BLVB8VTH,FBA76412,White Mulberry,WM6023-210-SIOC,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BJZNQYVB,FBA76413,White Mulberry,WM6070-1723,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BNDYQ5ZR,FBA76858,White Mulberry,WM6023-4139-CB,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BNDY71BZ,FBA76859,White Mulberry,WM6023-1168,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BMQQQ7YD,FBA76765,White Mulberry,WM-SEH04P-CF,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BFW5K3F1,FBA76419,White Mulberry,WM-OD-CL,,,,,,,,2026-08-03T08:20:09.616079+00:00
B07MH7L6G8,FBI76419,White Mulberry,WM-OD-CL,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0CBJX85Q2,FBA78766,White Mulberry,WM-SEH05P-WH,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0CBJX8WGY,FBA78765,White Mulberry,WM-SEH05P-BK,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0CBJZGW7X,FBA78767,White Mulberry,WM-SEH05P-CF,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0CPFQSJXC,FBA79169,White Mulberry,WM-SE08-BK,,,,,,,HTTP 400,2026-08-03T08:20:09.616079+00:00
B0CPFT55CF,FBA79170,White Mulberry,WM-SE08-WH,,,,,,,HTTP 400,2026-08-03T08:20:09.616079+00:00
B0CPFNW4VN,FBA79171,White Mulberry,WM-SE08-CF,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BF4VWQXG,FBA76384,White Mulberry,WM-SWZ0021-BK,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BF4WD8Z8,FBA76385,White Mulberry,WM-DT02-BK,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BF51HCY4,FBA76386,White Mulberry,WM-CT03MA-120,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BF4XF7SD,FBA76389,White Mulberry,WM-CT03OA-120,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BF4Y92MW,FBA76865,White Mulberry,WM-CT03MA-100,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BF4WQNJR,FBA76391,White Mulberry,WM-CT03OA-100,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0CGF7HXXL,FBA78772,White Mulberry,Frame,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0CGF52WWF,FBA78773,White Mulberry,Frame,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0CGF82HTJ,FBA78774,White Mulberry,Frame,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0CGF7MQMF,FBA78775,White Mulberry,Frame,,,,,,,,2026-08-03T08:20:09.616079+00:00
