asin,sku,brand,model,seller_rank,seller_id,seller_name,is_buybox_winner,price,landed_price,shipping,is_fba,is_prime,feedback_rating,fetched_at
B0DFCDZWND,FBA79472,Nexlev,CM-02-PR,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,1455.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DJFH6RTL,FBA79473,Nexlev,TI-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1699.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DDC3GVZW,FBA79480,Nexlev,VC-03,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1499.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DDC3GVZW,FBA79480,Nexlev,VC-03,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,1559.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DFMRG2K4,FBA79481,Nexlev,TM-02,1,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),True,1663.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DK9NRBWJ,FBA79483,Nexlev,TM-03,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1907.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DK9QNKK8,FBA79485,Nexlev,TM-04,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1059.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DFCG2VGS,FBA79488,Nexlev,KE-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1749.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DFCG2VGS,FBA79488,Nexlev,KE-01,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,1799.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DFD123P5,FBA79489,Nexlev,KE-02,1,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),True,1975.0,,0.0,True,False,97.0,2026-08-03T10:44:11.848967+00:00
B0DT6Y7KJM,FBA79492,Nexlev,V-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2119.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DQCWRG3H,FBA79493,Nexlev,V-03,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1999.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
