SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79484,CF-01,B0DNJF1BLS,B0DNJF1BLS,NexLev Drip Coffee Maker |Filter Coffee for Home & Office | 4-6 Cups | Warming Plate|Borosilicate Carafe | Reusable & Washable Filter | Anti Drip | 750 ml | Cone Filter | Water Level Indicator |CF-01,214,2,0.05%,0.03%,288,2,0.05%,0.02%,84.71%,0.00%,1,0,0.47%,0.00%,"₹ 1,185.59",₹ 0.00,1,0
FBA79492,V-02,B0DT6Y7KJM,B0DT6Y7KJM,"NexLev IONIC Volumizer + Straightening Brush| 1200 W| Ceramic Tourmaline Coating| Hot Air Brush| Large Barrel| Ionic Technology| Dual bristles for drying, volumizing & straightening | 360° vents| V-02","1,121",8,0.24%,0.11%,"1,304",8,0.22%,0.08%,99.76%,100.00%,1,0,0.09%,0.00%,"₹ 1,948.31",₹ 0.00,1,0
FBA79677,NP-06,B0DVCBR11D,B0DVCBR11D,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-06",27,1,0.01%,0.01%,37,1,0.01%,0.01%,52.78%,0.00%,1,0,3.70%,0.00%,₹ 846.61,₹ 0.00,1,0
FBA79678,NP-07,B0DVCDD5VC,B0DVCDD5VC,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-07",74,1,0.02%,0.01%,90,1,0.01%,0.01%,95.24%,100.00%,1,0,1.35%,0.00%,₹ 846.61,₹ 0.00,1,0
FBA79809,KE-03,B0FJ8SFNRH,B0FJ8SFNRH,"NexLev 1500W Electric Water Kettle | 1.8L | 304 SS - Auto Cut Off | 3x Protection| Instant Boiling, Water, Tea, Coffee, Noodles, Soup | Cool Touch Handle & Lid | 3Mins Rapid Heating | Cordless | KE-03",24,0,0.01%,0.00%,31,0,0.01%,0.00%,92.00%,0.00%,1,0,4.17%,0.00%,₹ 550.00,₹ 0.00,1,0
FBK80015,SPM-01,B0GKNGWLJ2,B0GKNGWLJ2,NexLev Cordless Spin Mop|50 Min Runtime|2 Extra Mop Pads | Type C | For Home Kitchen & Office Use | Water Spray Function|Self Propelling|Mopping for All Floor Types|LED for Corners and Underbed|SPM-01,180,4,0.04%,0.06%,266,5,0.04%,0.05%,100.00%,100.00%,1,0,0.56%,0.00%,"₹ 3,134.75",₹ 0.00,1,0
FBK80024,SS-02,B0GLHC8CB3,B0GLHC8CB3,"NexLev Spin Scrubber|6 Scrubbing Heads| For Kitchen, Bathroom, Tub, Glass | Complete cleaning tool for Home, Office & Car| 90 min runtime | 2600 mAh | Cordless Type C | 2 Modes|Adjustable Handle|SS-02",198,4,0.04%,0.06%,289,4,0.05%,0.04%,99.60%,100.00%,1,0,0.51%,0.00%,"₹ 1,016.10",₹ 0.00,1,0
FBA78998,NP-05,B0CDQ5NBH8,B0CDQ5NBH8,nexlev Premium Memory Foam Neck Pillow with 360-Degree Head Support | Lightweight Comfortable Travel Pillow with Storage Bag for Sleeping | Traveling Flight Car Train Bus and Home Use NP-05 (Pink),4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA78996,NP-03,B0CDQ6G4TC,B0CDQ6G4TC,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-03",11,1,0.00%,0.01%,14,1,0.00%,0.01%,100.00%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79266,T-01,B0D2LGR3GG,B0D2LGR3GG,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Safety Guards| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime | Type C | T-01",120,1,0.03%,0.01%,156,1,0.03%,0.01%,1.42%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
