asin,sku,quantity,item_price_per_unit,shipping_price,gift_wrap_price,shipment_date,fulfillment_center,amazon_order_id,currency,seller_account,gross_sales
B0GGHZWMVW,FBA79971,1,0.0,0.0,0.0,2026-06-26T11:25:39+00:00,AMD2,406-5769680-6708324,INR,NEXLEV,0.0
B0CYSLCRQS,FBA79263,1,0.0,0.0,0.0,2026-06-26T11:21:40+00:00,BOM7,404-3585211-8072358,INR,NEXLEV,0.0
B0DCK7ZH5P,FBA79439,1,2880.51,0.0,0.0,2026-06-26T11:07:43+00:00,BOM7,404-5864650-1005900,INR,NEXLEV,2880.51
B0CDPP45BM,FBA78981,1,3812.71,0.0,0.0,2026-06-26T10:53:46+00:00,DED4,405-1896715-3252324,INR,NEXLEV,3812.71
B0CYSLCRQS,FBA79263,1,2541.53,0.0,0.0,2026-06-26T10:31:46+00:00,BLR8,402-8505357-9125936,INR,NEXLEV,2541.53
B0CYSLCRQS,FBA79263,1,2541.53,0.0,0.0,2026-06-26T10:31:43+00:00,BLR8,171-3001201-6676357,INR,NEXLEV,2541.53
B0CYSLCRQS,FBA79263,1,0.0,0.0,0.0,2026-06-26T10:28:43+00:00,BLR8,404-8721626-3264326,INR,NEXLEV,0.0
B0DM6BB3VT,FBA79590,1,2856.19,0.0,0.0,2026-06-26T10:02:47+00:00,MAA4,403-7962003-1234711,INR,NEXLEV,2856.19
B0D2LFMY48,FBA79272,1,0.0,0.0,0.0,2026-06-26T09:51:31+00:00,CCX2,NLshop-10978/26-27,INR,NEXLEV,0.0
B0DCK3N2JJ,FBA79406,1,2287.29,0.0,0.0,2026-06-26T09:28:46+00:00,HYD8,171-4901266-7121912,INR,NEXLEV,2287.29
B0CYSLCRQS,FBA79263,1,2541.53,66.95,0.0,2026-06-26T09:11:45+00:00,DED4,171-9228431-3061119,INR,NEXLEV,2541.53
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-26T08:49:46+00:00,BOM5,404-3566279-5131526,INR,NEXLEV,1863.56
B0CYSLCRQS,FBA79263,1,2541.53,33.9,0.0,2026-06-26T07:55:47+00:00,BLR8,405-5365531-2308302,INR,NEXLEV,2541.53
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-26T07:49:43+00:00,BLR7,402-3734339-7112368,INR,NEXLEV,3050.0
B0DCK3N2JJ,FBA79406,1,2287.29,0.0,0.0,2026-06-26T07:35:52+00:00,BOM5,402-6922759-2088344,INR,NEXLEV,2287.29
B0DCK7ZH5P,FBA79439,1,2880.51,33.9,0.0,2026-06-26T07:30:46+00:00,DEL4,404-5674429-0785111,INR,NEXLEV,2880.51
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-26T07:25:43+00:00,BOM5,405-2460598-9369115,INR,NEXLEV,3050.0
B0FPGDVVCX,FBA79849,1,4829.66,0.0,0.0,2026-06-26T05:54:40+00:00,MAA4,405-5066029-7597961,INR,NEXLEV,4829.66
B0DNJS23HS,FBA79567,1,5083.9,0.0,0.0,2026-06-26T05:42:50+00:00,DEL5,402-6087182-7735551,INR,NEXLEV,5083.9
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-26T05:25:51+00:00,BOM5,407-1672248-0520365,INR,NEXLEV,1863.56
B0FPGDVVCX,FBA79849,1,4829.66,0.0,0.0,2026-06-26T05:10:44+00:00,DED4,403-0913010-5799515,INR,NEXLEV,4829.66
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-26T05:07:43+00:00,BLR7,408-5101396-1632321,INR,NEXLEV,3050.0
B0DCK7ZH5P,FBA79439,1,2880.51,0.0,0.0,2026-06-26T05:06:43+00:00,MAA4,408-1836282-3761142,INR,NEXLEV,2880.51
B0DVC7VJP1,FBA79679,1,5295.76,0.0,0.0,2026-06-26T05:04:43+00:00,CCX1,406-2521444-4617917,INR,NEXLEV,5295.76
B0DM6BB3VT,FBA79590,1,2856.2,38.1,0.0,2026-06-26T04:47:44+00:00,LKO1,403-3443070-4269930,INR,NEXLEV,2856.2
B0D67727VG,FBP79350,1,1036.19,0.0,0.0,2026-06-26T04:39:43+00:00,PNQ3,405-6710537-4726767,INR,NEXLEV,1036.19
B0GYS6CJD9,FBA80113,1,168.64,0.0,0.0,2026-06-26T04:33:43+00:00,DED4,407-3075225-7342727,INR,NEXLEV,168.64
B0FJ1ZB4G9,FBA79707,1,677.12,0.0,0.0,2026-06-26T04:26:45+00:00,HYD3,404-7503706-9961136,INR,NEXLEV,677.12
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-26T04:26:44+00:00,BLR7,405-7034695-3421946,INR,NEXLEV,3050.0
B0DCGHKRXX,FBA79440,1,0.0,0.0,0.0,2026-06-26T03:44:44+00:00,BLR7,405-2524744-8281952,INR,NEXLEV,0.0
B0F2N4N83Y,FBA79721,1,148.3,0.0,0.0,2026-06-26T03:31:44+00:00,AMD2,404-5292965-8217115,INR,NEXLEV,148.3
B0DVC7VJP1,FBA79679,1,5295.76,33.9,0.0,2026-06-26T03:30:46+00:00,BOM5,403-6779078-6124352,INR,NEXLEV,5295.76
B0CDPP45BM,FBA78981,1,3812.72,33.9,0.0,2026-06-25T23:42:09+00:00,CCX1,171-0522208-1094764,INR,NEXLEV,3812.72
B0DK9LYT4P,FBA79467,1,0.0,0.0,0.0,2026-06-25T23:33:33+00:00,CCX1,NLshop-10976/26-27,INR,NEXLEV,0.0
B0DCGHVN81,FBA79452,1,1863.56,33.9,0.0,2026-06-25T22:40:43+00:00,BOM5,404-4508119-4007535,INR,NEXLEV,1863.56
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-25T22:39:42+00:00,BOM5,403-0597247-0829123,INR,NEXLEV,1863.56
B0CYSLCRQS,FBA79263,1,2541.53,33.9,0.0,2026-06-25T22:35:09+00:00,DEL5,403-0149113-6333952,INR,NEXLEV,2541.53
B0DFCDZWND,FBA79472,1,1332.38,38.1,0.0,2026-06-25T21:52:43+00:00,HYD3,408-4612421-9336334,INR,NEXLEV,1332.38
B0DNJS23HS,FBA79567,1,5083.9,0.0,0.0,2026-06-25T21:34:43+00:00,HYD3,403-2128674-4356351,INR,NEXLEV,5083.9
B0DJFH4K8B,FBA79474,1,0.0,0.0,0.0,2026-06-25T20:36:41+00:00,DEL4,404-5452327-3166741,INR,NEXLEV,0.0
B0DQCWRG3H,FBA79493,1,1736.44,0.0,0.0,2026-06-25T20:25:46+00:00,CJB1,403-9190793-9037166,INR,NEXLEV,1736.44
B0DCGHVN81,FBA79452,1,1863.56,33.9,0.0,2026-06-25T20:25:43+00:00,BOM5,405-8556168-8576339,INR,NEXLEV,1863.56
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-25T20:25:42+00:00,BOM5,405-5826673-5256327,INR,NEXLEV,1863.56
