(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0DNJJKBKG,B0DNJJKBKG,NexLev Neck & Back Massager | Deep Tissue Shiatsu Roller | Cervical Pain Relief | 3 Speeds | 8 Kneading Nodes | Quick Pain Relief | Auto Shut Off | 1 year Warranty | BM-02,53,0,0.02%,0.00%,67,0,0.02%,0.00%,98.33%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0DNJP9T35,B0DNJP9T35,"NexLev Spin Scrubber|6 Scrubbing Heads| For Kitchen, Bathroom, Tub, Glass | Complete cleaning tool for Home, Office & Car| 90 min runtime | 2600 mAh | Cordless Type C | 2 Modes|Adjustable Handle|SS-02",321,5,0.11%,0.09%,437,5,0.11%,0.07%,18.92%,100.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0DQ8W1RBV,B0DQ8W1RBV,"NexLev Ionic Hot Air Brush for Woman | 3 in 1 Hair Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings | V-01RG","1,212",5,0.42%,0.09%,"1,676",6,0.43%,0.08%,2.29%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0DTK4FY1G,B0DTK4FY1G,"NexLev Spin Scrubber with Soap Spray | 6 heads| For Kitchen, Tub, Glass, Complete cleaning tool for Home, Office & Car| 90 min runtime | 4500 mAh | Cordless Type C | Adjustable Handle|SS-01, White",27,0,0.01%,0.00%,38,0,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0DVC8NYY2,B0DVC8NYY2,"NexLev Cool Mist Humidifier | 2.2L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 30Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-02",150,2,0.05%,0.04%,219,3,0.06%,0.04%,5.94%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0DVC968P1,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01",92,5,0.03%,0.09%,132,5,0.03%,0.07%,11.97%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0DVC9PRSD,B0DVC9PRSD,NexLev Professional Air Purifier for 650 sq ft Area| 8500 Hrs Filter Life|True HEPA 13 Filter |Captures 99.99% Virus and PM 2.5 Particle|For Home & Office|Remote Control & WiFi |Sleep & Auto Mode|A6,113,6,0.04%,0.11%,158,17,0.04%,0.22%,10.79%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0DVCDD5VC,B0DVCDD5VC,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-07",8,0,0.00%,0.00%,10,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0F29SZCVF,B0F29SZCVF,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0F2HYY7JF,B0F2HYY7JF,"Audio Array AM-W21 Dual Wireless Lapel Microphones | TFT Card Recording, Noise Cancellation & Echo | Android, iOS, DSLR, Laptops | 360° Pickup, Plug n Play, 60M Working Range, 48-Hour Battery Life",72,2,0.02%,0.04%,129,8,0.03%,0.11%,30.63%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0FH43M37N,B0FH43M37N,"Nektar Impact LX49 mk3 MIDI Keyboard Controller | 49 Key Velocity-Sensitive Keyboard with DAW Integration, Pads, Faders, Encoders, Scale & Chord Mode, NKS Support, Compatible with Mac/PC",407,10,0.14%,0.19%,523,14,0.13%,0.18%,18.35%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0FH475LZZ,B0FH475LZZ,"Nektar Impact LX61 mk3 MIDI Keyboard Controller | 61 Key Velocity-Sensitive Keyboard with DAW Integration, Pads, Faders, Encoders, Scale & Chord Mode, NKS Support, Compatible with Mac/PC","2,010",12,0.69%,0.22%,"2,703",21,0.69%,0.28%,0.24%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0FJ8SFNRH,B0FJ8SFNRH,"NexLev Grand Electric Water Kettle | 1.8 L | 1500 Watts | Stainless Steel | For Home, Office | Auto Cut Off | For Boiling Water, making Tea & Coffee, Instant Noodles, Soup | Cool Touch Handle |KE-03",4,0,0.00%,0.00%,4,0,0.00%,0.00%,40.00%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0FN4FHH5Y,B0FN4FHH5Y,"White Mulberry Dual Screen POS Machine Stand for 17""-32"" Monitors(9kg) w/Card Reader, Printer & Barcode Scanner Holders| VESA 75x75/100x100 Compatible| Adjustable Tilt, Swivel & Rotation| Grommet Base",5,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0FN4HDBN5,B0FN4HDBN5,"White Mulberry Single Screen POS Machine Stand w/Keyboard Tray, Card Reader, Printer, Barcode Scanner Holder| Fits 17""-32"" Monitors (9kg), VESA 75x75/100x100| Height Adjustable Pole, Cable Management",9,3,0.00%,0.06%,9,3,0.00%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0FPR7VFCH,B0FPR7VFCH,"Audio Array AM-W19 Wireless Lavalier Microphone|192kHz/24bit |AI Noise Cancellation for iPhone/Android, 32h Charging Case, Plug & Play for Vlogging, Streaming, Meetings, Video Recording",178,3,0.06%,0.06%,279,6,0.07%,0.08%,16.33%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0FPR962YS,B0FPR962YS,"Audio Array AM-W22 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",977,28,0.34%,0.52%,"1,324",36,0.34%,0.48%,12.48%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0FZB1SSRV,B0FZB1SSRV,Nexlev AP-01 & AP-03 Air Purifier & Accessories Variation,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
B0GD6D461D,B0GD6D461D, ,7,1,0.00%,0.02%,7,1,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,₹0.00,₹0.00,0,0
