Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/03/26 - 31/03/26],Report Updated=[07/04/26],,
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA79113,TC310,B0BTCXQQ6M,"TONOR Gaming Mic, USB Microphone for PC Computer, Cardioid Condenser Mic with Adjustable RGB Modes & Brightness, Quick Mute, Gain Control, for Streaming, Podcasting, Recording, PS4/5 Desktop TC310",TONOR,IN,"₹ 10,589.00",5,₹ 0.00,₹ 0.00,3,
FBA77115,TC40,B08V1JS3NY,"TONOR USB Microphone Kit, Streaming Podcast PC Cardioid Condenser Computer Mic for Gaming, YouTube Video, Recording Music, Voice Over, Studio Mic Bundle with Adjustment Arm Stand(TC40)",TONOR,IN,"₹ 8,387.28",3,₹ 0.00,₹ 0.00,3,
FBA79577,TM310,B0CSCT63BL,"TONOR TM310 USB Conference Microphone for Laptop, Adjustable Computer PC Mic with Mute Button & LED Indicator for Video Call Meeting, Mic for Desktop Zoom Skype YouTube, Plug-Play for MacOS Windows",TONOR,IN,"₹ 6,353.40",3,₹ 0.00,₹ 0.00,3,1
FBA79575,TC30+,B0BG8CJXHH,"TONOR USB Microphone Kit, PC Podcast Recording Cardioid Condenser Computer Mic Set for Gaming, Streaming, Singing, Voice Over, YouTube, Studio Mic Bundle with Adjustable Arm Stand, TC30+",TONOR,IN,"₹ 4,744.07",2,₹ 0.00,₹ 0.00,2,
FBA77114,TC-2030,B07TSN2H9D,"TONOR Cardioid Condenser Microphone, USB Computer Mic Kit with 24mm Diaphragm/Spider Shock Mount for Podcasting, Gaming, Streaming, YouTube, Voice Over, Studio/Home Recording, TC-2030",TONOR,IN,"₹ 3,558.47",1,₹ 0.00,₹ 0.00,1,
FBA77103,ORCA001,B09Z5Q194D,"TONOR USB Microphone Computer Gaming Condenser Mic, Noise-Canceling Zero Latency Monitoring for Podcast/Recording/Livestreaming/Teleconferencing on PC/Mac/Android Device, Plug and Play, ORCA001",TONOR,IN,"₹ 3,304.24",1,₹ 0.00,₹ 0.00,1,
FBA77110,TM20,B08NDB5NWP,"TONOR USB Conference Microphone, 360 Omnidirectional PC Computer Condenser Mic with Mute Button for Online Meeting/Class, Zoom Call, Skype Chatting, Plug & Play (TM20,Red)",TONOR,IN,"₹ 2,541.53",1,₹ 0.00,₹ 0.00,1,
FBA79574,TC30S,B0B4WTHLX5,"TONOR RGB USB Microphone, Cardioid Condenser Computer PC Mic with Tripod Stand, Pop Filter, Shock Mount for Gaming, Streaming, Podcasting, YouTube, Twitch, Compatible with Laptop Desktop,TC30 with RGB",TONOR,IN,"₹ 2,117.80",1,₹ 0.00,₹ 0.00,1,
FBA77116,TC40S,B0BBL47VR5,"TONOR RGB USB Gaming Microphone Kit, Podcast Microphone for PC, One-tap Mute for Streaming, Cardioid Condenser Microphone for PS4/5 Gamer Youtuber, Studio Mic Bundle with Adjustment Arm Stand",TONOR,IN,₹ 0.00,0,,,,
FBA79576,TC30S+,B0BRCR2QQ7,"TONOR USB Gaming Microphone, RGB Streaming Microfono Set, PC Podcast Recording Computer Mic for PS4/5, Discord, Twitch, Cardioid Condenser Mic with Adjustable Boom Arm Stand TC30S+",TONOR,IN,₹ 0.00,0,₹ 0.00,₹ 0.00,1,2
FBA79112,T90,B0BRKDLXCD,"RGB Boom Arm, TONOR Adjustable Mic Stand with RGB Light for HyperX QuadCast/Blue Yeti/Shure SM7B/Rode NT1, Rotatable Suspension Boom Scissor Stand for Gaming Streaming Podcasting YouTube Recording T90",TONOR,IN,"₹ -6,947.46",-2,,,,
