Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Total Order Items
KE-01,B0DFCG2VGS,B0DFCG2VGS,"Nexlev Multi Purpose Electric Food Kettle|1.8L Stainless Steel Pot| 600W|Boil, Steam, Fry, Saute| Double Layered Body|2 Heat Settings|Multi Function for Water, Milk, Egg, Soup, Noodles|KE-01","1,288",17,0.83%,0.76%,"1,865",24,0.95%,0.82%,33.90%,30.77%,10,0,0.78%,0.00%,"₹ 11,623.00",10
CFM-01,B0DM6BB3VT,B0DM6BB3VT,NexLev Calf Massager | Daily Use Leg Massager for Sore Muscle |1 Piece | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-01,"1,432",35,0.92%,1.56%,"1,994",42,1.02%,1.43%,11.12%,4.76%,11,0,0.77%,0.00%,"₹ 22,392.00",10
SC-03,B0D672NXC8,B0D672NXC8,"Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window, Glass, Upholstery| 8 Accessories Kit|Safety Lock| Large 700ML Water Tank | SC-03",793,25,0.51%,1.11%,"1,208",34,0.62%,1.15%,49.59%,62.50%,8,0,1.01%,0.00%,"₹ 48,793.00",8
PB-01,B0FS6TB7CP,B0FS6TB7CP,NexLev Portable Blender for Smoothies Milkshakes Crushing Ice Juices | 6 Leaf Stainless Steel Blade | 3000 mAh Battery | Type C Rechargeable | Mix Fruit Juicer | 450ml | For Kitchen & Travel | PB-01,"1,144",13,0.74%,0.58%,"1,481",19,0.76%,0.65%,95.28%,100.00%,8,0,0.70%,0.00%,"₹ 16,784.00",8
ET-02-GN_N,B0D2P7WLJB,B0D2P7WLJB,NexLev Smart Electric Toothbrush for Adults | 2 Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery Powered | 2 Cleaning Modes | Upto 60 Days | Waterproof | Travel Case | Soft Bristles | ET-02 Green,329,7,0.21%,0.31%,439,7,0.22%,0.24%,82.20%,80.00%,7,1,2.13%,14.29%,"₹ 1,720.00",7
SC-02,B0CYSMBCB8,B0CYSMBCB8,NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Window Car & Office Cleaning | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 Meter Cord | 1000W |SC-02,"1,542",32,0.99%,1.42%,"2,092",39,1.07%,1.32%,25.16%,46.15%,6,0,0.39%,0.00%,"₹ 12,587.00",6
SM-01,B0D2LJSQXZ,B0D2LJSQXZ,NexLev Steam Mop | Chemical Free Mopping | Floor Cleaning + Carpet Steaming | 4 Extra Mop Pads | 400 ML | 1300W | Floor Disinfectant | for All Floor Types | 4mtr Long Cord | Wet & Dry Mopping | SM-01,834,17,0.54%,0.76%,"1,109",25,0.57%,0.85%,96.90%,100.00%,6,0,0.72%,0.00%,"₹ 18,545.00",6
SS-02,B0DNJP9T35,B0DNJP9T35,"NexLev Spin Scrubber|6 Scrubbing Heads| For Kitchen, Bathroom, Tub, Glass | Complete cleaning tool for Home, Office & Car| 90 min runtime | 2600 mAh | Cordless Type C | 2 Modes|Adjustable Handle|SS-02",330,11,0.21%,0.49%,439,14,0.22%,0.48%,44.76%,22.22%,6,0,1.82%,0.00%,"₹ 10,221.00",6
SPM-01(New),B0DTYDTKN8,B0DTYDTKN8,NexLev Cordless Spin Mop|50 Min Runtime|2 Extra Mop Pads | Type C | For Home Kitchen & Office Use | Water Spray Function|Self Propelling|Mopping for All Floor Types|LED for Corners and Underbed|SPM-01,615,8,0.40%,0.36%,809,11,0.41%,0.37%,99.86%,100.00%,5,0,0.81%,0.00%,"₹ 19,595.00",5
ETC-07-WH,B0FJG5PFGQ,B0FJG5PFGQ,Nexlev Electric Toothbrush|40000 vibrations/minute| USB Type C| 6 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brush Heads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-07 White,90,2,0.06%,0.09%,127,2,0.06%,0.07%,100.00%,100.00%,6,0,6.67%,0.00%,"₹ 3,874.00",5
