Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Total Order Items
HM-02,B0D63DTKQB,B0D63DTKQB,NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02,373,8,0.15%,0.18%,507,11,0.16%,0.18%,94.75%,100.00%,7,0,1.88%,0.00%,"₹ 8,514.00",7
ST-01,B0DVC7VJP1,B0DVC7VJP1,"NexLev Stand Mixer |5.5L SS Bowl | 1500W |10 Speeds | Pulse Function |Planetary Rotation | Whisk, Beater & Dough Hook|100% Copper Motor | For Roti & Cookie Dough, Cake Making, Whip Cream & more |ST-01","1,842",20,0.74%,0.46%,"2,513",28,0.78%,0.47%,71.00%,53.33%,6,0,0.33%,0.00%,"₹ 35,994.00",6
SC-03,B0D672NXC8,B0D672NXC8,"Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window, Glass, Upholstery| 8 Accessories Kit|Safety Lock| Large 700ML Water Tank | SC-03",671,18,0.27%,0.42%,"1,013",25,0.31%,0.42%,55.49%,38.46%,4,0,0.60%,0.00%,"₹ 27,996.00",4
CM-02-PR,B0DFCDZWND,B0DFCDZWND,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Purple CM-02,163,3,0.07%,0.07%,206,6,0.06%,0.10%,59.18%,20.00%,4,0,2.45%,0.00%,"₹ 5,596.00",4
KM-01,B0DM66B2DW,B0DM66B2DW,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",736,22,0.30%,0.51%,"1,089",31,0.34%,0.52%,14.52%,11.11%,4,0,0.54%,0.00%,"₹ 6,376.00",4
SC-04,B0DNJS23HS,B0DNJS23HS,NexLev 10 in 1 Steam Cleaner & Mop|2 Steam Modes| Mopping & Deep Cleaning Home Car Sofa Bathroom Kitchen & Office |For All Surfaces|350ML|Chemical Free Cleaning | Detachable & Foldable|SC-04,"6,032",61,2.43%,1.41%,"7,949",80,2.46%,1.34%,24.09%,27.03%,4,0,0.07%,0.00%,"₹ 17,397.00",4
KE-02,B0DFD123P5,B0DFD123P5,"Nexlev MultiPurpose Electric Food Kettle|1.5 L Ceramic Pot | 600W| Boil, Steam, Fry, Saute| Double Layered Body| 2 Temperature Settings| Multi Cooker for Water, Egg, Tea, Soup, Noodles, Rice| KE-02","2,764",30,1.11%,0.69%,"4,094",36,1.27%,0.60%,1.70%,4.76%,3,0,0.11%,0.00%,"₹ 3,203.00",3
LR-03,B0FT8R24QM,B0FT8R24QM,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets |Fabric Brush | Pill, Rue & Burr Remover | Battery Powered| Stainless Steel Blade |Safety Lock | LR-03",342,10,0.14%,0.23%,516,14,0.16%,0.23%,20.40%,36.36%,3,0,0.88%,0.00%,"₹ 1,077.00",3
GS-04,B0CQX9ZZMH,B0CQX9ZZMH,NexLev Handheld Garment Steamer |1800 Watts | 25 g/min | 300 ML | Vertical & Horizontal Ironing for Silk Velvet & | Damage Free Steam for all Cloth Types | 25sec quick heat | 3 Brushes | GS-04,74,3,0.03%,0.07%,93,3,0.03%,0.05%,28.57%,0.00%,2,0,2.70%,0.00%,"₹ 2,419.00",2
SS-02,B0DNJP9T35,B0DNJP9T35,"NexLev Spin Scrubber|6 Scrubbing Heads| For Kitchen, Bathroom, Tub, Glass | Complete cleaning tool for Home, Office & Car| 90 min runtime | 2600 mAh | Cordless Type C | 2 Modes|Adjustable Handle|SS-02",330,11,0.13%,0.25%,439,14,0.14%,0.23%,52.43%,22.22%,2,0,0.61%,0.00%,"₹ 4,248.00",2
KM-01,B0F29SZCVF,B0F29SZCVF,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",203,11,0.08%,0.25%,294,18,0.09%,0.30%,9.68%,0.00%,2,0,0.99%,0.00%,"₹ 3,188.00",2
ET-02-GN_N,B0D2P7WLJB,B0D2P7WLJB,NexLev Smart Electric Toothbrush for Adults | 2 Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery Powered | 2 Cleaning Modes | Upto 60 Days | Waterproof | Travel Case | Soft Bristles | ET-02 Green,329,7,0.13%,0.16%,439,7,0.14%,0.12%,8.90%,20.00%,1,0,0.30%,0.00%,₹ 311.00,1
HSB-04,B0DCK3N2JJ,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","10,817",40,4.36%,0.92%,"12,867",58,3.98%,0.97%,3.10%,0.00%,1,0,0.01%,0.00%,"₹ 2,499.00",1
SPM-01,B0DCK7J87D,B0DCK7J87D,NexLev Cordless Spin Mop|50 Min Runtime|2 Extra Mop Pads | Type C | For Home Kitchen & Office Use | Water Spray Function|Self Propelling|Mopping for All Floor Types|LED for Corners and Underbed|SPM-01,205,4,0.08%,0.09%,278,4,0.09%,0.07%,99.17%,100.00%,1,0,0.49%,0.00%,₹ 0.00,1
TM-01,B0DK9LYT4P,B0DK9LYT4P,NexLev Beard Trimmer| 90min Run Time| 40 Length Settings| 0.5mm Precision| Washable Stainless Steel Blades| Copper Motor| USB Type-C| IPX7 Waterproof| Travel Lock| 2 Beard Comb| 1 Year Warranty |TM-01,145,4,0.06%,0.09%,239,10,0.07%,0.17%,73.20%,40.00%,1,0,0.69%,0.00%,₹ 735.00,1
EA-02,B0DKK15YNJ,B0DKK15YNJ,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,"1,217",29,0.49%,0.67%,"1,603",37,0.50%,0.62%,0.85%,0.00%,1,0,0.08%,0.00%,"₹ 2,859.00",1
VC-06,B0DRD8J8R5,B0DRD8J8R5,nexlev Handheld Vacuum Cleaner| 600 W | 17.5 Kpa Suction | 5 M Cord | Lightweight | Washable Hepa Filter and Dust Container| 4 Attachments | Compact Size | Home & Office Use| VC-06,418,12,0.17%,0.28%,492,13,0.15%,0.22%,8.15%,0.00%,1,0,0.24%,0.00%,"₹ 1,539.00",1
V-02,B0DT6Y7KJM,B0DT6Y7KJM,"NexLev Ionic 4 in 1 Hot Air Brush + Straightener | 2 Step Styler Volumizer | Blow Dryer, Styler, Straightener & Waves | 360° Airflow | Tangle Free Bristle |Ceramic Tourmaline Coated Barrel | 1200W | V-02",200,1,0.08%,0.02%,285,1,0.09%,0.02%,23.26%,100.00%,1,0,0.50%,0.00%,"₹ 1,999.00",1
AP-01,B0DVC9PRSD,B0DVC9PRSD,NexLev Professional Air Purifier for 650 sq ft Area| 8500 Hrs Filter Life|True HEPA 13 Filter |Captures 99.99% Virus and PM 2.5 Particle|For Home & Office|Remote Control & WiFi |Sleep & Auto Mode|A6,540,28,0.22%,0.65%,636,32,0.20%,0.54%,74.56%,44.44%,1,0,0.19%,0.00%,"₹ 13,990.00",1
NP-02,B0CDQ55W2M,B0CDQ55W2M,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-02",11,0,0.00%,0.00%,17,0,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
NP-03,B0CDQ6G4TC,B0CDQ6G4TC,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-03",4,0,0.00%,0.00%,6,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
NP-01,B0CDQ98FDM,B0CDQ98FDM,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-01",23,2,0.01%,0.05%,28,5,0.01%,0.08%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
ETC-04-WH,B0D25LNDSY,B0D25LNDSY,Nexlev Electric Toothbrush|40000 vibrations/minute| USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brush Heads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-04 White,17,0,0.01%,0.00%,19,0,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
T-02,B0D2LD6BYJ,B0D2LD6BYJ,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Foil Shaver| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime |2H Quick Charge |T-02",196,2,0.08%,0.05%,272,2,0.08%,0.03%,1.66%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HS-01,B0D2LFMY48,B0D2LFMY48,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate Lock| Portable HS-01, Hair Straightener Tong - Black",231,0,0.09%,0.00%,253,0,0.08%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
T-01,B0D2LGR3GG,B0D2LGR3GG,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Safety Guards| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime | Type C | T-01",125,1,0.05%,0.02%,172,1,0.05%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
SM-01,B0D2LJSQXZ,B0D2LJSQXZ,NexLev Steam Mop | Chemical Free Mopping | Floor Cleaning + Carpet Steaming | 4 Extra Mop Pads | 400 ML | 1300W | Floor Disinfectant | for All Floor Types | 4mtr Long Cord | Wet & Dry Mopping | SM-01,834,17,0.34%,0.39%,"1,109",25,0.34%,0.42%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HS-02,B0D2LKB4BJ,B0D2LKB4BJ,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate lock| Portable |HS-02, Hair Straightener Tong - Purple",252,0,0.10%,0.00%,293,0,0.09%,0.00%,76.56%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
ET-01-BK_N,B0D2P5TGWK,B0D2P5TGWK,NexLev Smart Electric Toothbrush for Adults | 2-Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery | 3 Cleaning Modes | Upto 60 Days | Waterproof | Travel Case | Soft Bristles | ET-01 Black,410,8,0.17%,0.18%,587,9,0.18%,0.15%,4.27%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HM-01,B0D63FKYZ5,B0D63FKYZ5,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,86,2,0.03%,0.05%,103,2,0.03%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HD-02,B0D81DLSFT,B0D81DLSFT,"nexlev Hair Dryer For Women| Foldable| 1500 Watts| Cool Shot| 3 Heat & 2 Speed Settings| Overheat Protection| Concentrator Nozzle| Salon-Style Blow Dry| Just Style (Hd-02 Women), Black & Copper",99,2,0.04%,0.05%,122,2,0.04%,0.03%,4.24%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
V-01,B0D83Q7L8W,B0D83Q7L8W,"NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings | V-01",216,2,0.09%,0.05%,327,2,0.10%,0.03%,8.87%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
LR-01,B0D8445KJN,B0D8445KJN,"NexLev Lint Remover | For Woolen Sweaters Shirts Socks Jackets Suede Leggings | Pill, Rue & Burr Remover | 30 Min Use |Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",226,6,0.09%,0.14%,268,8,0.08%,0.13%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
LR-02,B0D845B2DG,B0D845B2DG,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets | Pill, Rue & Burr Remover | 120 Min Use |TypeC | Lint Brush for Coat| SS Blade | Safety Lock | LR-02",544,13,0.22%,0.30%,705,17,0.22%,0.28%,0.96%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HD-01,B0D86ZC9YT,B0D86ZC9YT,Nexlev Just Style Pro Hair Dryer |2100 W for Quick & Easy Blowdry | Double Heat Protection Technology | 3 Heat Settings & Cool Shot Function For Salon-Like Styling at Home (HD-01),127,3,0.05%,0.07%,148,3,0.05%,0.05%,7.25%,50.00%,0,0,0.00%,0.00%,₹ 0.00,0
ETR-06,B0D9KCNVNM,B0D9KCNVNM,Nexlev Oscillating Electric Toothbrush | 8000 vibrations/min | USB Type C Charging|3 modes| 2 Minute Timer |Quad Change Reminder| IPX7 Waterproof | For adults| 1 year warranty| |Sparkle Pro (ETR-06),104,3,0.04%,0.07%,148,4,0.05%,0.07%,2.24%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
SW-01,B0D9KDQCCM,B0D9KDQCCM,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,485,10,0.20%,0.23%,717,12,0.22%,0.20%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HSB-03,B0D9KFP4MG,B0D9KFP4MG,NexLev Ionic Hair Straightener Brush |Frizz-Free Straightening upto 12 H |Ceramic Tourmaline Coated| 60mm Wide Brush | 130-210° |Keratin Bristles| Thermo Protect Technology |No Scalp Burn|1500W|HSB-03,821,4,0.33%,0.09%,"1,119",5,0.35%,0.08%,0.52%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
LE-03,B0D9KFQG8Q,B0D9KFQG8Q,"Nexlev Skin Scrubber |Red & Blue LED Therapy| Blackhead Remover| Pore Cleaner| Skin Lifting & tightening, wrinkle remover| 2 Silicone Cleaning Heads| Facial Cleansing|Type C Charging| Elixir Pro LE-03",148,2,0.06%,0.05%,160,2,0.05%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
LE-02,B0DCGHKRXX,B0DCGHKRXX,NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC | Targeted Laser Treatment Machine |3 Modes |LE-02,"5,271",19,2.12%,0.44%,"6,685",23,2.07%,0.39%,1.38%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
LE-04,B0DCK4DR1B,B0DCK4DR1B,Nexlev Skin Lift Device | 7 Color LED | Face & Neck Skin Lifting| 3 Massage Modes| Face Sculpting Tool |Micro-currents to reduce Wrinkles| Hot Compress | Rechargeable| Type-C| 180 Min Use| Glow+ LE-04,228,6,0.09%,0.14%,293,7,0.09%,0.12%,1.95%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
VC-02,B0DCK56Q85,B0DCK56Q85,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",371,3,0.15%,0.07%,544,4,0.17%,0.07%,0.21%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
VC-03,B0DDC3GVZW,B0DDC3GVZW,nexlev Cordless Electric Car Vacuum Cleaner VacuSafe| Seat-Belt Cutter| Window Breaker Hammer| LED Torch|4000 mAh| High Power Suction | Copper Motor| Type-C Emergency Car Escape Tool| Portable| VC-03,103,1,0.04%,0.02%,116,1,0.04%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
CM-01-BL,B0DFCDKMWR,B0DFCDKMWR,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Blue CM-01,739,23,0.30%,0.53%,"1,080",39,0.33%,0.65%,0.21%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TI-01,B0DFM4JZV9,B0DFM4JZV9,"Nexlev Tyre Inflator for Car | Touch Control |150 PSI |12V DC| 4 Nozzles | Digital Tyre Pressure Gauge| Carry Bag | Suitable for Bike, Bicycle or Any Inflatable | Emergency LED Light | TI-01",33,0,0.01%,0.00%,45,0,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TM-02,B0DFMRG2K4,B0DFMRG2K4,"NexLev All in One Body Trimmer for Men | Suitable for Beard, Body, Balls, Pubic Hair, Private Parts | 90 Min Runtime |Type C | IPX 7 Waterproof | No Nicks No Cuts | 2 Safety Combs| Extra Blade | TM-02",114,3,0.05%,0.07%,138,4,0.04%,0.07%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TIC-03,B0DJFH4K8B,B0DJFH4K8B,NexLev Cordless Tyre Inflator for Cars & Bikes|150 PSI| 2x2000 mAh Powerbank| Type-C Port| 5 Pre Set Mode|Auto Shut-Off |Digital Display| LED Light | Multiple Nozzles| AER Pro TIC-03,86,1,0.03%,0.02%,111,1,0.03%,0.02%,1.03%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TI-02,B0DJFH6RTL,B0DJFH6RTL,"NexLev Portable Tyre Inflator for Car, Bike, Cycle|150 PSI Pressure| 120 Watt Air Pump|12V Car Plug| Digital Display| Auto Shut-Off| Emergency LED Light| 3m Cord| 3 Air Nozzles| Compact| AER TI-02",40,0,0.02%,0.00%,54,0,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TIC-04,B0DJFJZMC6,B0DJFJZMC6,"Nexlev Cordless & Corded Tyre Inflator|150 PSI| 6000 mAh Powerbank|LED Light | Type C Port |Digital Display| 5 Pre-Set Modes|Auto Shut-Off |Multiple Nozzles for Cars, Bikes, Cycle| AER Pro Max TIC-04",62,2,0.02%,0.05%,75,2,0.02%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TM-03,B0DK9NRBWJ,B0DK9NRBWJ,NexLev Intimate Trimmer for Men|Ceramic Blade|120 Min Runtime|Type C Charge | IPX7 Waterproof | 7000RPM Copper Motor| Cordless|LED Light| Travel Lock| Wet/Dry Groin & Body Shaver | Intimate Pro TM-03,34,1,0.01%,0.02%,56,1,0.02%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
VC-05,B0DKJSCLBD,B0DKJSCLBD,"NexLev Cordless Wet & Dry Vacuum Cleaner|For Home Car & Office Use|3 Attachments |HEPA to capture dust | 4000 mAh Battery|Quick Cleaning of Desk, Coffee tea or Water Spill | Compact & Portable | VC-05",335,4,0.13%,0.09%,432,5,0.13%,0.08%,2.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
VC-04,B0DKJZDY72,B0DKJZDY72,nexlev Cordless Vacuum Cleaner & Blower |BLDC Copper Motor |HEPA with Stainless Steel Cover | for Home Office & Car Cleaning|4 Attachments | Blower for Dust & Inflatables | Portable & Compact | VC-04,99,2,0.04%,0.05%,118,2,0.04%,0.03%,3.77%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
CF-01,B0DNJF1BLS,B0DNJF1BLS,nexlev Drip Coffee Maker |Filter Coffee for Home & Office | 4-6 Cups | Warming Plate|Borosilicate Carafe | Reusable & Washable Filter | Anti Drip | 750 ml | Cone Filter | Water Level Indicator |CF-01,135,5,0.05%,0.12%,180,7,0.06%,0.12%,1.97%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
BM-02,B0DNJJKBKG,B0DNJJKBKG,NexLev Neck & Back Massager | Deep Tissue Shiatsu Roller | Cervical Pain Relief | 3 Speeds | 8 Kneading Nodes | Quick Pain Relief | Auto Shut Off | 1 year Warranty | BM-02,56,1,0.02%,0.02%,73,1,0.02%,0.02%,1.56%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
V-01 RG,B0DQ8W1RBV,B0DQ8W1RBV,"NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings|V-01RG",673,4,0.27%,0.09%,"1,034",8,0.32%,0.13%,0.55%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
SS-01(New),B0DTK4FY1G,B0DTK4FY1G,"NexLev Spin Scrubber with Soap Spray | 6 heads| For Kitchen, Tub, Glass, Complete cleaning tool for Home, Office & Car| 90 min runtime | 4500 mAh | Cordless Type C | Adjustable Handle|SS-01, White",291,2,0.12%,0.05%,374,4,0.12%,0.07%,6.93%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
BM-03,B0DV8XH455,B0DV8XH455,NexLev Shiatsu Neck Shoulder & Back Massager | 8 Kneading Nodes | 4 Modes | Deep Tissue Massage for Cervical Pain Relief | Adjustable & Hands free Design | Portable | Deep Tissue Relief | BM-03,14,1,0.01%,0.02%,17,1,0.01%,0.02%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
NP-07,B0DVCDD5VC,B0DVCDD5VC,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-07",12,0,0.00%,0.00%,16,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
SC-02,B0FCCHV183,B0FCCHV183,Nexlev Steam Cleaner SC-02 & Accessories Variation,2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
ETC-08-BL,B0FJ1ZB4G9,B0FJ1ZB4G9,Nexlev Electric Toothbrush| 40000 vibrations/min|USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brush Heads With Cover| IPX7 Waterproof| For Adults| ETC-08 MidNight Blue,44,0,0.02%,0.00%,64,0,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
KE-03,B0FJ8SFNRH,B0FJ8SFNRH,"NexLev Grand Electric Water Kettle | 1.8 L | 1500 Watts | Stainless Steel | For Home, Office | Auto Cut Off | For Boiling Water, making Tea & Coffee, Instant Noodles, Soup | Cool Touch Handle |KE-03",11,1,0.00%,0.02%,13,3,0.00%,0.05%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
PB-01,B0FS6TB7CP,B0FS6TB7CP,NexLev Portable Blender for Smoothies Milkshakes Crushing Ice Juices | 6 Leaf Stainless Steel Blade | 3000 mAh Battery | Type C Rechargeable | Mix Fruit Juicer | 450ml | For Kitchen & Travel | PB-01,"1,144",13,0.46%,0.30%,"1,481",19,0.46%,0.32%,1.52%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
AP-01,B0FZB1SSRV,B0FZB1SSRV,Nexlev AP-01 & AP-03 Air Purifier & Accessories Variation,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
MR-01,B0CYSLCRQS,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","52,737",544,19.30%,12.26%,"60,391",647,17.19%,10.67%,55.35%,57.73%,31,1,0.06%,0.18%,"₹ 91,269.00",31
V-01,B0D83Q7L8W,B0D83Q7L8W,"NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings | V-01",216,2,0.08%,0.05%,327,2,0.09%,0.03%,50.35%,100.00%,8,0,3.70%,0.00%,"₹ 9,992.00",8
KM-01,B0DM66B2DW,B0DM66B2DW,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",736,22,0.27%,0.50%,"1,089",31,0.31%,0.51%,34.72%,38.89%,8,1,1.09%,4.55%,"₹ 12,752.00",8
KE-02,B0DFD123P5,B0DFD123P5,"Nexlev MultiPurpose Electric Food Kettle|1.5 L Ceramic Pot | 600W| Boil, Steam, Fry, Saute| Double Layered Body| 2 Temperature Settings| Multi Cooker for Water, Egg, Tea, Soup, Noodles, Rice| KE-02","2,764",30,1.01%,0.68%,"4,094",36,1.17%,0.59%,18.83%,23.81%,6,0,0.22%,0.00%,"₹ 7,745.00",6
KE-01,B0DFCG2VGS,B0DFCG2VGS,"Nexlev Multi Purpose Electric Food Kettle|1.8L Stainless Steel Pot| 600W|Boil, Steam, Fry, Saute| Double Layered Body|2 Heat Settings|Multi Function for Water, Milk, Egg, Soup, Noodles|KE-01","1,288",17,0.47%,0.38%,"1,865",24,0.53%,0.40%,21.14%,38.46%,5,0,0.39%,0.00%,"₹ 8,645.00",5
SC-01,B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01","10,843",162,3.97%,3.65%,"14,711",232,4.19%,3.83%,9.12%,10.26%,4,0,0.04%,0.00%,"₹ 13,996.00",4
HU-01,B0DVC968P1,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01","1,038",25,0.38%,0.56%,"1,666",35,0.47%,0.58%,6.75%,6.25%,4,0,0.39%,0.00%,"₹ 8,136.00",4
SC-04,B0DNJS23HS,B0DNJS23HS,NexLev 10 in 1 Steam Cleaner & Mop|2 Steam Modes| Mopping & Deep Cleaning Home Car Sofa Bathroom Kitchen & Office |For All Surfaces|350ML|Chemical Free Cleaning | Detachable & Foldable|SC-04,"6,032",61,2.21%,1.37%,"7,949",80,2.26%,1.32%,13.29%,21.62%,3,0,0.05%,0.00%,"₹ 17,397.00",3
