amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-iba 
408-6068635-0631501	408-6068635-0631501	2025-12-27T13:10:53+00:00	2025-12-27T14:28:02+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |G	FBK79591	B0F29SZCVF	Shipped	1	INR	1449.0								NEW DELHI	DELHI	110037	IN		false				false
404-8304347-2786704	404-8304347-2786704	2025-12-27T13:10:44+00:00	2025-12-27T21:08:06+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tan	FBA79271	B0D83Q7L8W	Shipped	1	INR	1248.0		40.0					40.0	Jaipur	RAJASTHAN	302015	IN		false				false
171-0060922-8430739	171-0060922-8430739	2025-12-27T13:02:03+00:00	2025-12-27T22:39:04+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets | Pill, Rue & Burr Remover | 120 Min Use |TypeC | Lin	FBA79280	B0D845B2DG	Shipped	1	INR	1498.0		40.0					40.0	BHIWANDI	MAHARASHTRA	421302	IN		false				false
407-4345199-0862764	407-4345199-0862764	2025-12-27T12:50:58+00:00	2025-12-27T20:07:16+00:00	Shipped	Amazon	Amazon.in			Expedited	nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification &	FBA79263	B0CYSLCRQS	Shipped	1	INR	2949.0								HYDERABAD	TELANGANA	500017	IN		false				false
406-4438782-2516310	406-4438782-2516310	2025-12-27T12:40:01+00:00	2025-12-27T15:35:15+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Friz	FBA79406	B0DCK3N2JJ	Shipped	1	INR	2374.0						47.48		FARIDABAD	HARYANA	121006	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
171-4402796-8258710	171-4402796-8258710	2025-12-27T12:34:22+00:00	2025-12-27T17:52:21+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Professional Air Purifier for 650 sq ft Area| 8500 Hrs Filter Life|True HEPA 13 Filter |Captures 99.99% Virus and PM 2.5 Particle|For Home & Of	FBA79683	B0DVC9PRSD	Shipped	1	INR	13490.0								PUNE	MAHARASHTRA	411045	IN		false				false
404-9599851-0276348	404-9599851-0276348	2025-12-27T12:29:45+00:00	2025-12-27T16:40:04+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC	FBA79440	B0DCGHKRXX	Cancelled	0										Pune	MAHARASHTRA	412206	IN		false				false
403-5278205-3235568	403-5278205-3235568	2025-12-27T12:21:19+00:00	2025-12-27T14:40:08+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office Cleaning machine | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Gr	FBA79652	B0F43P6D23	Shipped	1	INR	2949.0						58.98		MUMBAI	MAHARASHTRA	400050	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
407-5087409-7586704	407-5087409-7586704	2025-12-27T12:21:12+00:00	2025-12-27T15:36:08+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tan	FBA79271	B0D83Q7L8W	Shipped	1	INR	1248.0						24.96		BENGALURU	KARNATAKA	560077	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
404-4446434-9161952	404-4446434-9161952	2025-12-27T12:14:15+00:00	2025-12-28T04:39:09+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagle	FBA79452	B0DCGHVN81	Shipped	1	INR	1994.0		40.0				39.88	40.0	HYDERABAD	TELANGANA	500055	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
