brand,asin,week,Spend,Clicks,Impressions,attributed_sales,ams_orders,gmv,sessions,units,buy_box_pct,conversion_pct,acos,roas,tacos,cac,attributed_sales_pct,organic_sales_pct,category_l0,category_l1,category_l2,SKU,Model,(Parent) ASIN,Title,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B,ad_channel,Spend_ads,Clicks_ads,Impressions_ads,attributed_sales_ads,ams_orders_ads,brand_ads,ad_type,campaign_name
Nexlev,B0DFCG2VGS,4,5943.4,654.0,156678.0,24747.45,18.0,21747.0,1206.0,,0.8749,,0.2401621177131381,4.163854022949827,0.27329746631719315,330.18888888888887,1.1379707545868396,-0.1379707545868396,,,,FBA79488,KE-01,B0DFCG2VGS,"Nexlev Multi Purpose Electric Food Kettle|1.8L Stainless Steel Pot| 600W|Boil, Steam, Fry, Saute| Double Layered Body|2 Heat Settings|Multi Function for Water, Milk, Egg, Soup, Noodles|KE-01",24.0,0.008,0.0109,1754.0,39.0,0.0091,0.0133,0.8889,13.0,0.0,0.0,21747.0,0.0,13.0,0.0,SP_SD,5943.4,654.0,156678.0,24747.45,18.0,Nexlev,SP_SD,
Nexlev,B0D2LJSQXZ,4,1607.6,152.0,18422.0,9152.55,3.0,39032.0,1300.0,,0.8543,,0.1756450388143195,5.693300572281662,0.04118671858987497,535.8666666666667,0.23448836851813895,0.7655116314818611,,,,FBA79276,SM-01,B0D2LJSQXZ,NexLev Steam Mop | Chemical Free Mopping | Floor Cleaning + Carpet Steaming | 4 Extra Mop Pads | 400 ML | 1300W | Floor Disinfectant | For All Floor Types | 4mtr long Cord | Wet & Dry Mopping | SM-01,20.0,0.0087,0.0091,1732.0,29.0,0.009,0.0099,1.0,12.0,0.0,0.0,39032.0,0.0,12.0,0.0,SP_SD,1607.6,152.0,18422.0,9152.55,3.0,Nexlev,SP_SD,
Nexlev,B0D9KFP4MG,4,3741.76,343.0,83933.0,13594.04,9.0,22737.0,1313.0,,0.971,,0.27525003604520804,3.633060378003934,0.1645670053217223,415.75111111111113,0.5978818665611119,0.40211813343888814,,,,FBA79405,HSB-03,B0D9KFP4MG,"Nexlev HS-01, HS-02, HSB-03 & HSB-04 Hair Straighener & Hair Straightener Brush Variation (Corded Hair Straightener Brush)",13.0,0.0087,0.0059,1802.0,18.0,0.0093,0.0061,0.8571,14.0,0.0,0.0,22737.0,0.0,12.0,0.0,SP_SD,3741.76,343.0,83933.0,13594.04,9.0,Nexlev,SP_SD,
Nexlev,B0DCK7ZH5P,4,0.0,0.0,0.0,0.0,0.0,40648.0,6533.0,,0.3238,,,,0.0,,0.0,1.0,,,,FBA79439,MR-02,B0DCK7ZH5P,"NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02",90.0,0.0435,0.0408,7508.0,99.0,0.0389,0.0337,0.3585,12.0,0.0,0.0,40648.0,0.0,12.0,0.0,SP_SD,0.0,0.0,0.0,0.0,0.0,Nexlev,SP_SD,
Nexlev,B0DFCDZWND,4,4144.4400000000005,228.0,55165.0,7238.070000000001,6.0,14479.0,332.0,,0.8297,,0.572589101790947,1.7464530793062512,0.28623799986186893,690.7400000000001,0.4999012362732233,0.5000987637267766,,,,FBA79472,CM-02-PR,B0DFCDZWND,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Purple CM-02,7.0,0.0022,0.0032,460.0,7.0,0.0024,0.0024,0.75,11.0,1.0,0.1429,14479.0,1308.0,11.0,1.0,SP_SD,4144.4400000000005,228.0,55165.0,7238.070000000001,6.0,Nexlev,SP_SD,
Nexlev,B0FS6TB7CP,4,7540.6,614.0,168144.0,17432.22,10.0,22189.0,757.0,,0.8102,,0.4325668216670051,2.3117815558443624,0.33983505340484027,754.0600000000001,0.7856244084906936,0.2143755915093064,,,,FBA79812,PB-01,B0FS6TB7CP,NexLev Portable Blender for Smoothies Milkshakes Crushing Ice Juices | 6 Leaf Stainless Steel Blade | 3000 mAh Battery | Type C | Mix Fruit Juicer Mini | 450ml | For Kitchen & Travel | PB-01,13.0,0.005,0.0059,1066.0,16.0,0.0055,0.0055,0.7143,11.0,0.0,0.0,22189.0,0.0,11.0,0.0,SP_SD,7540.6,614.0,168144.0,17432.22,10.0,Nexlev,SP_SD,
Nexlev,B0CDPMX152,4,12115.12,669.0,194998.0,42177.880000000005,25.0,19690.0,1953.0,,0.65,,0.287238713752327,3.481424864136715,0.6152930421533774,484.6048,2.142096495683088,-1.142096495683088,,,,FBA78980,GS-02,B0CDPMX152,NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |Upto 5 Clothes in One Fill | Travel Friendly |GS-02,13.0,0.013,0.0059,2616.0,27.0,0.0136,0.0092,1.0,10.0,1.0,0.0769,19690.0,1969.0,10.0,1.0,SP_SD,12115.12,669.0,194998.0,42177.880000000005,25.0,Nexlev,SP_SD,
Nexlev,B0D8445KJN,4,0.0,0.0,0.0,0.0,0.0,11726.0,262.0,,0.9462,,,,0.0,,0.0,1.0,,,,FBA79279,LR-01,B0D8445KJN,"NexLev Lint Remover | For Woolen Sweaters Shirts Socks Jackets Suede Leggings | Pill, Rue & Burr Remover | 30 Min Use |Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",13.0,0.0017,0.0059,339.0,15.0,0.0018,0.0051,1.0,14.0,0.0,0.0,11726.0,0.0,10.0,0.0,,,,,,,,,
Nexlev,B0DVC968P1,4,0.0,0.0,0.0,0.0,0.0,14017.0,142.0,,0.8737,,,,0.0,,0.0,1.0,,,,FBA79681,HU-01,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01",6.0,0.0009,0.0027,216.0,6.0,0.0011,0.002,0.3333,10.0,0.0,0.0,14017.0,0.0,10.0,0.0,,,,,,,,,
Nexlev,B0CYSMBCB8,4,0.0,0.0,0.0,0.0,0.0,15792.33,223.0,,0.9888,,,,0.0,,0.0,1.0,,,,FBA79262,SC-02,B0CYSMBCB8,NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Window Car & Office Cleaning | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 Meter Cord | 1000W |SC-02,10.0,0.0015,0.0045,324.0,15.0,0.0017,0.0051,1.0,7.0,1.0,0.1,15792.33,2259.0,7.0,1.0,SP_SD,0.0,0.0,0.0,0.0,0.0,Nexlev,SP_SD,
