SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79440,LE-02,B0DCGHKRXX,B0DCGHKRXX,NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC | Targeted Laser Treatment Machine |3 Modes |LE-02,"3,158",10,2.10%,0.45%,"4,175",11,2.16%,0.37%,90.65%,87.50%,21,0,0.66%,0.00%,"₹ 38,799.00",₹ 0.00,21,0
FBK79271,V-01 RG,B0DQ8W1RBV,B0DQ8W1RBV,"NexLev Ionic Hot Air Brush for Woman | 3 in 1 Hair Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings | V-01RG","1,212",5,0.81%,0.23%,"1,676",6,0.87%,0.20%,93.57%,0.00%,20,0,1.65%,0.00%,"₹ 26,224.00",₹ 0.00,20,0
FBA79374,ET-02-GN_N,B0D2P7WLJB,B0D2P7WLJB,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-02 Green",421,7,0.28%,0.32%,549,8,0.28%,0.27%,89.15%,100.00%,19,0,4.51%,0.00%,"₹ 5,331.00",₹ 0.00,18,0
FBA79570,BR-01,B0DKJXRXKM,B0DKJXRXKM,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,659,16,0.44%,0.72%,883,21,0.46%,0.72%,84.39%,80.00%,17,0,2.58%,0.00%,"₹ 22,035.00",₹ 0.00,17,0
FBA79404,FS-01,B0D9KFZYG8,B0D9KFZYG8,"NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diffuser|30 Sec Heating|Avoid Burns & Spillage | FS-01","1,297",9,0.86%,0.41%,"1,591",11,0.82%,0.37%,81.95%,80.00%,14,1,1.08%,11.11%,"₹ 22,482.00","₹ 1,599.00",14,1
FBA79673,ETC-07-WH,B0FJG5PFGQ,B0FJG5PFGQ,Nexlev Electric Toothbrush |40K Strokes/minute | 60 Days Battery Life| Type C| 6 Modes| 2 Min timer| 30 sec Quad Pacer | 4 Brush Heads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-07 White,274,3,0.18%,0.14%,403,4,0.21%,0.14%,100.00%,100.00%,15,0,5.47%,0.00%,"₹ 9,242.00",₹ 0.00,14,0
FBA79488,KE-01,B0DFCG2VGS,B0DFCG2VGS,"Nexlev Multi Purpose Electric Food Kettle|1.8L Stainless Steel Pot| 600W|Boil, Steam, Fry, Saute| Double Layered Body|2 Heat Settings|Multi Function for Water, Milk, Egg, Soup, Noodles|KE-01","1,206",24,0.80%,1.09%,"1,754",39,0.91%,1.33%,87.49%,88.89%,13,0,1.08%,0.00%,"₹ 21,747.00",₹ 0.00,13,0
FBA79276,SM-01,B0D2LJSQXZ,B0D2LJSQXZ,NexLev Steam Mop | Chemical Free Mopping | Floor Cleaning + Carpet Steaming | 4 Extra Mop Pads | 400 ML | 1300W | Floor Disinfectant | For All Floor Types | 4mtr long Cord | Wet & Dry Mopping | SM-01,"1,300",20,0.87%,0.91%,"1,732",29,0.90%,0.99%,85.43%,100.00%,12,0,0.92%,0.00%,"₹ 39,032.00",₹ 0.00,12,0
FBA79405,HSB-03,B0D9KFP4MG,B0D9KFP4MG,"Nexlev HS-01, HS-02, HSB-03 & HSB-04 Hair Straighener & Hair Straightener Brush Variation (Corded Hair Straightener Brush)","1,313",13,0.87%,0.59%,"1,802",18,0.93%,0.61%,97.10%,85.71%,14,0,1.07%,0.00%,"₹ 22,737.00",₹ 0.00,12,0
FBA79439,MR-02,B0DCK7ZH5P,B0DCK7ZH5P,"NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02","6,533",90,4.35%,4.08%,"7,508",99,3.89%,3.37%,32.38%,35.85%,12,0,0.18%,0.00%,"₹ 40,648.00",₹ 0.00,12,0
FBA79472,CM-02-PR,B0DFCDZWND,B0DFCDZWND,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Purple CM-02,332,7,0.22%,0.32%,460,7,0.24%,0.24%,82.97%,75.00%,11,1,3.31%,14.29%,"₹ 14,479.00","₹ 1,308.00",11,1
