date,asin,Spend,adGroupName,ams_orders,campaignId,14 Day Total Units (#),Impressions,raw_sku,adGroupId,14 Day Total Sales (₹),Clicks,campaignName,sku,model,brand,category_l0,category_l1,category_l2
2026-08-13,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-14,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-15,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-01,B0DFCDZWND,0.0,SD_VR_Cramp Massager,0,406789064946884,0,0,FBA79472,287575171866880,0.0,0,Nex_HPC_SD_CM-02_B0DFCDZWND_VRM_7_14,FBA79472,CM-02-PR,Nexlev,HPC,Electric Massagers,Electric Heating Pads
2026-08-02,B0DFCDZWND,0.0,SD_VR_Cramp Massager,0,406789064946884,0,0,FBA79472,287575171866880,0.0,0,Nex_HPC_SD_CM-02_B0DFCDZWND_VRM_7_14,FBA79472,CM-02-PR,Nexlev,HPC,Electric Massagers,Electric Heating Pads
2026-08-01,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-02,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-03,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-04,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-05,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-06,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-07,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-08,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-09,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-10,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-11,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-12,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-13,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-14,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-15,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-16,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-17,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-18,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-19,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-20,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-21,B0DCK7ZH5P,0.0,Conversions,0,551839642753920,0,0,FBA79439,513992676232076,0.0,0,Nex_HnK_SD_MR-01/02_B0CYSLCRQS_B0DCK7ZH5P_VRM_14,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-08-01,B0DM6BB3VT,0.0,SD_VR_CFM-01 & CFM-03 L14D,0,511202946236629,0,0,FBM79590,389772479636297,0.0,0,Nex_HPC_SD_CFM-03_B0FPGDVVCX_VRM_14_30,FBA79590,CFM-01,Nexlev,HPC,Electric Massagers,Calf Massager
2026-08-02,B0DM6BB3VT,0.0,SD_VR_CFM-01 & CFM-03 L14D,0,511202946236629,0,0,FBM79590,389772479636297,0.0,0,Nex_HPC_SD_CFM-03_B0FPGDVVCX_VRM_14_30,FBA79590,CFM-01,Nexlev,HPC,Electric Massagers,Calf Massager
2026-08-03,B0DM6BB3VT,0.0,SD_VR_CFM-01 & CFM-03 L14D,0,511202946236629,0,0,FBM79590,389772479636297,0.0,0,Nex_HPC_SD_CFM-03_B0FPGDVVCX_VRM_14_30,FBA79590,CFM-01,Nexlev,HPC,Electric Massagers,Calf Massager
2026-08-04,B0DM6BB3VT,0.0,SD_VR_CFM-01 & CFM-03 L14D,0,511202946236629,0,0,FBM79590,389772479636297,0.0,0,Nex_HPC_SD_CFM-03_B0FPGDVVCX_VRM_14_30,FBA79590,CFM-01,Nexlev,HPC,Electric Massagers,Calf Massager
2026-08-05,B0DM6BB3VT,0.0,SD_VR_CFM-01 & CFM-03 L14D,0,511202946236629,0,0,FBM79590,389772479636297,0.0,0,Nex_HPC_SD_CFM-03_B0FPGDVVCX_VRM_14_30,FBA79590,CFM-01,Nexlev,HPC,Electric Massagers,Calf Massager
2026-08-06,B0DM6BB3VT,0.0,SD_VR_CFM-01 & CFM-03 L14D,0,511202946236629,0,0,FBM79590,389772479636297,0.0,0,Nex_HPC_SD_CFM-03_B0FPGDVVCX_VRM_14_30,FBA79590,CFM-01,Nexlev,HPC,Electric Massagers,Calf Massager
2026-08-07,B0DM6BB3VT,0.0,SD_VR_CFM-01 & CFM-03 L14D,0,511202946236629,0,0,FBM79590,389772479636297,0.0,0,Nex_HPC_SD_CFM-03_B0FPGDVVCX_VRM_14_30,FBA79590,CFM-01,Nexlev,HPC,Electric Massagers,Calf Massager
