asin,week,brand,SKU,Model,(Parent) ASIN,Title,sessions,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,buy_box_pct,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,conversion_pct,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B,gmv,Spend,Clicks,Impressions,attributed_sales,ams_orders,ad_channel,acos,roas,tacos,cac,attributed_sales_pct,organic_sales_pct
B0D9KFQG8Q,19,Nexlev,FBA79443,LE-03,B0D9KFQG8Q,"Nexlev Skin Scrubber |Red & Blue LED Therapy| Blackhead Remover| Pore Cleaner| Skin Lifting & tightening, wrinkle remover| 2 Silicone Cleaning Heads| Facial Cleansing|Type C Charging| Elixir Pro LE-03",84,2,0.0006,0.0009,91,2,0.0005,0.0007,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0D9KFZYG8,19,Nexlev,FBA79404,FS-01,B0D9KFZYG8,"NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diffuser|30 Sec Heating|Avoid Burns & Spillage | FS-01",582,20,0.0039,0.008,788,24,0.004099999999999999,0.0073,0.9971,1.0,15,0,0.0515,0.0,21182.20338983051,0.0,15,0,0,6320.92,223.0,82355.0,16969.519999999997,12.0,SP_SD,0.37248667021813237,2.684659827999721,,526.7433333333333,,
B0DCGHKRXX,19,Nexlev,FBA79440,LE-02,B0DCGHKRXX,NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC | Targeted Laser Treatment Machine |3 Modes |LE-02,423,11,0.0029,0.0048,537,14,0.0029,0.0047,0.9937,1.0,8,0,0.0189,0.0,13155.93220338983,0.0,8,0,0,1356.04,105.0,35386.0,4889.84,3.0,SP_SD,0.2773178672512802,3.605970325359134,,452.0133333333333,,
B0DCGHVN81,19,Nexlev,FBA79452,VC-01,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,2704,78,0.0181,0.0313,3564,92,0.0186,0.028,0.9969,1.0,10,0,0.0074,0.0,10328.81355932204,0.0,10,0,0,8579.0,602.0,209328.0,6725.509999999999,4.0,SP_SD,1.2755909960731604,0.783950343862921,,2144.75,,
B0DCK3N2JJ,19,Nexlev,FBA79406,HSB-04,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04",18416,56,0.1231,0.0224,23396,70,0.1222,0.0213,0.9995,1.0,21,0,0.0023,0.0,44802.54237288135,0.0,21,0,0,3974.25,215.0,32586.0,11145.43,5.0,SP_SD,0.35658112787034685,2.8044108951374476,,794.85,,
B0DCK4DR1B,19,Nexlev,FBA79469,LE-04,B0DCK4DR1B,Nexlev Skin Lift Device | 7 Color LED | Face & Neck Skin Lifting| 3 Massage Modes| Face Sculpting Tool |Micro-currents to reduce Wrinkles| Hot Compress | Rechargeable| Type-C| 180 Min Use| Glow+ LE-04,76,0,0.0005,0.0,100,0,0.0005,0.0,1.0,0.0,1,0,0.0263,0.0,1236.440677966102,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0DCK56Q85,19,Nexlev,FBA79463,VC-02,B0DCK56Q85,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",1036,24,0.0069,0.009600000000000001,1318,28,0.0069,0.0085,0.9951,1.0,5,0,0.0097,0.0,10288.98305084746,0.0,5,0,0,5330.07,262.0,88723.0,8871.2,4.0,SP_SD,0.6008285237622869,1.6643683854058204,,1332.5175,,
B0DCK7ZH5P,19,Nexlev,FBA79439,MR-02,B0DCK7ZH5P,"NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02",8360,141,0.0573,0.0601,9722,159,0.0524,0.0518,1.0266,1.0,29,0,0.004,0.0,79400.0,0.0,29,0,0,11317.77,467.0,58886.0,35129.67,14.0,SP_SD,0.3221712586540096,3.1039392035710214,,808.4121428571428,,
B0DDC3GVZW,19,Nexlev,FBA79480,VC-03,B0DDC3GVZW,nexlev Cordless Electric Car Vacuum Cleaner VacuSafe| Seat-Belt Cutter| Window Breaker Hammer| LED Torch|4000 mAh| High Power Suction | Copper Motor| Type-C Emergency Car Escape Tool| Portable| VC-03,96,0,0.0006,0.0,102,0,0.0006,0.0,0.9796,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0DFCDKMWR,19,Nexlev,FBA79464,CM-01-BL,B0DFCDKMWR,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Blue CM-01,22,0,0.0002,0.0,26,0,0.0001,0.0,1.0,0.0,1,0,0.0455,0.0,1270.338983050847,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,SP_SD,,,,,,
