Image,Title,Item Highlights,Sales Rank: Current,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Sales Rank: 365 days avg.,Sales Rank: Drops last 30 days,Monthly Sales Trends: Monthly Sold (Last Known),Reviews: Rating,Reviews: Rating Count,ASIN,Variation ASINs,Brand
https://m.media-amazon.com/images/I/61xzYuTPXOL.jpg;https://m.media-amazon.com/images/I/81k4lJHNqwL.jpg;https://m.media-amazon.com/images/I/81cq05foBVL.jpg;https://m.media-amazon.com/images/I/81lWAyeWu0L.jpg;https://m.media-amazon.com/images/I/810jJkxyC1L.jpg;https://m.media-amazon.com/images/I/91SB+NYAi7L.jpg;https://m.media-amazon.com/images/I/81eAqCM-IlL.jpg;https://m.media-amazon.com/images/I/71YVGRZ1gNL.jpg;https://m.media-amazon.com/images/I/61QsfQ7O9uL.jpg,Nexlev Handheld Steamer Iron For Clothes | Portable Steam Iron With Foldable Design | 1200W Fast Heating | 120ml Tank | Vertical & Horizontal Use | Anti-Spill Travel Garment Steamer | 2M Cord GS-05,,15858,27793,41781,21941,11,50,3.6,86,B0D383WQPB,"B0D383WQPB,B0CDPMX152",nexlev
https://m.media-amazon.com/images/I/71O0i1oCixL.jpg;https://m.media-amazon.com/images/I/81ZDbbYgwSL.jpg;https://m.media-amazon.com/images/I/71sidwsMSuL.jpg;https://m.media-amazon.com/images/I/71Xd+cxSBbL.jpg;https://m.media-amazon.com/images/I/7110eIO9A2L.jpg;https://m.media-amazon.com/images/I/81+X89+idgL.jpg;https://m.media-amazon.com/images/I/71ZZbIXMNSL.jpg;https://m.media-amazon.com/images/I/71WdK2kQpKL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg,"NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle | 1200W | 3 Speed & 2 Heat Settings|V-01",,5061,6055,11312,17112,28,30,4,324,B0D83Q7L8W,"B0DQCWRG3H,B0D83Q7L8W,B0DQ8W1RBV,B0DT6Y7KJM",nexlev
https://m.media-amazon.com/images/I/61YPOsol5WL.jpg;https://m.media-amazon.com/images/I/61MpfIH-mZL.jpg;https://m.media-amazon.com/images/I/61BU7w0lPeL.jpg;https://m.media-amazon.com/images/I/61e3tziKjpL.jpg;https://m.media-amazon.com/images/I/61fZFF+iyyL.jpg;https://m.media-amazon.com/images/I/61caLJZ88eL.jpg;https://m.media-amazon.com/images/I/71omObAR4JL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate Lock| Portable HS-01, Hair Straightener Tong - Black",,15096,23669,67370,61336,11,10,4.6,15,B0D2LFMY48,"B0D9KFP4MG,B0D2LFMY48,B0D2LKB4BJ",nexlev
https://m.media-amazon.com/images/I/61Ger0tOW9L.jpg;https://m.media-amazon.com/images/I/616gWIBZMCL.jpg;https://m.media-amazon.com/images/I/61dJgJDaGgL.jpg;https://m.media-amazon.com/images/I/61IKXJ+Hv4L.jpg;https://m.media-amazon.com/images/I/61Tl7S7IYlL.jpg;https://m.media-amazon.com/images/I/61noc3I+foL.jpg;https://m.media-amazon.com/images/I/71kZC+w-WmL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate lock| Portable |HS-02, Hair Straightener Tong - Purple",,16541,24823,71784,57324,9,50,4.1,45,B0D2LKB4BJ,"B0D9KFP4MG,B0D2LFMY48,B0D2LKB4BJ",nexlev
https://m.media-amazon.com/images/I/719S5oJ-PxL.jpg;https://m.media-amazon.com/images/I/61MVdAonXXL.jpg;https://m.media-amazon.com/images/I/71Fa0ZJQpcL.jpg;https://m.media-amazon.com/images/I/61piw-quouL.jpg;https://m.media-amazon.com/images/I/61u+UnidBSL.jpg;https://m.media-amazon.com/images/I/71bNnQ3gAsL.jpg;https://m.media-amazon.com/images/I/71X2oNGRrjL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg,Nexlev Steam Mop Floor Cleaner | 1300W Fast Heating | Steam Mop Floor Cleaner Electric with 400ML Water Tank | 4 Mop Pads | Carpet Glider | Chemical-Free Cleaning | Wet & Dry Use | 4m Power Cord,,29181,20035,18409,13613,15,50,3.7,116,B0D2LJSQXZ,,nexlev
https://m.media-amazon.com/images/I/71nayaDoNDL.jpg;https://m.media-amazon.com/images/I/711-htQNiNL.jpg;https://m.media-amazon.com/images/I/91jzGcbau0L.jpg;https://m.media-amazon.com/images/I/81pBsx3yx8L.jpg;https://m.media-amazon.com/images/I/81QCXUoVgCL.jpg;https://m.media-amazon.com/images/I/81Q4ssrz0LL.jpg;https://m.media-amazon.com/images/I/81Zy1HkdowL.jpg;https://m.media-amazon.com/images/I/811Q+9k4Q4L.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg,"Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window,Glass,Upholstery| 18 Accessories Kit|Safety Lock| Large 1200ML Water Tank | SC-03",,54313,254698,156508,101550,4,50,3.6,52,B0D672NXC8,,nexlev
https://m.media-amazon.com/images/I/71zwLXEF6cL.jpg;https://m.media-amazon.com/images/I/71WvWuZ-qEL.jpg;https://m.media-amazon.com/images/I/71eQGP95zGL.jpg;https://m.media-amazon.com/images/I/813ujlJsM0L.jpg;https://m.media-amazon.com/images/I/71ozhD+-usL.jpg;https://m.media-amazon.com/images/I/71qAQ5wlvKL.jpg;https://m.media-amazon.com/images/I/71uonqB6Y8L.jpg;https://m.media-amazon.com/images/I/71qe1V9ej3L.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg,Nexlev Just Style Pro Hair Dryer |2100 W for Quick & Easy Blowdry | Double Heat Protection Technology | 3 Heat Settings & Cool Shot Function For Salon-Like Styling at Home (HD-01),,96879,82968,95761,67849,6,,4,17,B0D86ZC9YT,"B0D86ZC9YT,B0D81DLSFT",nexlev
https://m.media-amazon.com/images/I/71+VCSbJk6L.jpg;https://m.media-amazon.com/images/I/81vsDqmZwGL.jpg;https://m.media-amazon.com/images/I/81FaEBnWMvL.jpg;https://m.media-amazon.com/images/I/71cRQR9N--L.jpg;https://m.media-amazon.com/images/I/71nbzAQgcOL.jpg;https://m.media-amazon.com/images/I/71APbdyEp6L.jpg;https://m.media-amazon.com/images/I/71GTt7vsZ1L.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",,,,130192,43257,0,30,4.3,99,B0D8445KJN,,nexlev
https://m.media-amazon.com/images/I/61gCoGPgVnL.jpg;https://m.media-amazon.com/images/I/71PASGs8-JL.jpg;https://m.media-amazon.com/images/I/71CTi-r-cKL.jpg;https://m.media-amazon.com/images/I/81h8yMQe9XL.jpg;https://m.media-amazon.com/images/I/71U8Jbxc4bL.jpg;https://m.media-amazon.com/images/I/71B9x68wvVL.jpg;https://m.media-amazon.com/images/I/71dPdT37hgL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,,77545,69897,65672,46272,4,50,4.2,27,B0D63FKYZ5,B0D63FKYZ5,nexlev
https://m.media-amazon.com/images/I/61gCoGPgVnL.jpg;https://m.media-amazon.com/images/I/71PASGs8-JL.jpg;https://m.media-amazon.com/images/I/71CTi-r-cKL.jpg;https://m.media-amazon.com/images/I/81h8yMQe9XL.jpg;https://m.media-amazon.com/images/I/71U8Jbxc4bL.jpg;https://m.media-amazon.com/images/I/71B9x68wvVL.jpg;https://m.media-amazon.com/images/I/71dPdT37hgL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg,NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02,,77770,70630,65708,45316,3,50,3.9,95,B0D63DTKQB,B0D63FKYZ5,nexlev
