kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,keyword_text,match_type,snapshot_current,target_expression
added,246222871192869,435388603151183,318720632956455,*,,row_created,,,"{'adGroupId': '318720632956455', 'bid': 7.55, 'campaignId': '435388603151183', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B08PGYLCQB'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B08PGYLCQB'}], 'state': 'ENABLED', 'targetId': '246222871192869'}",ASIN_SAME_AS=B08PGYLCQB
added,141088007770277,424748125386360,305659227492138,*,,row_created,,,"{'adGroupId': '305659227492138', 'bid': 20.75, 'campaignId': '424748125386360', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0999SK2SY'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0999SK2SY'}], 'state': 'PAUSED', 'targetId': '141088007770277'}",ASIN_SAME_AS=B0999SK2SY
added,129109090351016,481502395507000,550610329818109,*,,row_created,,,"{'adGroupId': '550610329818109', 'bid': 4.75, 'campaignId': '481502395507000', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B00FOLOEKW'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B00FOLOEKW'}], 'state': 'PAUSED', 'targetId': '129109090351016'}",ASIN_SAME_AS=B00FOLOEKW
added,166075455177832,519888392388955,356336663382341,*,,row_created,,,"{'adGroupId': '356336663382341', 'bid': 3.8, 'campaignId': '519888392388955', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B00GXMTZE6'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B00GXMTZE6'}], 'state': 'ENABLED', 'targetId': '166075455177832'}",ASIN_SAME_AS=B00GXMTZE6
added,265021499782224,388228545428693,332257791620212,*,,row_created,,,"{'adGroupId': '332257791620212', 'bid': 15.99, 'campaignId': '388228545428693', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BV4DJLDS'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BV4DJLDS'}], 'state': 'PAUSED', 'targetId': '265021499782224'}",ASIN_SAME_AS=B0BV4DJLDS
added,259443990497745,441760761201815,419864827660597,*,,row_created,,,"{'adGroupId': '419864827660597', 'bid': 7.42, 'campaignId': '441760761201815', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CBPYWDMW'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CBPYWDMW'}], 'state': 'PAUSED', 'targetId': '259443990497745'}",ASIN_SAME_AS=B0CBPYWDMW
added,176892463180436,469039731411968,401949517801074,*,,row_created,,,"{'adGroupId': '401949517801074', 'bid': 2.09, 'campaignId': '469039731411968', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09LCL456X'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09LCL456X'}], 'state': 'PAUSED', 'targetId': '176892463180436'}",ASIN_SAME_AS=B09LCL456X
added,130120447961859,368833212792592,359815589217325,*,,row_created,,,"{'adGroupId': '359815589217325', 'bid': 7.8, 'campaignId': '368833212792592', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09RC7GRLP'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09RC7GRLP'}], 'state': 'ENABLED', 'targetId': '130120447961859'}",ASIN_SAME_AS=B09RC7GRLP
added,101290981829013,411886423295731,485382771274375,*,,row_created,,,"{'adGroupId': '485382771274375', 'bid': 15.99, 'campaignId': '411886423295731', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B099ZN9821'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B099ZN9821'}], 'state': 'PAUSED', 'targetId': '101290981829013'}",ASIN_SAME_AS=B099ZN9821
added,164581402637981,378530332991221,471383224144636,*,,row_created,,,"{'adGroupId': '471383224144636', 'campaignId': '378530332991221', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B004A4PSEU'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B004A4PSEU'}], 'state': 'PAUSED', 'targetId': '164581402637981'}",ASIN_SAME_AS=B004A4PSEU
added,94540687887033,350554320839507,138830885958672,*,,row_created,,,"{'adGroupId': '138830885958672', 'bid': 17.0, 'campaignId': '350554320839507', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BDX2N8TZ'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BDX2N8TZ'}], 'state': 'ENABLED', 'targetId': '94540687887033'}",ASIN_SAME_AS=B0BDX2N8TZ
added,73594759504691,85700096938270,52209195109564,*,,row_created,,,"{'adGroupId': '52209195109564', 'bid': 6.0, 'campaignId': '85700096938270', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B07T14YWPS'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B07T14YWPS'}], 'state': 'ENABLED', 'targetId': '73594759504691'}",ASIN_SAME_AS=B07T14YWPS
added,273852990338857,298613078263057,376178339287045,*,,row_created,,,"{'adGroupId': '376178339287045', 'bid': 9.41, 'campaignId': '298613078263057', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0B28VFLXQ'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0B28VFLXQ'}], 'state': 'ENABLED', 'targetId': '273852990338857'}",ASIN_SAME_AS=B0B28VFLXQ
added,195838852345212,196132871279865,5461988509267,*,,row_created,,,"{'adGroupId': '5461988509267', 'bid': 5.0, 'campaignId': '196132871279865', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09YHLG71V'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09YHLG71V'}], 'state': 'ENABLED', 'targetId': '195838852345212'}",ASIN_SAME_AS=B09YHLG71V
