SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79698,SS-01,B0DTK4FY1G,B0DTK4FY1G,"NexLev Spin Scrubber with Soap Spray | 6 heads| For Kitchen, Tub, Glass, Complete cleaning tool for Home, Office & Car| 90 min runtime | 4500 mAh | Cordless Type C | Adjustable Handle|SS-01, White",940,17,0.30%,0.36%,"1,194",19,0.29%,0.30%,91.89%,100.00%,4,0,0.43%,0.00%,"₹ 8,471.19",₹ 0.00,4,0
FBA79683,AP-01,B0DVC9PRSD,B0DVC9PRSD,NexLev Air Purifier for Living Room | 650 sqft Area |True HEPA 13 with 8500 Hrs Filter Life |Captures 99.99% Virus and PM 2.5 |Smart AQI Indicator |Home & Office Use|App Support|Sleep & Auto Mode| A6,743,51,0.23%,1.07%,920,69,0.22%,1.09%,98.45%,100.00%,6,0,0.81%,0.00%,"₹ 71,135.59",₹ 0.00,4,0
FBA79716,SM-01 Set of 2 Mops,B0F2MZ8CG9,B0F2MZ8CG9,NexLev Replacement Mop Cloth Pads (Set of 2) | Compatible with NexLev Steam Mop SM-01 | Reusable Microfiber Pads for Floor & Carpet Cleaning | Washable & Durable | Suitable for All Floor Types,20,3,0.01%,0.06%,41,4,0.01%,0.06%,94.29%,100.00%,5,3,25.00%,100.00%,"₹ 1,680.53","₹ 1,185.03",4,2
FBA79606,LR-01 Set of 2 blades,B0F2N37819,B0F2N37819,NexLev Replacement Stainless Steel Blades (Set of 2) | Compatible with NexLev Lint Remover LR-01 | Sharp & Durable Blades for Effective Fabric Defuzzing | Easy to Replace | Smooth & Safe Performance,206,4,0.07%,0.08%,236,5,0.06%,0.08%,100.00%,0.00%,4,0,1.94%,0.00%,"₹ 1,271.19",₹ 0.00,4,0
FBA79771,SC-01 Set of Spares,B0F678L8YT,B0F678L8YT,"NexLev Replacement Accessory Kit for Steam Cleaner SC-01 | Multipurpose Cleaning Attachments for Home, Kitchen, Bathroom & Car",228,7,0.07%,0.15%,240,8,0.06%,0.13%,100.00%,100.00%,4,0,1.75%,0.00%,"₹ 1,352.54",₹ 0.00,4,0
FBA79915,ST-01 ST-01 Set of Hooks,B0FYNT1TW7,B0FYNT1TW7,"NexLev Stand Mixer Attachment Set for ST-01 | Includes Dough Hook, Beater & Whisk | Durable Stainless Steel Build | Easy to Attach & Clean | Ideal for Baking, Whipping & Kneading",594,15,0.19%,0.31%,644,18,0.16%,0.28%,99.68%,100.00%,4,0,0.67%,0.00%,"₹ 3,813.56",₹ 0.00,4,0
FBM79991,DH-01,B0GN85NZQN,B0GN85NZQN,NexLev Dehumidifier for Room Moisture Absorption | 1000ML Tank | Ideal for Mold & Moisture Removal |For Room Wardrobe Kitchen Office| Auto Shut-Off Function| Preset Timer & Humidty Control | DH-01,44,1,0.01%,0.02%,129,1,0.03%,0.02%,51.69%,100.00%,4,0,9.09%,0.00%,"₹ 13,555.93",₹ 0.00,4,0
FBA79272,HS-01,B0D2LFMY48,B0D2LFMY48,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate Lock| Portable HS-01, Hair Straightener Tong - Black",159,3,0.05%,0.06%,229,11,0.06%,0.17%,84.73%,72.73%,3,0,1.89%,0.00%,"₹ 2,031.36",₹ 0.00,3,0
FBA79565,VC-04,B0DKJZDY72,B0DKJZDY72,nexlev Cordless Vacuum Cleaner & Blower |BLDC Copper Motor |HEPA with Stainless Steel Cover | for Home Office & Car Cleaning|4 Attachments | Blower for Dust & Inflatables | Portable & Compact | VC-04,266,6,0.08%,0.13%,356,9,0.09%,0.14%,76.58%,50.00%,3,0,1.13%,0.00%,"₹ 4,235.59",₹ 0.00,3,0
FBA79573,EA-02,B0DKK15YNJ,B0DKK15YNJ,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,496,8,0.16%,0.17%,628,19,0.15%,0.30%,55.73%,0.00%,3,0,0.60%,0.00%,"₹ 7,116.10",₹ 0.00,3,0
